name,address,ward,localAuthority,lon,lat
Betfred,10 Mosley Street M2 3AQ,City Centre,Manchester,-2.2390918,53.4809011
Betfred,133 Deansgate M3 3WR,City Centre,Manchester,-2.2482598,53.4801951
Betfred,14 Nicholas Street M1 4EJ,City Centre,Manchester,-2.2405634,53.4784923
Betfred,18 Fountain Street M2 2AA,City Centre,Manchester,-2.240681,53.4816005
Betfred,7-9 Oldham Street M1 1LG,City Centre,Manchester,-2.2368633,53.4815558
Betfred,"Unit 3/5, 38 King Street West M3 2WZ",City Centre,Manchester,-2.2496,53.481446
Ladbrokes,15 Cross Street M2 1WE,City Centre,Manchester,-2.2439315,53.4820714
Ladbrokes,43 Deangate M3 2AY,City Centre,Manchester,-2.2466721,53.4828571
Ladbrokes,66-68 Bridge Street M3 2RJ,City Centre,Manchester,-2.2487802,53.480865
Coral Racing Ltd,"182C Arndale Centre, Market Street M4 2HU",City Centre,Manchester,-2.2402583,53.4843169
William Hill,18/20 Mosley Street M2 3AG,City Centre,Manchester,-2.2395265,53.4807484
William Hill,30 High Street M4 1QB,City Centre,Manchester,-2.23899,53.482845
William Hill,40-42 Oxford Street M1 5EJ,City Centre,Manchester,-2.2426317,53.4759219
William Hill,47 Deansgate M3 2AY,City Centre,Manchester,-2.2462888,53.4830007
William Hill,85 Piccadilly M1 2DA,City Centre,Manchester,-2.2336989,53.4803386
Raykin Limited,41 Faulkner Street M1 4EE,City Centre,Manchester,-2.2392002,53.4786725
Betfred,78 Bury Old Road M8 5BW,Crumpsall,Manchester,-2.2466258,53.514086
Ladbrokes,44 Bury Old Road M8 5BN,Crumpsall,Manchester,-2.2460154,53.5133029
David Pluck Bookmakers,11 -13 Lansdowne Road M8 5SF,Crumpsall,Manchester,-2.2367788,53.5155567
Coral Racing Ltd,24-26 Lansdowne Road M8 5SH,Crumpsall,Manchester,-2.2369646,53.5159344
David Pluck Racing,"Unit 2, 683-693 Wilmslow Road M20 6RE",Didsbury East,Manchester,-2.2309073,53.4169938
Betfred,487 Wilmslow Road M20 4AN,Didsbury West,Manchester,-2.2320489,53.4145768
Ladbrokes,11-13 Barlow Moor Road M20 6TN,Didsbury West,Manchester,-2.2323179,53.4176792
Betfred,334 Platt Lane M14 7DA,Fallowfield,Manchester,-2.238676,53.4467479
William Hill,315 Wilmslow Road M14 6NW,Fallowfield,Manchester,-2.2183943,53.4418409
Betfred,135-137 Chapman Street M18 8LY,Gorton North,Manchester,-2.1694129,53.464013
Betfred,582a Hyde Road M18 7EE,Gorton North,Manchester,-2.1753511,53.4612583
Coral Racing Ltd,"Unit 5, Gorton Retail Market, Garratt Way M18 8LD",Gorton North,Manchester,-2.1754002,53.462521
Coral Racing Ltd,155 Mount Road M18 7QT,Gorton South,Manchester,-2.1809275,53.4573069
Betfred,"Unit 15, North City Shoppping Centre, Lee Road M9 4DH",Harpurhey,Manchester,-2.2125722,53.5124516
Coral Racing Ltd,"21, North City Shopping Centre, 22 Lee Rd, Manchester M9 4DH",Harpurhey,Manchester,-2.211689,53.512951
William Hill,1 Harpurhey District Centre M9 5PR,Harpurhey,Manchester,-2.2114901,53.5123087
William Hill,317-319 Moston Lane M40 9NL,Harpurhey,Manchester,-2.1994185,53.5139929
Paddy Power,30 Hulme High Street M15 5JS,Hulme,Manchester,-2.2482322,53.4618715
