OBJECTID,ListEntry,Name,Grade,ListDate,AmendDate,CaptureScale,hyperlink,NGR,Easting,Northing,area_code,area_name
46187,1067910,Home Farm Dovecote,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067910,SJ 74382 86403,374382,386403.36084392,E08000009,Trafford
46188,1067911,Sinderland House,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067911,SJ 73514 89609,373514,389609.36084392,E08000009,Trafford
46189,1067912,The Hollies,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067912,SJ 72577 88250,372577,388250.36084391,E08000009,Trafford
46190,1067913,Dunham School,II,1985-07-12T00:00:00Z,1986-02-27T00:00:00Z,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067913,SJ 74010 88144,374010.246,388144.13884392,E08000009,Trafford
46191,1067914,Agden View,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067914,SJ7270887808,372708.007799149,387808.053552628,E08000009,Trafford
46192,1067915,Big Tree Cottages,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067915,SJ 73975 87607,373974.597,387607.25184392,E08000009,Trafford
46193,1067916,Kitchen Garden Bounding Wall And Gardener's Cottage,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067916,SJ7372287629,373721.536699295,387628.623300552,E08000009,Trafford
46194,1067917,Dunham School Bridge,II,1985-07-12T00:00:00Z,1986-02-27T00:00:00Z,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067917,SJ 73980 88191,373980,388191.36084392,E08000009,Trafford
46195,1067918,"Footbridge, Hale Station",II,1984-03-19T00:00:00Z,1985-07-12T00:00:00Z,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067918,SJ 76981 86938,376981,386938.36084392,E08000009,Trafford
46196,1067919,Station Master's House,II,1977-05-02T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067919,SJ 76967 86914,376967,386914.36084392,E08000009,Trafford
46197,1067920,Barrowcroft,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067920,SJ 78284 86817,378284,386817.36084392,E08000009,Trafford
46198,1067921,Cross Heyes,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067921,SJ 78331 86772,378331,386772.36084391,E08000009,Trafford
46199,1067922,Royd House,I,1975-10-13T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067922,SJ 78348 86681,378348,386681.36084392,E08000009,Trafford
46200,1067923,Barrow Cottage,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067923,SJ 78481 85675,378481,385675.36084392,E08000009,Trafford
46201,1067924,Trinity United Reformed Church,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067924,SJ 76412 87287,376412,387287.36084392,E08000009,Trafford
46202,1067925,Denzell House,II*,1985-07-12T00:00:00Z,2007-09-17T00:00:00Z,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067925,SJ 75368 87360,375368.375,387360.34684392,E08000009,Trafford
46203,1067926,High Lawn,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067926,SJ 76317 86630,376317,386630.36084392,E08000009,Trafford
46204,1067927,Water Fountain At Junction With Stamford Road,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067927,SJ 75889 86883,375889,386883.36084392,E08000009,Trafford
46205,1067928,Erlesdene,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067928,SJ7562586983,375625.293001175,386982.565252304,E08000009,Trafford
46206,1067929,Vale House,II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067929,SJ 75751 86742,375751,386742.36084392,E08000009,Trafford
46207,1067930,Bowdon Old Hall,II,1974-05-16T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067930,SJ 76023 86546,376023,386546.36084392,E08000009,Trafford
46208,1067931,"30, 32 And 34, Langham Road (See Details For Further Address Information)",II,1985-07-12T00:00:00Z,NA,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1067931,SJ 75719 86796,375719,386796.36084392,E08000009,Trafford
