area_code,area_name,geography,period,indicator,second_address_purpose,measure,unit,value
E01006086,Trafford 027E,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Does not apply,Count,Persons,1554
E01006086,Trafford 027E,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Armed forces base address,Count,Persons,1
E01006086,Trafford 027E,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Another address when working away from home,Count,Persons,10
E01006086,Trafford 027E,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Holiday home,Count,Persons,61
E01006086,Trafford 027E,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Student's term-time address,Count,Persons,0
E01006086,Trafford 027E,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Student's home address,Count,Persons,3
E01006086,Trafford 027E,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Another parent or guardian's address,Count,Persons,21
E01006086,Trafford 027E,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Partner's address,Count,Persons,7
E01006086,Trafford 027E,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Other,Count,Persons,33
E01006086,Trafford 027E,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Second address type not specified,Count,Persons,0
E01006087,Trafford 025E,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Does not apply,Count,Persons,1359
E01006087,Trafford 025E,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Armed forces base address,Count,Persons,2
E01006087,Trafford 025E,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Another address when working away from home,Count,Persons,5
E01006087,Trafford 025E,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Holiday home,Count,Persons,47
E01006087,Trafford 025E,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Student's term-time address,Count,Persons,0
E01006087,Trafford 025E,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Student's home address,Count,Persons,0
E01006087,Trafford 025E,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Another parent or guardian's address,Count,Persons,20
E01006087,Trafford 025E,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Partner's address,Count,Persons,8
E01006087,Trafford 025E,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Other,Count,Persons,12
E01006087,Trafford 025E,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Second address type not specified,Count,Persons,0
E01006088,Trafford 026C,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Does not apply,Count,Persons,1508
E01006088,Trafford 026C,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Armed forces base address,Count,Persons,0
E01006088,Trafford 026C,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Another address when working away from home,Count,Persons,6
E01006088,Trafford 026C,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Holiday home,Count,Persons,32
E01006088,Trafford 026C,Lower-layer Super Output Area,2021-03-21,Classification of usual residents with a second address by the purpose of that second address. The 'Does not apply' classification applies to people without an alternative address.,Student's term-time address,Count,Persons,0
