area_code,area_name,geography,period,indicator,central_heating_type,measure,unit,value
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Other central heating only,Count,Households,4
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (not including renewable energy),Count,Households,67
E01006141,Trafford 003A,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (including renewable energy),Count,Households,1
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,No central heating,Count,Households,15
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Mains gas only,Count,Households,616
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Tank or bottled gas only,Count,Households,1
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Electric only,Count,Households,215
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Oil only,Count,Households,0
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Wood only,Count,Households,0
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Solid fuel only,Count,Households,0
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Renewable energy only,Count,Households,6
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,District or communal heat networks only,Count,Households,11
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Other central heating only,Count,Households,11
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (not including renewable energy),Count,Households,74
E01006186,Trafford 003B,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (including renewable energy),Count,Households,0
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,No central heating,Count,Households,31
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Mains gas only,Count,Households,906
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Tank or bottled gas only,Count,Households,5
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Electric only,Count,Households,78
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Oil only,Count,Households,3
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Wood only,Count,Households,0
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Solid fuel only,Count,Households,0
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Renewable energy only,Count,Households,0
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,District or communal heat networks only,Count,Households,5
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Other central heating only,Count,Households,5
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (not including renewable energy),Count,Households,106
E01006187,Trafford 003C,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (including renewable energy),Count,Households,2
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,No central heating,Count,Households,17
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Mains gas only,Count,Households,748
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Tank or bottled gas only,Count,Households,3
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Electric only,Count,Households,85
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Oil only,Count,Households,0
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Wood only,Count,Households,0
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Solid fuel only,Count,Households,0
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Renewable energy only,Count,Households,0
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,District or communal heat networks only,Count,Households,1
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Other central heating only,Count,Households,6
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (not including renewable energy),Count,Households,72
E01006189,Trafford 003D,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Two or more types of central heating (including renewable energy),Count,Households,0
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,No central heating,Count,Households,8
E01006113,Trafford 004A,Lower-layer Super Output Area,2021-03-21,The type of central heating present in occupied household spaces,Mains gas only,Count,Households,405
