area_code,area_name,geography,period,indicator,household_bedrooms,measure,unit,value
E05000833,Priory,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,936
E05000835,Sale Moor,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,357
E05000835,Sale Moor,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,969
E05000835,Sale Moor,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,2294
E05000835,Sale Moor,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,777
E05000834,St Mary's,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,505
E05000834,St Mary's,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,1018
E05000834,St Mary's,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,2068
E05000834,St Mary's,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,1221
E05000836,Stretford,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,600
E05000836,Stretford,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,962
E05000836,Stretford,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,2336
E05000836,Stretford,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,771
E05000837,Timperley,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,73
E05000837,Timperley,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,467
E05000837,Timperley,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,2478
E05000837,Timperley,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,1365
E05000838,Urmston,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,711
E05000838,Urmston,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,1077
E05000838,Urmston,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,2169
E05000838,Urmston,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,955
E05000839,Village,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,354
E05000839,Village,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,958
E05000839,Village,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,2034
E05000839,Village,Electoral ward,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,973
