area_code,area_name,geography,period,indicator,household_bedrooms,measure,unit,value
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,160
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,410
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,1253
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,1323
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,205
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,962
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,1869
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,310
E02001276,Trafford 018,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,234
E02001276,Trafford 018,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,565
E02001276,Trafford 018,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,1942
E02001276,Trafford 018,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,507
E02001277,Trafford 019,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,401
E02001277,Trafford 019,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,1154
E02001277,Trafford 019,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,1620
E02001277,Trafford 019,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,627
E02001278,Trafford 020,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,220
E02001278,Trafford 020,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,518
E02001278,Trafford 020,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,1722
E02001278,Trafford 020,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,901
E02001279,Trafford 021,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,47
E02001279,Trafford 021,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,263
E02001279,Trafford 021,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,1822
E02001279,Trafford 021,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,1033
E02001280,Trafford 022,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,381
E02001280,Trafford 022,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,822
E02001280,Trafford 022,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,3 bedrooms,Count,Households,1655
E02001280,Trafford 022,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,4 or more bedrooms,Count,Households,655
E02001281,Trafford 023,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,1 bedroom,Count,Households,104
E02001281,Trafford 023,Middle-layer Super Output Area,2021-03-21,Number of bedrooms in household spaces with at least one usual resident,2 bedrooms,Count,Households,477
