area_code,area_name,geography,period,indicator,accommodation_type,measure,unit,value
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,158
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,6
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,14
E02001269,Trafford 011,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,0
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,306
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,1349
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,1088
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,715
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,92
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,51
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"In a commercial building, for example, in an office building, hotel or over a shop",Count,Households,51
E02001270,Trafford 012,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,A caravan or other mobile or temporary structure,Count,Households,2
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Detached,Count,Households,246
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Semi-detached,Count,Households,1364
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,Terraced,Count,Households,797
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,In a purpose-built block of flats or tenement,Count,Households,348
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of a converted or shared house, including bedsits",Count,Households,13
E02001271,Trafford 013,Middle-layer Super Output Area,2021-03-21,Households in England and Wales by accommodation type,"Part of another converted building, for example, former school, church or warehouse",Count,Households,1
