period,area_code,area_name,geography,gender,all_ages,aged_0_to_15,aged_16_to_64,aged_65_and_over,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
2019-06-30,E01006104,Trafford 017A,LSOA,Persons,1508,276,891,341,14,17,19,17,13,19,15,15,25,18,17,23,13,15,22,14,11,11,17,12,14,14,16,14,23,15,12,14,20,21,18,16,18,13,19,17,14,13,15,15,16,18,12,17,11,11,14,16,15,25,23,22,19,21,32,26,24,27,23,23,38,13,25,22,26,20,20,19,16,18,15,25,28,12,10,22,15,14,6,10,15,5,8,11,10,9,6,10,6,3,8
2019-06-30,E01006105,Trafford 017B,LSOA,Females,1134,363,670,101,14,23,27,16,22,22,26,24,14,30,29,25,31,17,27,16,19,17,13,13,10,10,16,10,9,16,11,11,22,16,15,12,22,20,18,25,26,19,19,19,18,13,16,7,15,6,14,13,11,13,14,6,16,18,6,8,15,10,11,13,8,12,9,3,7,8,7,6,9,8,3,2,7,1,5,2,2,3,3,3,2,6,3,4,3,2,3,2,1,3,3
2019-06-30,E01006105,Trafford 017B,LSOA,Males,1064,407,575,82,17,16,18,26,36,32,27,30,31,34,32,25,16,27,25,15,16,13,23,9,11,11,6,8,10,15,6,10,17,5,13,15,12,16,21,14,16,12,13,11,17,7,13,5,9,9,10,7,7,9,17,13,11,16,23,13,13,8,8,14,11,7,8,5,12,5,6,8,8,3,6,5,3,1,5,2,2,3,2,2,4,0,1,1,1,3,5,0,2,3,1
2019-06-30,E01006105,Trafford 017B,LSOA,Persons,2198,770,1245,183,31,39,45,42,58,54,53,54,45,64,61,50,47,44,52,31,35,30,36,22,21,21,22,18,19,31,17,21,39,21,28,27,34,36,39,39,42,31,32,30,35,20,29,12,24,15,24,20,18,22,31,19,27,34,29,21,28,18,19,27,19,19,17,8,19,13,13,14,17,11,9,7,10,2,10,4,4,6,5,5,6,6,4,5,4,5,8,2,3,6,4
2019-06-30,E01006106,Trafford 017C,LSOA,Females,828,173,493,162,11,14,10,4,10,10,11,13,14,16,13,11,12,8,11,5,5,8,7,7,7,3,10,13,10,7,10,8,13,10,5,7,11,9,15,11,9,17,16,7,8,7,7,6,7,8,11,8,9,13,8,11,18,18,11,10,16,9,13,8,12,12,12,20,6,5,7,4,12,9,6,3,9,6,4,11,5,7,4,8,6,3,6,5,4,6,7,3,7,6,9
2019-06-30,E01006106,Trafford 017C,LSOA,Males,749,206,406,137,10,19,14,9,14,8,15,18,15,14,9,15,10,12,11,13,7,10,7,3,7,7,8,5,13,10,14,11,11,11,8,9,9,13,6,3,5,6,6,3,4,9,7,7,11,3,5,9,9,11,6,10,8,9,14,8,12,12,9,8,11,9,7,8,8,16,4,2,7,9,9,8,8,6,7,5,4,2,3,1,1,8,5,1,5,4,5,1,7,3,6
2019-06-30,E01006106,Trafford 017C,LSOA,Persons,1577,379,899,299,21,33,24,13,24,18,26,31,29,30,22,26,22,20,22,18,12,18,14,10,14,10,18,18,23,17,24,19,24,21,13,16,20,22,21,14,14,23,22,10,12,16,14,13,18,11,16,17,18,24,14,21,26,27,25,18,28,21,22,16,23,21,19,28,14,21,11,6,19,18,15,11,17,12,11,16,9,9,7,9,7,11,11,6,9,10,12,4,14,9,15
2019-06-30,E01006107,Trafford 017D,LSOA,Females,794,150,456,188,6,6,8,8,6,12,5,14,17,10,7,11,8,10,9,13,9,9,6,6,4,5,12,13,7,4,12,11,5,11,7,8,9,17,8,5,10,13,10,10,7,12,9,9,10,7,7,8,12,8,5,10,10,11,13,10,15,8,14,9,9,10,11,7,14,11,8,8,10,4,12,11,10,5,3,5,12,6,5,8,9,9,6,0,7,3,2,2,7,2,23
2019-06-30,E01006107,Trafford 017D,LSOA,Males,713,150,427,136,6,13,14,9,14,5,13,10,10,6,8,10,5,7,12,8,10,6,7,6,9,10,13,6,11,7,9,5,7,5,7,10,11,13,6,6,7,5,10,5,6,7,11,8,7,7,11,9,11,9,8,8,7,8,14,6,11,12,9,9,13,17,12,12,4,9,9,8,13,5,9,9,11,1,4,7,4,3,9,3,10,4,2,3,4,1,2,1,2,1,2
2019-06-30,E01006107,Trafford 017D,LSOA,Persons,1507,300,883,324,12,19,22,17,20,17,18,24,27,16,15,21,13,17,21,21,19,15,13,12,13,15,25,19,18,11,21,16,12,16,14,18,20,30,14,11,17,18,20,15,13,19,20,17,17,14,18,17,23,17,13,18,17,19,27,16,26,20,23,18,22,27,23,19,18,20,17,16,23,9,21,20,21,6,7,12,16,9,14,11,19,13,8,3,11,4,4,3,9,3,25
2019-06-30,E01006108,Trafford 017E,LSOA,Females,986,289,639,58,22,9,17,19,15,23,14,20,26,24,15,14,24,18,16,13,18,13,14,9,10,10,9,12,12,13,16,17,17,20,27,19,18,21,11,12,12,19,13,16,13,10,11,7,17,16,13,14,12,8,15,11,12,12,15,16,7,9,7,7,14,12,9,7,7,7,5,4,4,1,5,4,3,4,2,2,2,1,2,2,1,0,1,0,1,2,0,2,0,1,2
2019-06-30,E01006108,Trafford 017E,LSOA,Males,799,270,479,50,13,20,20,24,23,14,14,19,14,19,13,15,11,18,21,12,11,17,12,10,11,12,11,12,9,9,12,11,7,11,19,8,12,9,16,11,9,13,9,10,11,11,5,9,9,8,5,8,6,8,8,8,7,6,8,12,10,9,12,8,9,10,9,7,5,8,3,7,3,3,5,1,1,3,0,2,3,0,3,2,0,1,2,1,0,0,0,1,0,0,1
2019-06-30,E01006108,Trafford 017E,LSOA,Persons,1785,559,1118,108,35,29,37,43,38,37,28,39,40,43,28,29,35,36,37,25,29,30,26,19,21,22,20,24,21,22,28,28,24,31,46,27,30,30,27,23,21,32,22,26,24,21,16,16,26,24,18,22,18,16,23,19,19,18,23,28,17,18,19,15,23,22,18,14,12,15,8,11,7,4,10,5,4,7,2,4,5,1,5,4,1,1,3,1,1,2,0,3,0,1,3
2019-06-30,E01006109,Trafford 001A,LSOA,Females,524,125,350,49,10,13,11,6,9,7,6,15,6,7,8,5,6,7,7,2,9,4,8,4,5,5,3,3,5,8,4,6,4,8,11,8,11,8,9,6,9,10,9,6,7,9,4,7,4,4,7,3,6,5,14,12,7,10,11,10,12,17,7,6,4,6,5,5,5,1,3,0,3,0,2,3,4,1,3,4,2,0,4,2,2,3,2,3,0,2,1,2,0,0,2
2019-06-30,E01006109,Trafford 001A,LSOA,Males,737,146,522,69,7,16,8,7,11,10,7,10,8,8,7,14,6,11,8,8,9,7,7,7,5,4,9,9,9,9,4,7,7,6,7,10,11,9,9,8,8,9,10,15,19,21,25,15,11,11,13,13,12,14,18,18,17,10,10,13,19,9,13,6,8,7,7,7,11,4,3,1,4,2,5,3,6,0,1,2,4,1,3,3,4,3,5,5,6,1,0,1,0,1,1
2019-06-30,E01006109,Trafford 001A,LSOA,Persons,1261,271,872,118,17,29,19,13,20,17,13,25,14,15,15,19,12,18,15,10,18,11,15,11,10,9,12,12,14,17,8,13,11,14,18,18,22,17,18,14,17,19,19,21,26,30,29,22,15,15,20,16,18,19,32,30,24,20,21,23,31,26,20,12,12,13,12,12,16,5,6,1,7,2,7,6,10,1,4,6,6,1,7,5,6,6,7,8,6,3,1,3,0,1,3
2019-06-30,E01006110,Trafford 001B,LSOA,Females,974,222,653,99,10,10,17,17,9,12,12,10,15,12,15,18,15,21,18,11,9,12,8,16,9,9,11,14,15,8,14,7,8,10,19,10,27,16,18,22,15,16,20,22,13,19,19,17,11,18,16,17,15,6,9,21,10,10,13,20,16,7,10,11,10,9,8,7,6,7,3,4,2,1,3,4,6,6,5,3,1,2,3,1,6,6,2,2,5,11,0,2,2,4,8
2019-06-30,E01006110,Trafford 001B,LSOA,Males,818,220,526,72,13,17,9,12,10,11,14,14,12,10,18,19,20,13,18,10,15,6,19,14,13,3,7,5,5,14,7,8,6,9,15,14,12,14,11,10,10,19,21,12,19,16,18,14,15,13,10,10,11,11,8,9,7,9,10,6,9,7,10,10,10,5,9,7,4,6,4,4,7,3,2,6,5,4,6,1,0,2,0,2,2,6,2,3,2,2,0,1,0,0,2
2019-06-30,E01006110,Trafford 001B,LSOA,Persons,1792,442,1179,171,23,27,26,29,19,23,26,24,27,22,33,37,35,34,36,21,24,18,27,30,22,12,18,19,20,22,21,15,14,19,34,24,39,30,29,32,25,35,41,34,32,35,37,31,26,31,26,27,26,17,17,30,17,19,23,26,25,14,20,21,20,14,17,14,10,13,7,8,9,4,5,10,11,10,11,4,1,4,3,3,8,12,4,5,7,13,0,3,2,4,10
2019-06-30,E01006111,Trafford 001C,LSOA,Females,965,262,642,61,18,12,8,17,12,21,17,14,24,20,16,16,10,19,22,16,12,12,18,13,12,17,12,10,10,16,13,8,8,11,10,9,16,24,11,21,19,20,31,15,12,12,14,11,10,12,12,11,9,11,13,13,15,19,21,8,16,7,8,11,10,9,9,11,10,3,4,2,5,3,7,5,2,3,3,2,5,1,1,1,2,0,0,0,1,0,5,1,0,2,3
2019-06-30,E01006111,Trafford 001C,LSOA,Males,862,255,550,57,13,11,27,10,14,10,14,16,16,16,15,17,30,20,18,8,27,16,18,11,13,12,10,10,12,8,6,9,8,8,13,15,7,13,18,13,14,15,14,12,14,12,18,13,7,16,14,8,7,6,17,11,10,11,9,7,14,5,8,10,5,6,10,4,6,7,3,4,5,4,1,2,2,1,1,2,2,2,0,3,3,0,1,3,0,2,2,2,4,0,1
2019-06-30,E01006111,Trafford 001C,LSOA,Persons,1827,517,1192,118,31,23,35,27,26,31,31,30,40,36,31,33,40,39,40,24,39,28,36,24,25,29,22,20,22,24,19,17,16,19,23,24,23,37,29,34,33,35,45,27,26,24,32,24,17,28,26,19,16,17,30,24,25,30,30,15,30,12,16,21,15,15,19,15,16,10,7,6,10,7,8,7,4,4,4,4,7,3,1,4,5,0,1,3,1,2,7,3,4,2,4
2019-06-30,E01006112,Trafford 001D,LSOA,Females,1036,252,673,111,12,11,17,11,18,17,18,16,19,14,18,14,14,18,17,18,14,21,23,14,7,17,15,12,17,15,10,12,17,16,19,16,15,22,17,17,17,17,16,15,22,12,13,10,14,16,14,11,18,14,10,13,17,14,16,8,8,6,14,11,5,4,8,7,7,6,5,6,2,4,4,3,2,0,3,4,3,5,4,8,5,1,4,6,6,10,4,5,3,2,6
2019-06-30,E01006112,Trafford 001D,LSOA,Males,957,283,593,81,12,14,24,17,13,16,17,28,19,21,21,16,23,16,12,14,22,13,12,11,11,8,10,6,16,17,11,16,12,8,15,11,16,8,19,13,22,15,14,15,16,9,12,12,5,9,9,13,16,13,11,8,6,10,8,11,16,11,7,8,9,11,15,16,11,9,8,7,5,1,6,1,2,5,3,1,1,3,3,1,3,8,2,2,3,1,2,1,1,0,2
2019-06-30,E01006112,Trafford 001D,LSOA,Persons,1993,535,1266,192,24,25,41,28,31,33,35,44,38,35,39,30,37,34,29,32,36,34,35,25,18,25,25,18,33,32,21,28,29,24,34,27,31,30,36,30,39,32,30,30,38,21,25,22,19,25,23,24,34,27,21,21,23,24,24,19,24,17,21,19,14,15,23,23,18,15,13,13,7,5,10,4,4,5,6,5,4,8,7,9,8,9,6,8,9,11,6,6,4,2,8
2019-06-30,E01006113,Trafford 004A,LSOA,Females,796,155,523,118,10,11,11,11,8,7,6,4,10,8,13,14,12,13,5,12,13,17,18,7,9,5,11,19,16,9,8,6,6,10,11,14,8,10,9,7,8,12,14,7,16,8,10,14,11,7,8,10,11,13,9,16,8,12,13,16,7,7,10,8,11,17,13,7,7,7,7,11,7,6,2,2,4,2,2,3,6,2,4,8,3,3,7,5,2,5,3,1,5,5,6
2019-06-30,E01006113,Trafford 004A,LSOA,Males,743,184,473,86,10,14,9,10,13,7,14,10,19,5,11,11,14,9,9,19,13,12,10,5,10,9,15,14,10,10,11,15,14,7,6,15,11,10,11,10,10,7,8,6,14,13,9,7,8,5,9,11,9,5,8,14,6,12,6,13,11,8,9,8,9,8,7,10,5,5,5,4,6,3,3,4,2,1,5,2,2,4,2,1,1,1,0,0,3,2,6,8,8,3,5
2019-06-30,E01006113,Trafford 004A,LSOA,Persons,1539,339,996,204,20,25,20,21,21,14,20,14,29,13,24,25,26,22,14,31,26,29,28,12,19,14,26,33,26,19,19,21,20,17,17,29,19,20,20,17,18,19,22,13,30,21,19,21,19,12,17,21,20,18,17,30,14,24,19,29,18,15,19,16,20,25,20,17,12,12,12,15,13,9,5,6,6,3,7,5,8,6,6,9,4,4,7,5,5,7,9,9,13,8,11
2019-06-30,E01006114,Trafford 004B,LSOA,Females,893,195,576,122,8,8,9,13,8,16,13,11,18,7,11,19,10,13,15,16,12,12,21,9,10,6,17,15,10,14,11,12,4,9,18,11,14,8,15,11,13,19,14,12,13,11,9,15,11,12,19,12,15,14,16,11,9,15,9,9,8,13,7,13,8,12,5,5,8,4,5,5,8,4,8,3,7,8,6,7,4,4,5,3,3,6,5,3,6,2,5,2,3,1,5
