pharmacy_name,address,postcode,opening_hours_monday,opening_hours_tuesday,opening_hours_wednesday,opening_hours_thursday,opening_hours_friday,opening_hours_saturday,opening_hours_sunday,organisation_data_service_code,health_and_wellbeing_board,ward_code,ward_name,la_code,la_name
Deane Pharmacy,"Horsefield Street, Deane, Bolton",BL3 4LU,09:30-21:00,10:00-21:00,10:00-21:00,10:00-21:00,09:30-21:00,17:00-21:00,10:00-22:00,FPP91,Bolton,E05014826,"Heaton, Lostock & Chew Moor",E08000001,Bolton
Derby Street Pharmacy,"317-319 Derby Street, Bolton",BL3 6LH,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,"09:00-12:30,14:30-21:00",17:00-21:00,08:00-19:00,FA604,Bolton,E05014833,Rumworth,E08000001,Bolton
Everest Pharmacy - Chorley Old Road,"188-190 Chorley Old Road, Bolton",BL1 3BG,"09:00-13:00,13:30-17:30","08:30-13:00,13:30-17:30",09:00-17:00,"09:00-13:00,13:30-17:30","09:00-13:00,13:30-17:30",CLOSED,CLOSED,FKJ58,Bolton,E05014832,Queens Park & Central,E08000001,Bolton
Everest Pharmacy - Halliwell Road,"432 Halliwell Road, Bolton",BL1 8AN,"09:00-13:15,13:45-18:00","09:00-13:15,13:45-18:00",09:00-13:00,"09:00-13:15,13:45-18:00","09:00-13:15,13:45-18:00",09:00-12:30,CLOSED,FP720,Bolton,E05014825,Halliwell,E08000001,Bolton
Everest Pharmacy - Swan Lane,"14 Swan Lane, Bolton",BL3 6TL,"09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00",CLOSED,CLOSED,FFC66,Bolton,E05014833,Rumworth,E08000001,Bolton
Everest Pharmacy - Tonge Moor,"24 Tonge Old Road, Bolton",BL2 6BH,09:00-18:00,09:00-18:00,09:00-13:00,09:00-18:00,09:00-18:00,09:00-13:00,CLOSED,FPX36,Bolton,E05014835,Tonge with the Haulgh,E08000001,Bolton
Evergreen Pharmacy,"311 Wigan Road, Bolton",BL3 5QU,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-13:00,CLOSED,FTC26,Bolton,E05014833,Rumworth,E08000001,Bolton
Halliwell Late Night Pharmacy,"34a Halliwell Road, Bolton, Greater Manchester",BL1 3QS,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,16:00-21:00,09:00-16:00,FKG53,Bolton,E05014825,Halliwell,E08000001,Bolton
Harwood Pharmacy,"Harwood Medical Centre, Hough Fold Way,Harwood, Bolton",BL2 3HQ,08:00-21:15,08:00-21:15,08:00-21:15,08:00-21:15,08:00-21:15,CLOSED,11:00-17:00,FA849,Bolton,E05014819,Bradshaw,E08000001,Bolton
Heatons Pharmacy,"228 Chorley New Road, Horwich, Bolton",BL6 5NP,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-13:00,CLOSED,FJ049,Bolton,E05014828,Horwich South & Blackrod,E08000001,Bolton
Highfield Road Pharmacy,"241 Highfield Road, Farnworth, Bolton, Lancashire",BL4 0NX,"09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00",CLOSED,CLOSED,FQT04,Bolton,E05014823,Farnworth South,E08000001,Bolton
Hollowood Chemists,"28 Blackhorse Street, Blackrod, Bolton",BL6 5EW,"08:30-13:00,14:00-18:00","08:30-13:00,14:00-18:00","08:30-13:00,14:00-17:30","08:30-13:00,14:00-18:00","08:30-13:00,14:00-18:00",09:00-13:00,CLOSED,FAC02,Bolton,E05014828,Horwich South & Blackrod,E08000001,Bolton
Hootons Pharmacy,"119 Lee Lane, Horwich, Bolton",BL6 7AR,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-13:00,CLOSED,FAL25,Bolton,E05014827,Horwich North,E08000001,Bolton
Jhoots Pharmacy,"Lever Chambers, Ashburner Street, Bolton",BL1 1SQ,"09:00-13:00,13:30-17:30","09:00-13:00,13:30-17:30","09:00-13:00,13:30-17:30","09:00-13:00,13:30-17:30","09:00-13:00,13:30-17:30",CLOSED,CLOSED,FRQ49,Bolton,E05014832,Queens Park & Central,E08000001,Bolton
Kamson's Pharmacy,"Heaton Medical Centre, 2 Lucy Street, Heaton, Bolton",BL1 5PU,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-13:00,CLOSED,FX529,Bolton,E05014834,Smithills,E08000001,Bolton
Kildonan Pharmacy,"Kildonan House, Ramsbottom Road, Horwich, Bolton",BL6 5NW,08:00-21:15,08:00-21:15,08:00-21:15,08:00-21:15,08:00-21:00,CLOSED,10:00-16:00,FL814,Bolton,E05014827,Horwich North,E08000001,Bolton
Ladybridge Pharmacy,"6 Broadgate, Ladybridge, Bolton",BL3 4PZ,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,CLOSED,CLOSED,FDH18,Bolton,E05014826,"Heaton, Lostock & Chew Moor",E08000001,Bolton
Landmark Pharmacy,"Landmark House, 12 Chorley New Road, Bolton",BL1 4AP,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-13:00,CLOSED,FPR09,Bolton,E05014832,Queens Park & Central,E08000001,Bolton
Manor Pharmacy,"Manor House, 200 St Helens Road, Bolton",BL3 4EB,09:00-17:15,09:00-17:15,09:00-17:15,09:00-17:15,"09:00-12:30,13:45-17:15",CLOSED,CLOSED,FG635,Bolton,E05014833,Rumworth,E08000001,Bolton
Manor Pharmacy,"9 Hindley Road, Westhoughton, Bolton",BL5 2JU,"09:00-13:00,14:00-18:30","09:00-13:00,14:00-18:30","09:00-13:00,14:00-17:30","09:00-13:00,14:00-18:30","09:00-13:00,14:00-18:30",09:00-13:00,CLOSED,FG837,Bolton,E05014837,Westhoughton South,E08000001,Bolton
Manor Pharmacy,"28-30 Egerton Street, Farnworth, Bolton",BL4 7LE,"09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00",09:00-14:00,"09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00",09:00-12:00,CLOSED,FKL96,Bolton,E05014822,Farnworth North,E08000001,Bolton
Market Pharmacy,"45 Brackley Street, Farnworth, Bolton",BL4 9DS,09:00-17:30,09:00-17:30,09:00-17:00,09:00-17:30,09:00-17:30,09:00-17:00,CLOSED,FE733,Bolton,E05014823,Farnworth South,E08000001,Bolton
Maxwell's Chemist,"830 Bury Road, Bolton",BL2 6PA,09:00-18:00,09:00-18:00,09:00-14:00,09:00-18:00,09:00-18:00,09:00-13:00,CLOSED,FFN98,Bolton,E05014820,Breightmet,E08000001,Bolton
Medifix Pharmacy,"601 Bury Road, Bolton",BL2 6HZ,"09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00",CLOSED,CLOSED,FKF42,Bolton,E05014820,Breightmet,E08000001,Bolton
Moss Bank Pharmacy,"833 Moss Bank Way, Bolton, Lancashire",BL1 5SN,09:00-17:30,09:00-17:30,09:00-16:00,09:00-17:30,09:00-17:30,09:00-12:00,CLOSED,FKX49,Bolton,E05014834,Smithills,E08000001,Bolton
Nash Pharmacy,"63 Castle Street, Bolton",BL2 1AD,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-13:00,CLOSED,FLT86,Bolton,E05014835,Tonge with the Haulgh,E08000001,Bolton
Newbrook Pharmacy,"56 Newbrook Road, Over Hulton, Bolton",BL5 1ER,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-13:00,CLOSED,FW809,Bolton,E05014829,Hulton,E08000001,Bolton
Newport Pharmacy,"65 Newport Street, Bolton",BL1 1NE,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-15:45,CLOSED,FAK79,Bolton,E05014832,Queens Park & Central,E08000001,Bolton
Noble & Peacock,"556 Chorley Old Road, Bolton",BL1 6AB,09:00-13:00:14:00-18:00,09:00-13:00:14:00-18:00,09:00-13:00:14:00-18:00,09:00-13:00:14:00-18:00,09:00-13:00:14:00-18:00,CLOSED,CLOSED,FVW83,Bolton,E05014834,Smithills,E08000001,Bolton
Pharmaease.com,"172 Willow Lane, Bolton, Lancashire",BL3 4BU,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,CLOSED,CLOSED,FKH23,Bolton,E05014833,Rumworth,E08000001,Bolton
Pharmavon Ltd,"Avondale Health Centre, Avondale Street, Bolton",BL1 4JP,09:00-18:00,09:00-18:00,09:00-13:00,09:00-18:00,09:00-18:00,CLOSED,CLOSED,FFP76,Bolton,E05014832,Queens Park & Central,E08000001,Bolton
Pikes Lane Pharmacy,"Pikes Lane Resource Ctr, Deane Road, Bolton",BL3 5HP,08:00-18:45,08:00-18:45,08:00-18:45,08:00-18:45,08:00-18:45,09:00-12:00,CLOSED,FTR14,Bolton,E05014833,Rumworth,E08000001,Bolton
Rigby & Higginson Pharmacy,"140 Church Street, Westhoughton, Bolton",BL5 3SF,09:00-18:00,09:00-18:00,09:00-13:00,09:00-18:00,09:00-18:00,CLOSED,CLOSED,FTG52,Bolton,E05014836,Westhoughton North & Hunger Hill,E08000001,Bolton
Rowlands Pharmacy,"44 Market Street, Westhoughton, Bolton",BL5 3AN,"09:00-13:00,13:20-17:30","09:00-13:00,13:20-17:30","09:00-13:00,13:20-17:30","09:00-13:00,13:20-17:30","09:00-13:00,13:20-17:30",09:00-13:00,CLOSED,FA295,Bolton,E05014836,Westhoughton North & Hunger Hill,E08000001,Bolton
Rowlands Pharmacy,"Piggott Street, Farnworth, Bolton, Lancashire",BL4 9QZ,"09:00-13:00,14:00-18:30","09:00-13:00,14:00-18:30","09:00-12:30,14:00-18:30","09:00-13:00,14:00-18:30","09:00-13:00,14:00-18:30",CLOSED,CLOSED,FV072,Bolton,E05014823,Farnworth South,E08000001,Bolton
Rowlands Pharmacy,"Captain Lees Road, Westhoughton, Bolton",BL5 3UB,"08:30-13:00,13:20-18:30","08:30-13:00,13:20-18:30","08:30-13:00,13:20-17:30","08:30-13:00,13:20-18:30","08:30-13:00,13:20-18:30",CLOSED,CLOSED,FW336,Bolton,E05014836,Westhoughton North & Hunger Hill,E08000001,Bolton
Rupert Street Pharmacy,"Great Lever Health Centre, Rupert Street,Great Lever, Bolton, Lancashire",BL3 6RN,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,CLOSED,CLOSED,FVX71,Bolton,E05014824,Great Lever,E08000001,Bolton
S & S Dispensing Chemist,"226 Deane Road, Bolton",BL3 5DP,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-13:00,CLOSED,FFA91,Bolton,E05014833,Rumworth,E08000001,Bolton
Shanti Pharmacy,"160 St Helens Road, Bolton",BL3 3PH,"08:30-14:00,15:00-21:00","08:30-14:00,15:00-21:00","08:30-14:00,15:00-21:00","08:30-14:00,15:00-21:00","08:30-14:00,15:00-21:00",17:00-21:00,09:00-22:00,FRC82,Bolton,E05014833,Rumworth,E08000001,Bolton
Speaks Pharmacy,"79 Church Street, Blackrod, Bolton",BL6 5EE,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,CLOSED,CLOSED,FPL58,Bolton,E05014828,Horwich South & Blackrod,E08000001,Bolton
Sykes Chemist,"328 St.helens Road, Bolton, Lancashire",BL3 3RP,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,CLOSED,CLOSED,FD098,Bolton,E05014829,Hulton,E08000001,Bolton
Tesco Instore Pharmacy,"Long Causeway, Farnworth, Bolton",BL4 9LS,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,11:00-17:00,FL728,Bolton,E05014823,Farnworth South,E08000001,Bolton
Tesco Instore Pharmacy,"Mansell Way, Horwich, Bolton",BL6 6JS,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,11:00-17:00,FLV72,Bolton,E05014828,Horwich South & Blackrod,E08000001,Bolton
Treated.com,"Unit 18, Waters Meeting, Britannia Way, Bolton",BL2 2HH,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,CLOSED,CLOSED,FW367,Bolton,E05014835,Tonge with the Haulgh,E08000001,Bolton
Ukpharmacylive,"150 Deane Road, Bolton",BL3 5DL,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,CLOSED,CLOSED,FQR19,Bolton,E05014833,Rumworth,E08000001,Bolton
Well,"Farnworth Health Centre, Frederick St, Farnworth, Bolton",BL4 9AH,08:30-18:00,08:30-18:00,08:30-17:30,08:30-18:00,08:30-18:00,CLOSED,CLOSED,FQR15,Bolton,E05014823,Farnworth South,E08000001,Bolton
Asda Pharmacy,"Asda Superstore, Pilsworth Road, Pilsworth, Bury, Lancashire",BL9 8RS,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,10:30-16:30,FFJ22,Bury,E05014168,Unsworth,E08000002,Bury
Asda Pharmacy,"Spring Street, Bury, Lancashire",BL9 0RN,06:00-21:00,06:00-21:00,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,11:00-17:00,FV462,Bury,E05014153,Bury East,E08000002,Bury
Asda Pharmacy,"Asda Store, Riverside Retail Park, Pilkington Way,Radcliffe, Manchester",M26 3DA,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,10:00-16:00,FV470,Bury,E05014162,Radcliffe West,E08000002,Bury
Boots,"Unit 1, Woodfields Retail Park, Peel Way, Bury, Lancashire",BL9 5BY,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,11:00-17:00,FKT67,Bury,E05014157,Moorside,E08000002,Bury
Boots,"32-36 The Mall, Bury, Lancashire",BL9 0QQ,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,11:00-15:00,FXY55,Bury,E05014153,Bury East,E08000002,Bury
Bury Healthcare Pharmacy,"46 Walmersley Road, Bury",BL9 6DP,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,08:00-18:00,FEF96,Bury,E05014157,Moorside,E08000002,Bury
Bury Pharmacy,"First Floor, 65 Canning Street, Bury",BL9 5AS,09:00-17:00,09:00-17:00,09:00-17:00,08:30-20:00,08:30-18:30,CLOSED,CLOSED,FXJ81,Bury,E05014157,Moorside,E08000002,Bury
Cohens Chemist,"Townside Primary Care Ctr, 2 Knowsley Place, Bury, Lancashire",BL9 0SN,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,08:30-18:30,09:00-12:00,CLOSED,FA064,Bury,E05014153,Bury East,E08000002,Bury
Cohens Chemist,"7 Market Place, Ramsbottom, Bury, Lancashire",BL0 9AJ,"09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00",CLOSED,CLOSED,FEA97,Bury,E05014163,Ramsbottom,E08000002,Bury
Cohens Chemist,"12-14 Market Street, Tottington, Bury, Lancashire",BL8 4AD,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-12:00,CLOSED,FEV43,Bury,E05014167,Tottington,E08000002,Bury
Cohens Chemist,"St. Gabriels Medical Ctr, 4 Bishops Road, Prestwich, Manchester",M25 0HT,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,CLOSED,CLOSED,FPC99,Bury,E05014165,Sedgley,E08000002,Bury
Cohens Chemist,"135 Croft Lane, Bury, Lancashire",BL9 8QA,"08:30-12:30,13:30-18:00","08:30-12:30,13:30-18:00","08:30-12:30,13:30-18:00","08:30-12:30,13:30-18:00","08:30-12:30,13:30-18:00",CLOSED,CLOSED,FQW68,Bury,E05014168,Unsworth,E08000002,Bury
Dennis Gore Chemists,"26 Whittaker Lane, Prestwich, Manchester",M25 1FX,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,CLOSED,CLOSED,FN818,Bury,E05014165,Sedgley,E08000002,Bury
Fishpool Pharmacy,"14 Parkhills Road, Bury",BL9 9AX,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-13:00,CLOSED,FQK16,Bury,E05014164,Redvales,E08000002,Bury
Formans Chemist,"12 Park Hill, Bury Old Road, Prestwich, Manchester",M25 0FX,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,CLOSED,CLOSED,FVE59,Bury,E05014165,Sedgley,E08000002,Bury
Futurecare Pharmacy,"14a Whitelegge Street, Bury, Manchester",BL8 1SW,"09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00",CLOSED,CLOSED,FK616,Bury,E05014155,Elton,E08000002,Bury
Gardners Chemist,"6 Vernon Road, Greenmount, Bury, Lancashire",BL8 4DD,09:00-18:00,09:00-18:00,09:00-18:00,09:00-17:30,09:00-18:00,CLOSED,CLOSED,FV813,Bury,E05014158,North Manor,E08000002,Bury
Greenleaf Pharmacy,"166 Bury New Road, Whitefield, Manchester",M45 6QJ,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,CLOSED,CLOSED,FEE04,Bury,E05014159,Pilkington Park,E08000002,Bury
Huntley Mount Pharmacy,"Huntley Mount Road, Bury",BL9 6JA,08:45-18:00,08:45-18:00,08:45-17:00,08:45-18:00,08:45-18:00,CLOSED,CLOSED,FEQ61,Bury,E05014157,Moorside,E08000002,Bury
Iq Pharmacy,"14 Princess Parade, Bury, Lancashire",BL9 0QL,09:00-17:15,09:00-17:15,09:00-17:15,09:00-17:15,09:00-17:15,09:00-15:00,CLOSED,FA333,Bury,E05014153,Bury East,E08000002,Bury
Jt Smith & Son,"8-8a Ainsworth Road, Radcliffe, Manchester",M26 4DJ,"09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00",09:00-13:00,"09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00",09:00-13:00,CLOSED,FC610,Bury,E05014162,Radcliffe West,E08000002,Bury
Manor Pharmacy,"157-159 Ainsworth Road, Radcliffe, Manchester",M26 4FD,"09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00",09:00-13:00,CLOSED,FJF90,Bury,E05014161,Radcliffe North & Ainsworth,E08000002,Bury
Manor Pharmacy,"367 Brandlesholme Road, Bury",BL8 1HS,"09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00",09:00-13:00,CLOSED,FL854,Bury,E05014155,Elton,E08000002,Bury
