period,area_code,area_name,geography,sex,age_group,usual_residents
2001-04-29,E08000001,Bolton,Local authority,Persons,Aged 75 to 79 years,8733
2001-04-29,E08000001,Bolton,Local authority,Persons,Aged 80 to 84 years,5322
2001-04-29,E08000001,Bolton,Local authority,Persons,Aged 85 years and over,4488
2011-03-27,E08000001,Bolton,Local authority,Females,All ages,140126
2011-03-27,E08000001,Bolton,Local authority,Females,Aged 4 years and under,9197
2011-03-27,E08000001,Bolton,Local authority,Females,Aged 5 to 9 years,8163
2011-03-27,E08000001,Bolton,Local authority,Females,Aged 10 to 14 years,8509
2011-03-27,E08000001,Bolton,Local authority,Females,Aged 15 to 19 years,8720
2011-03-27,E08000001,Bolton,Local authority,Females,Aged 20 to 24 years,9104
2011-03-27,E08000001,Bolton,Local authority,Females,Aged 25 to 29 years,9261
2011-03-27,E08000001,Bolton,Local authority,Females,Aged 30 to 34 years,8653
2011-03-27,E08000001,Bolton,Local authority,Females,Aged 35 to 39 years,9374
2011-03-27,E08000001,Bolton,Local authority,Females,Aged 40 to 44 years,10549
2011-03-27,E08000001,Bolton,Local authority,Females,Aged 45 to 49 years,10159
2011-03-27,E08000001,Bolton,Local authority,Females,Aged 50 to 54 years,8924
2011-03-27,E08000001,Bolton,Local authority,Females,Aged 55 to 59 years,7628
2011-03-27,E08000001,Bolton,Local authority,Females,Aged 60 to 64 years,8514
2011-03-27,E08000001,Bolton,Local authority,Females,Aged 65 to 69 years,6550
2011-03-27,E08000001,Bolton,Local authority,Females,Aged 70 to 74 years,5476
2011-03-27,E08000001,Bolton,Local authority,Females,Aged 75 to 79 years,4351
2011-03-27,E08000001,Bolton,Local authority,Females,Aged 80 to 84 years,3417
2011-03-27,E08000001,Bolton,Local authority,Females,Aged 85 years and over,3577
2011-03-27,E08000001,Bolton,Local authority,Males,All ages,136660
2011-03-27,E08000001,Bolton,Local authority,Males,Aged 4 years and under,9568
2011-03-27,E08000001,Bolton,Local authority,Males,Aged 5 to 9 years,8715
2011-03-27,E08000001,Bolton,Local authority,Males,Aged 10 to 14 years,9284
2011-03-27,E08000001,Bolton,Local authority,Males,Aged 15 to 19 years,9202
2011-03-27,E08000001,Bolton,Local authority,Males,Aged 20 to 24 years,8967
2011-03-27,E08000001,Bolton,Local authority,Males,Aged 25 to 29 years,9024
2011-03-27,E08000001,Bolton,Local authority,Males,Aged 30 to 34 years,8542
2011-03-27,E08000001,Bolton,Local authority,Males,Aged 35 to 39 years,9170
2011-03-27,E08000001,Bolton,Local authority,Males,Aged 40 to 44 years,10432
2011-03-27,E08000001,Bolton,Local authority,Males,Aged 45 to 49 years,9899
2011-03-27,E08000001,Bolton,Local authority,Males,Aged 50 to 54 years,8641
2011-03-27,E08000001,Bolton,Local authority,Males,Aged 55 to 59 years,7716
2011-03-27,E08000001,Bolton,Local authority,Males,Aged 60 to 64 years,8331
2011-03-27,E08000001,Bolton,Local authority,Males,Aged 65 to 69 years,6484
2011-03-27,E08000001,Bolton,Local authority,Males,Aged 70 to 74 years,5043
2011-03-27,E08000001,Bolton,Local authority,Males,Aged 75 to 79 years,3580
2011-03-27,E08000001,Bolton,Local authority,Males,Aged 80 to 84 years,2311
2011-03-27,E08000001,Bolton,Local authority,Males,Aged 85 years and over,1751
2011-03-27,E08000001,Bolton,Local authority,Persons,All ages,276786
2011-03-27,E08000001,Bolton,Local authority,Persons,Aged 4 years and under,18765
2011-03-27,E08000001,Bolton,Local authority,Persons,Aged 5 to 9 years,16878
2011-03-27,E08000001,Bolton,Local authority,Persons,Aged 10 to 14 years,17793
2011-03-27,E08000001,Bolton,Local authority,Persons,Aged 15 to 19 years,17922
2011-03-27,E08000001,Bolton,Local authority,Persons,Aged 20 to 24 years,18071
2011-03-27,E08000001,Bolton,Local authority,Persons,Aged 25 to 29 years,18285
2011-03-27,E08000001,Bolton,Local authority,Persons,Aged 30 to 34 years,17195
2011-03-27,E08000001,Bolton,Local authority,Persons,Aged 35 to 39 years,18544
2011-03-27,E08000001,Bolton,Local authority,Persons,Aged 40 to 44 years,20981
2011-03-27,E08000001,Bolton,Local authority,Persons,Aged 45 to 49 years,20058
2011-03-27,E08000001,Bolton,Local authority,Persons,Aged 50 to 54 years,17565
2011-03-27,E08000001,Bolton,Local authority,Persons,Aged 55 to 59 years,15344
