period,area_code,area_name,geography,sex,age_group,usual_residents
2021-03-21,E08000002,Bury,Local authority,Persons,Aged 90 years and over,1400
2021-03-21,E08000003,Manchester,Local authority,Females,All ages,277800
2021-03-21,E08000003,Manchester,Local authority,Females,Aged 4 years and under,17000
2021-03-21,E08000003,Manchester,Local authority,Females,Aged 5 to 9 years,17900
2021-03-21,E08000003,Manchester,Local authority,Females,Aged 10 to 14 years,17700
2021-03-21,E08000003,Manchester,Local authority,Females,Aged 15 to 19 years,21500
2021-03-21,E08000003,Manchester,Local authority,Females,Aged 20 to 24 years,31900
2021-03-21,E08000003,Manchester,Local authority,Females,Aged 25 to 29 years,26500
2021-03-21,E08000003,Manchester,Local authority,Females,Aged 30 to 34 years,24200
2021-03-21,E08000003,Manchester,Local authority,Females,Aged 35 to 39 years,21300
2021-03-21,E08000003,Manchester,Local authority,Females,Aged 40 to 44 years,17900
2021-03-21,E08000003,Manchester,Local authority,Females,Aged 45 to 49 years,15200
2021-03-21,E08000003,Manchester,Local authority,Females,Aged 50 to 54 years,14800
2021-03-21,E08000003,Manchester,Local authority,Females,Aged 55 to 59 years,13300
2021-03-21,E08000003,Manchester,Local authority,Females,Aged 60 to 64 years,10700
2021-03-21,E08000003,Manchester,Local authority,Females,Aged 65 to 69 years,8100
2021-03-21,E08000003,Manchester,Local authority,Females,Aged 70 to 74 years,7000
2021-03-21,E08000003,Manchester,Local authority,Females,Aged 75 to 79 years,5000
2021-03-21,E08000003,Manchester,Local authority,Females,Aged 80 to 84 years,3900
2021-03-21,E08000003,Manchester,Local authority,Females,Aged 85 to 89 years,2400
2021-03-21,E08000003,Manchester,Local authority,Females,Aged 90 years and over,1500
2021-03-21,E08000003,Manchester,Local authority,Males,All ages,274200
2021-03-21,E08000003,Manchester,Local authority,Males,Aged 4 years and under,17400
2021-03-21,E08000003,Manchester,Local authority,Males,Aged 5 to 9 years,18700
2021-03-21,E08000003,Manchester,Local authority,Males,Aged 10 to 14 years,18600
2021-03-21,E08000003,Manchester,Local authority,Males,Aged 15 to 19 years,20900
2021-03-21,E08000003,Manchester,Local authority,Males,Aged 20 to 24 years,30000
2021-03-21,E08000003,Manchester,Local authority,Males,Aged 25 to 29 years,26100
2021-03-21,E08000003,Manchester,Local authority,Males,Aged 30 to 34 years,23800
2021-03-21,E08000003,Manchester,Local authority,Males,Aged 35 to 39 years,20700
2021-03-21,E08000003,Manchester,Local authority,Males,Aged 40 to 44 years,17900
2021-03-21,E08000003,Manchester,Local authority,Males,Aged 45 to 49 years,15900
2021-03-21,E08000003,Manchester,Local authority,Males,Aged 50 to 54 years,15600
2021-03-21,E08000003,Manchester,Local authority,Males,Aged 55 to 59 years,13400
2021-03-21,E08000003,Manchester,Local authority,Males,Aged 60 to 64 years,10900
2021-03-21,E08000003,Manchester,Local authority,Males,Aged 65 to 69 years,8300
2021-03-21,E08000003,Manchester,Local authority,Males,Aged 70 to 74 years,6800
2021-03-21,E08000003,Manchester,Local authority,Males,Aged 75 to 79 years,4200
2021-03-21,E08000003,Manchester,Local authority,Males,Aged 80 to 84 years,2800
2021-03-21,E08000003,Manchester,Local authority,Males,Aged 85 to 89 years,1500
2021-03-21,E08000003,Manchester,Local authority,Males,Aged 90 years and over,600
2021-03-21,E08000003,Manchester,Local authority,Persons,All ages,552000
2021-03-21,E08000003,Manchester,Local authority,Persons,Aged 4 years and under,34400
2021-03-21,E08000003,Manchester,Local authority,Persons,Aged 5 to 9 years,36600
2021-03-21,E08000003,Manchester,Local authority,Persons,Aged 10 to 14 years,36300
2021-03-21,E08000003,Manchester,Local authority,Persons,Aged 15 to 19 years,42400
2021-03-21,E08000003,Manchester,Local authority,Persons,Aged 20 to 24 years,61900
