area_code,area_name,geography,period,indicator,measure,unit,value
E02001279,Trafford 021,Middle-layer Super Output Area,2021-03-21,3 people in household,Count,Households,596
E02001279,Trafford 021,Middle-layer Super Output Area,2021-03-21,4 people in household,Count,Households,681
E02001279,Trafford 021,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,146
E02001279,Trafford 021,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,28
E02001279,Trafford 021,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,8
E02001279,Trafford 021,Middle-layer Super Output Area,2021-03-21,8 or more people in household,Count,Households,3
E02001280,Trafford 022,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001280,Trafford 022,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,1159
E02001280,Trafford 022,Middle-layer Super Output Area,2021-03-21,2 people in household,Count,Households,1031
E02001280,Trafford 022,Middle-layer Super Output Area,2021-03-21,3 people in household,Count,Households,548
E02001280,Trafford 022,Middle-layer Super Output Area,2021-03-21,4 people in household,Count,Households,514
E02001280,Trafford 022,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,180
E02001280,Trafford 022,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,55
E02001280,Trafford 022,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,20
E02001280,Trafford 022,Middle-layer Super Output Area,2021-03-21,8 or more people in household,Count,Households,6
E02001281,Trafford 023,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001281,Trafford 023,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,751
E02001281,Trafford 023,Middle-layer Super Output Area,2021-03-21,2 people in household,Count,Households,1026
E02001281,Trafford 023,Middle-layer Super Output Area,2021-03-21,3 people in household,Count,Households,487
E02001281,Trafford 023,Middle-layer Super Output Area,2021-03-21,4 people in household,Count,Households,622
E02001281,Trafford 023,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,156
E02001281,Trafford 023,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,29
E02001281,Trafford 023,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,1
E02001281,Trafford 023,Middle-layer Super Output Area,2021-03-21,8 or more people in household,Count,Households,1
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,1225
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,2 people in household,Count,Households,1345
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,3 people in household,Count,Households,768
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,4 people in household,Count,Households,673
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,5 people in household,Count,Households,155
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,6 people in household,Count,Households,46
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,7 people in household,Count,Households,9
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,8 or more people in household,Count,Households,5
E02001283,Trafford 025,Middle-layer Super Output Area,2021-03-21,0 people in household,Count,Households,0
E02001283,Trafford 025,Middle-layer Super Output Area,2021-03-21,1 person in household,Count,Households,1287
