area_code,area_name,geography,period,indicator,measure,unit,value
E01006116,Trafford 002A,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,5207.8
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,4917.7
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,3904.9
E01006119,Trafford 002D,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,6318.4
E01006120,Trafford 010A,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,5629.9
E01006121,Trafford 002E,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,264.7
E01006122,Trafford 005A,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2184.6
E01006123,Trafford 005B,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,1281.8
E01006124,Trafford 005C,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2630.7
E01006125,Trafford 007A,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2692
E01006126,Trafford 007B,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,4067.3
E01006127,Trafford 007C,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,1831.9
E01006128,Trafford 005D,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,6436.4
E01006129,Trafford 010B,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2955.4
E01006130,Trafford 007D,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,6186.3
E01006131,Trafford 005E,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2517.7
E01006132,Trafford 007E,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,1176.8
E01006133,Trafford 010C,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2106.8
E01006134,Trafford 028A,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,1270.7
E01006135,Trafford 028B,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,1953.4
E01006136,Trafford 028C,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,1343.4
E01006137,Trafford 028D,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,1038.2
E01006138,Trafford 028E,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,804.9
E01006139,Trafford 026D,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,6222
E01006140,Trafford 026E,Lower-layer Super Output Area,2021-03-21,Usual resident population density,Rate,Number of usual residents per square kilometre,2654.9
