area_code,area_name,geography,period,indicator,measure,unit,sex,age_group,value
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 45 to 49 years,8310
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 50 to 54 years,7089
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 55 to 59 years,6203
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 60 to 64 years,5860
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 65 to 69 years,5900
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 70 to 74 years,4125
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 75 to 79 years,3014
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 80 to 84 years,1632
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 85 years and over,776
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,All ages,258584
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 4 years and under,18399
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 5 to 9 years,17677
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 10 to 14 years,16429
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 15 to 19 years,17826
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 20 to 24 years,19574
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 25 to 29 years,19767
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 30 to 34 years,18201
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 35 to 39 years,16904
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 40 to 44 years,19280
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 45 to 49 years,16167
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 50 to 54 years,13987
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 55 to 59 years,12473
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 60 to 64 years,12288
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 65 to 69 years,12831
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 70 to 74 years,9830
E08000001,Bolton,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 75 to 79 years,8120
