area_code,area_name,geography,period,indicator,measure,unit,age,sex,value
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 23 years,All persons,10
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 23 years,Female,3
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 23 years,Male,7
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 24 years,All persons,15
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 24 years,Female,9
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 24 years,Male,6
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 25 years,All persons,18
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 25 years,Female,8
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 25 years,Male,10
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 26 years,All persons,8
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 26 years,Female,2
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 26 years,Male,6
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 27 years,All persons,14
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 27 years,Female,6
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 27 years,Male,8
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 28 years,All persons,10
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 28 years,Female,2
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 28 years,Male,8
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 29 years,All persons,10
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 29 years,Female,5
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 29 years,Male,5
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 30 years,All persons,10
E01006109,Trafford 001A,Lower-layer Super Output Area,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 30 years,Female,4
