area_code,area_name,geography,period,indicator,measure,unit,age,sex,value
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 25 years,All persons,3346
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 25 years,Female,1721
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 25 years,Male,1625
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 26 years,All persons,3471
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 26 years,Female,1826
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 26 years,Male,1645
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 27 years,All persons,3518
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 27 years,Female,1797
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 27 years,Male,1721
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 28 years,All persons,3643
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 28 years,Female,1920
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 28 years,Male,1723
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 29 years,All persons,3792
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 29 years,Female,2021
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 29 years,Male,1771
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 30 years,All persons,4085
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 30 years,Female,2205
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 30 years,Male,1880
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 31 years,All persons,3925
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 31 years,Female,2121
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 31 years,Male,1804
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 32 years,All persons,4043
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 32 years,Female,2047
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 32 years,Male,1996
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 33 years,All persons,4110
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 33 years,Female,2253
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 33 years,Male,1857
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 34 years,All persons,3879
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 34 years,Female,2137
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 34 years,Male,1742
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 35 years,All persons,4202
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 35 years,Female,2190
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 35 years,Male,2012
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 36 years,All persons,4045
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 36 years,Female,2028
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 36 years,Male,2017
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age,Count,Persons,Aged 37 years,All persons,3946
