area_code,area_name,geography,period,indicator,measure,unit,sex,age_group,value
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 43 years,1749
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 44 years,1773
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 45 years,1719
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 46 years,1782
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 47 years,1915
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 48 years,1953
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 49 years,2064
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 50 years,1994
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 51 years,2058
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 52 years,2082
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 53 years,1927
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 54 years,2047
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 55 years,2060
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 56 years,1924
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 57 years,1928
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 58 years,1830
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 59 years,1768
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 60 years,1780
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 61 years,1629
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 62 years,1569
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 63 years,1623
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 64 years,1480
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 65 years,1391
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 66 years,1354
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 67 years,1390
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 68 years,1378
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 69 years,1342
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 70 years,1270
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 71 years,1353
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 72 years,1337
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 73 years,1419
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 74 years,1374
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 75 years,1011
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 76 years,1052
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 77 years,984
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 78 years,904
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 79 years,758
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 80 years,672
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 81 years,651
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 82 years,627
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 83 years,593
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 84 years,433
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 85 years,394
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 86 years,331
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 87 years,280
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 88 years,248
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 89 years,200
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 90 years and over,654
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged under 1 year,3543
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 1 year,3731
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 2 years,3605
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 3 years,3686
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 4 years,3893
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 5 years,3840
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 6 years,4035
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 7 years,4069
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 8 years,4220
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 9 years,4270
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 10 years,4217
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 11 years,4249
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 12 years,4199
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 13 years,4132
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 14 years,4020
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 15 years,3965
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 16 years,3902
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 17 years,3898
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 18 years,3414
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 19 years,3140
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 20 years,3021
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 21 years,3225
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 22 years,3373
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 23 years,3473
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 24 years,3546
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 25 years,3346
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 26 years,3471
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 27 years,3516
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 28 years,3643
E08000001,Bolton,Local authority,2021-03-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 29 years,3792
