ward_code,ward_name,la_code,la_name,All languages,African language (all other),Afrikaans,Akan,Albanian,All other Chinese,All other languages,Amharic,Any other Eastern European Language (non EU),Any other European Language (EU),Any other Nigerian language,Any Sign Communication System,Arabic,Bengali (with Sylheti and Chatgaya),British sign language,Bulgarian,Cantonese Chinese,Caribbean Creole (all other),Caribbean Creole (English-based),Cornish,Czech,Danish,Dutch,East Asian Language (all other),English (English or Welsh if in Wales),Estonian,Finnish,French,Gaelic (Irish),Gaelic (Not otherwise specified),Gaelic (Scottish),German,Greek,Gujarati,Gypsy/Traveller languages,Hebrew,Hindi,Hungarian,Igbo,Italian,Japanese,Korean,Krio,Kurdish,Latvian,Lingala,Lithuanian,Luganda,Malay,Malayalam,Maltese,Mandarin Chinese,Manx Gaelic,Marathi,Nepalese,North/South American language (any),Northern European Language (non EU),Oceanic/Australian language (any),Pakistani Pahari (with Mirpuri and Potwari),Panjabi,Pashto,Persian/Farsi,Polish,Portuguese,Romani language (any),Romanian,Russian,Scots,Serbian/Croatian/Bosnian,Shona,Sign Language (all other),Sinhala,Slovak,Slovenian,Somali,South Asian Language (all other),Spanish,Swahili/Kiswahili,Swedish,Tagalog/Filipino,Tamil,Telugu,Thai,Tigrinya,Turkish,Ukrainian,Urdu,Vietnamese,Welsh/Cymraeg (in England only),West African language (all other),West/Central Asian Language (all other),Yiddish,Yoruba
E05000842,Aspull New Springs Whelley,E08000010,Wigan,12343,0,4,0,0,4,2,0,0,0,0,0,11,0,0,0,5,0,0,0,1,2,0,0,12199,0,0,5,1,0,0,1,2,5,0,0,0,0,0,0,1,0,0,7,9,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,31,0,0,2,6,0,0,1,0,0,8,0,0,1,1,0,0,1,4,0,5,0,2,0,12,0,0,0,0,0,0
E05000650,Astley Bridge,E08000001,Bolton,13295,7,0,0,9,12,3,0,0,0,0,0,21,2,2,0,10,0,0,0,2,0,1,2,12659,0,0,12,0,0,0,3,2,318,0,0,4,11,1,5,0,0,0,2,0,0,6,0,1,1,0,1,0,0,0,4,2,0,0,15,9,15,45,3,0,0,1,1,5,1,0,0,0,0,14,8,6,0,0,2,3,5,3,0,13,0,34,2,1,0,6,0,0
E05000843,Astley Mosley Common,E08000010,Wigan,10906,8,0,0,2,14,0,0,0,0,0,0,10,6,0,1,1,0,0,0,0,1,0,3,10761,0,0,8,0,0,0,2,0,2,0,0,2,0,0,3,0,0,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,23,2,0,3,2,0,0,3,2,1,0,0,0,0,10,0,2,4,5,0,5,0,3,1,0,0,1,0,0,0,0
E05000844,Atherleigh,E08000010,Wigan,11104,1,1,0,2,18,0,0,0,0,0,0,9,0,1,0,11,0,0,0,1,0,2,1,10906,0,0,13,0,0,0,9,2,5,1,0,1,2,0,1,0,0,0,3,4,0,16,0,1,2,1,5,0,0,0,0,1,0,0,7,0,3,22,13,0,0,0,0,0,1,0,0,5,0,0,3,0,2,1,0,8,0,10,0,2,0,6,0,1,0,0,0,0
E05000845,Atherton,E08000010,Wigan,14194,8,0,0,4,8,2,0,0,0,0,0,7,0,3,1,6,0,0,0,0,0,0,0,13948,0,1,14,0,0,0,0,0,15,0,0,2,9,0,3,0,0,0,11,0,0,5,0,0,0,0,2,0,0,0,0,1,0,0,2,0,6,55,9,0,1,3,0,0,21,0,0,3,0,0,0,1,1,1,2,2,0,9,1,5,0,11,4,1,1,4,0,1
E05000803,Audenshaw,E08000008,Tameside,11029,3,0,1,0,25,3,0,0,0,1,0,7,15,3,0,12,0,0,0,6,0,0,3,10743,0,0,7,0,1,0,5,1,17,0,0,0,0,1,10,0,0,0,0,0,0,3,0,1,0,0,1,0,0,2,0,0,0,0,27,1,0,41,3,0,1,6,0,0,0,0,0,1,0,0,1,1,2,1,0,0,0,4,1,1,1,57,3,0,4,0,0,2
E05000689,Baguley,E08000003,Manchester,14046,14,0,1,3,29,2,3,0,0,4,3,66,7,1,5,22,0,0,0,9,0,6,7,13130,0,0,26,1,0,0,9,6,10,0,0,12,5,2,8,0,0,0,4,2,2,4,0,4,54,0,10,0,1,3,0,2,0,1,20,2,32,230,25,0,14,9,1,0,11,0,15,28,0,8,3,12,3,1,27,16,7,6,1,21,2,56,1,3,4,2,0,8
E05000739,Balderstone and Kirkholt,E08000005,Rochdale,9917,7,0,0,0,2,3,0,0,0,0,0,2,24,4,0,0,0,0,0,5,0,5,0,9109,0,0,7,2,0,0,5,1,0,0,0,2,3,0,5,0,0,0,11,7,0,10,0,0,0,1,4,0,0,0,0,0,0,14,112,5,8,276,26,0,5,5,0,0,25,1,0,8,0,0,9,1,6,1,0,6,0,4,0,0,1,176,0,2,0,0,0,7
E05000740,Bamford,E08000005,Rochdale,9357,1,1,0,0,3,1,0,0,0,0,0,12,44,5,0,4,0,0,0,2,0,1,0,8687,1,1,11,1,0,0,6,0,2,0,0,9,1,0,17,0,0,0,9,1,0,6,0,0,0,0,0,0,0,0,1,0,0,39,132,6,5,56,5,0,2,0,0,2,0,0,1,0,0,0,7,3,6,0,4,14,7,2,0,0,4,228,2,0,1,3,0,1
E05000759,Barton,E08000006,Salford,11718,8,0,0,1,26,2,0,0,0,4,0,97,73,4,6,7,0,0,0,39,0,3,5,10880,4,2,27,0,0,0,8,0,1,0,0,2,7,0,5,1,1,0,0,10,2,8,0,2,10,1,8,0,1,3,0,0,0,0,6,0,26,214,31,0,6,3,1,1,13,1,0,19,0,4,1,13,0,0,33,11,2,9,3,3,0,44,4,2,4,4,0,2
E05000670,Besses,E08000002,Bury,10229,11,0,0,5,23,0,1,0,0,0,1,22,1,3,7,18,0,0,0,5,1,3,0,9714,0,0,17,0,0,0,5,2,21,0,0,6,13,4,9,2,0,1,5,6,0,33,0,0,7,0,0,0,0,0,0,1,0,0,19,2,25,114,9,0,0,2,0,1,13,0,3,6,0,7,2,9,1,1,2,0,0,5,0,4,8,42,0,1,1,1,0,4
E05000760,Boothstown and Ellenbrook,E08000006,Salford,9257,1,0,0,1,31,1,0,0,0,0,0,11,5,0,0,21,0,0,0,0,1,2,6,9033,0,0,3,0,0,0,5,2,18,0,0,5,1,0,3,0,0,0,0,0,0,0,0,0,3,0,2,0,6,2,0,1,0,0,1,0,3,14,3,0,0,8,0,0,0,0,0,1,0,0,18,15,0,0,0,8,2,2,0,4,0,8,0,2,0,0,4,0
E05000821,Bowdon,E08000009,Trafford,8957,0,2,0,2,12,1,0,0,5,0,0,15,3,1,13,5,0,0,0,3,3,10,2,8638,0,3,18,0,1,0,8,3,2,0,0,13,4,0,6,5,0,0,0,0,0,0,0,1,5,0,2,0,2,0,0,0,0,0,18,0,4,39,1,0,6,2,0,2,0,0,0,9,0,0,1,16,0,2,11,5,0,5,0,6,0,39,0,3,0,0,0,0
E05000690,Bradford,E08000003,Manchester,14984,47,1,34,2,294,8,9,0,2,11,0,110,9,3,7,184,0,0,0,42,1,27,4,12805,2,1,140,5,0,0,23,23,5,0,0,5,15,24,34,1,6,2,21,17,9,20,2,0,5,1,49,0,0,5,0,2,0,0,33,12,67,241,80,0,10,21,1,3,30,0,5,32,0,72,13,50,14,6,9,13,3,17,27,31,1,84,18,4,21,2,0,47
E05000651,Bradshaw,E08000001,Bolton,11173,9,0,0,0,8,2,0,0,0,0,0,0,0,4,0,4,0,0,0,7,1,1,0,10924,0,0,14,0,0,0,5,4,6,0,0,0,0,0,7,0,0,0,4,4,2,34,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,73,3,0,1,4,1,0,10,0,0,5,0,0,0,3,0,0,4,0,0,1,0,4,2,2,2,1,2,2,0,5
E05000779,Bramhall North,E08000007,Stockport,12674,2,0,0,0,28,1,0,0,1,0,0,18,17,2,2,28,0,0,0,3,4,7,1,12227,0,0,8,0,0,0,20,4,34,1,2,15,2,1,4,8,2,0,10,0,0,0,0,2,0,1,4,0,4,0,1,1,0,0,16,0,99,26,7,0,0,2,0,0,0,1,0,0,0,0,1,15,0,1,3,0,0,6,0,3,0,18,4,3,0,4,0,0
E05000780,Bramhall South,E08000007,Stockport,11667,0,0,0,0,16,1,0,0,0,0,0,3,1,0,2,6,0,0,0,3,2,4,3,11492,0,0,6,0,0,0,2,5,10,0,0,3,1,0,15,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,10,0,30,13,4,0,0,0,0,2,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,4,0,13,0,2,0,3,0,0
E05000781,Bredbury and Woodley,E08000007,Stockport,13136,0,2,0,0,8,1,0,0,0,0,0,5,1,3,3,12,0,0,0,2,0,3,1,13002,1,0,7,0,0,0,8,0,0,0,0,2,0,0,9,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,4,0,7,19,1,0,4,0,2,0,0,0,0,1,0,0,1,0,0,0,5,0,0,5,0,3,0,2,2,4,0,1,0,0
E05000782,Bredbury Green and Romiley,E08000007,Stockport,13670,0,0,1,0,19,1,0,0,0,0,2,2,7,2,0,7,0,0,0,2,0,6,5,13493,0,0,10,0,0,0,7,5,6,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,30,6,0,2,0,0,0,0,0,0,1,0,0,2,9,1,3,0,2,0,5,0,7,0,8,0,1,0,0,0,0
E05000652,Breightmet,E08000001,Bolton,13046,4,0,1,0,12,0,0,0,0,0,0,5,0,2,1,10,0,0,0,2,0,0,4,12659,0,0,15,0,0,0,5,0,51,0,0,4,11,1,4,1,0,0,2,3,0,10,0,0,0,1,4,0,0,0,0,0,0,0,12,0,20,80,13,0,1,0,1,0,2,0,0,10,0,4,1,5,1,1,25,0,0,2,0,26,0,16,0,2,5,7,0,0
E05000783,Brinnington and Central,E08000007,Stockport,14206,9,0,2,3,23,3,0,0,0,0,0,17,8,9,8,17,0,0,0,7,2,6,3,13606,2,0,12,0,1,0,12,2,9,0,1,3,7,0,5,1,1,0,7,2,1,3,0,1,2,0,7,0,0,0,0,0,0,3,31,0,25,149,9,0,7,6,0,7,9,1,0,3,0,0,0,11,4,0,19,2,0,3,1,13,3,82,4,5,1,5,0,1
E05000822,Broadheath,E08000009,Trafford,11985,6,1,0,1,61,1,1,0,0,0,1,34,18,5,0,27,0,0,0,4,3,5,0,11333,0,0,19,0,0,0,19,9,10,0,0,17,4,1,6,5,9,0,6,1,0,5,0,2,23,1,12,0,1,0,0,0,1,1,21,0,9,120,9,0,8,8,0,3,1,0,0,19,0,0,7,24,1,4,7,11,9,5,0,14,1,35,0,13,0,2,0,1
E05000653,Bromley Cross,E08000001,Bolton,13544,1,0,0,0,3,0,0,0,0,0,0,3,9,1,0,3,0,0,0,0,1,1,1,13418,0,0,5,0,0,0,4,0,28,0,0,0,5,0,3,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,15,4,0,2,2,1,2,0,1,0,0,0,0,0,7,0,1,0,3,1,0,0,2,0,0,0,1,0,3,0,0
E05000691,Brooklands,E08000003,Manchester,13644,6,0,1,10,36,2,1,0,0,0,0,68,5,2,8,29,0,0,0,20,4,5,1,12696,0,1,23,2,1,0,22,8,7,0,0,12,6,1,17,3,7,0,9,5,0,5,0,1,39,2,8,0,5,3,0,4,8,0,15,1,81,197,31,0,11,13,1,2,15,2,3,12,0,7,4,19,0,1,5,4,6,6,0,16,3,63,13,9,3,6,0,2
E05000823,Brooklands,E08000009,Trafford,10044,6,6,0,1,57,1,0,0,0,1,0,39,11,3,5,12,0,0,0,2,1,3,2,9607,0,1,24,1,0,0,6,8,7,0,0,6,2,0,7,4,2,0,0,0,0,0,0,1,0,1,13,0,6,0,0,1,0,0,7,1,20,52,6,0,7,7,0,4,0,0,3,3,0,0,0,25,0,2,1,8,7,9,0,9,0,23,0,3,0,0,0,0
E05000761,Broughton,E08000006,Salford,13064,20,0,9,20,68,3,12,6,0,15,0,109,10,7,5,12,0,0,0,37,4,8,9,10583,0,0,143,3,0,0,17,5,17,0,60,9,19,5,17,5,0,0,58,16,27,25,6,1,31,0,15,0,0,0,0,6,0,2,66,28,74,588,115,0,17,31,0,4,17,4,7,38,1,54,0,33,14,3,20,10,7,4,93,4,0,94,6,0,11,7,273,17
E05000846,Bryn,E08000010,Wigan,11324,0,0,0,0,4,0,0,0,0,0,0,1,0,1,2,5,0,0,0,0,0,0,0,11263,0,0,1,0,0,0,2,1,4,0,0,0,1,0,2,0,0,0,0,1,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,2,0,4,0,2,0,1,1,0,0,0
E05000824,Bucklow-St Martins,E08000009,Trafford,9809,1,0,0,0,8,0,0,0,0,0,0,13,3,1,1,1,0,0,0,3,0,8,6,9568,0,1,16,0,0,0,5,1,0,0,0,0,5,0,4,1,2,3,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,8,0,7,75,7,0,1,5,0,1,5,1,0,0,0,3,0,6,0,5,5,0,0,5,1,4,0,8,0,0,2,0,0,2
E05000692,Burnage,E08000003,Manchester,14530,7,1,5,1,59,6,3,0,0,0,0,247,161,5,1,25,0,0,0,37,11,1,0,12574,1,3,19,3,0,0,19,5,59,0,0,15,12,3,5,0,4,0,71,5,0,4,0,3,37,0,9,0,11,14,0,0,0,10,153,24,51,84,19,0,4,9,2,9,13,2,0,5,0,8,16,21,2,0,9,16,3,4,1,15,0,595,1,5,2,1,0,0
E05000762,Cadishead,E08000006,Salford,9804,0,0,0,0,21,3,0,0,0,0,0,9,10,2,2,2,0,0,0,1,0,2,0,9578,0,0,6,0,0,0,5,5,8,0,0,8,4,3,0,0,0,0,0,0,0,0,0,0,5,0,4,0,2,0,0,0,0,0,4,0,0,56,6,0,1,1,0,0,5,0,0,15,0,0,3,6,0,0,3,2,0,7,0,4,0,3,4,1,0,0,1,2
E05000741,Castleton,E08000005,Rochdale,9760,6,0,0,1,17,3,0,0,0,0,0,14,22,5,1,1,0,0,0,10,0,2,1,9209,0,0,9,1,0,0,3,1,7,0,0,5,1,2,10,0,0,0,8,1,1,4,0,0,3,0,2,0,4,0,0,0,0,4,107,1,6,65,4,0,0,4,0,3,6,0,0,6,0,0,9,5,22,0,4,4,0,2,0,0,11,135,0,1,2,3,0,2
E05000742,Central Rochdale,E08000005,Rochdale,10655,13,0,0,0,30,5,2,0,0,1,0,26,953,7,1,3,0,0,0,1,1,6,3,7264,0,0,35,0,0,0,1,1,4,1,0,8,7,2,6,0,0,0,58,9,1,16,0,0,38,5,4,0,0,15,1,1,0,427,241,24,22,225,65,0,2,21,1,1,8,1,4,3,0,0,145,3,23,0,21,3,0,3,0,7,6,864,1,2,0,0,0,3
E05000720,Chadderton Central,E08000004,Oldham,10093,3,0,0,0,7,0,0,0,1,0,0,2,260,0,0,21,0,0,0,3,0,0,0,9611,0,0,9,0,0,0,9,4,8,0,0,2,5,1,4,0,0,0,0,4,0,3,0,0,5,0,2,0,0,0,0,1,0,0,23,15,4,25,1,0,0,3,0,0,2,0,2,4,1,4,2,1,2,0,4,0,0,1,1,0,2,29,2,0,0,0,0,0
E05000721,Chadderton North,E08000004,Oldham,10571,4,0,0,2,6,0,0,0,0,0,1,2,913,2,0,9,0,0,0,3,0,1,1,9457,2,0,3,0,0,0,4,2,16,0,0,1,1,0,5,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,21,9,0,19,10,0,0,3,0,2,0,0,2,4,0,0,10,2,3,0,3,0,0,3,0,3,2,31,1,0,2,0,0,0
E05000722,Chadderton South,E08000004,Oldham,10581,5,0,0,0,7,2,0,1,0,0,0,7,86,2,3,20,0,0,0,6,0,2,1,10212,0,0,6,1,0,0,0,1,13,0,0,0,20,2,4,0,0,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,3,26,10,5,38,6,0,0,2,0,0,2,0,0,5,0,0,0,7,4,0,0,0,0,1,6,1,2,51,2,1,0,0,0,0
E05000693,Charlestown,E08000003,Manchester,13668,30,1,7,8,76,10,6,0,0,11,0,33,5,8,3,74,0,0,0,17,0,4,0,12736,0,1,50,0,0,0,11,3,8,0,0,3,10,10,2,1,0,0,25,11,7,24,0,4,1,0,5,0,0,0,0,1,0,2,15,7,66,113,28,0,0,9,0,0,13,1,1,10,0,30,1,20,3,3,7,5,0,9,16,4,0,56,11,1,2,9,0,20
E05000784,Cheadle and Gatley,E08000007,Stockport,14161,1,3,0,6,34,1,0,0,0,0,2,74,34,3,2,9,0,0,0,0,0,0,0,13332,0,1,13,0,0,0,7,12,39,0,7,14,15,0,16,9,9,0,23,1,0,0,0,0,3,0,1,0,7,0,0,4,0,3,73,4,78,27,3,0,5,9,0,3,0,0,0,2,0,0,0,18,0,1,18,2,0,3,0,11,2,209,0,3,0,5,0,0
E05000785,Cheadle Hulme North,E08000007,Stockport,12467,1,0,0,3,11,2,0,0,0,1,2,26,19,1,2,6,0,0,0,7,1,2,2,12069,0,0,10,0,1,0,2,14,21,0,1,4,2,0,3,2,0,0,11,0,0,0,0,0,0,0,2,0,0,2,0,3,0,0,23,5,60,22,9,0,1,3,0,3,0,1,0,0,0,0,0,18,1,2,4,4,0,2,0,7,0,59,0,2,0,8,0,0
E05000786,Cheadle Hulme South,E08000007,Stockport,13081,0,0,0,0,13,1,0,0,0,0,1,38,12,11,3,15,0,0,0,1,5,2,2,12622,0,1,10,0,0,0,7,6,30,0,3,22,3,0,15,0,0,0,5,0,0,0,0,0,3,0,4,0,4,0,0,0,0,0,20,0,76,17,11,0,0,7,0,2,0,0,3,0,0,0,8,12,0,1,9,4,2,2,0,2,0,54,0,8,0,4,0,0
E05000694,Cheetham,E08000003,Manchester,21220,68,1,8,77,230,31,20,3,2,31,0,685,27,9,7,133,0,2,0,112,4,28,7,13904,13,0,132,0,2,0,36,38,49,1,2,47,16,10,63,3,4,0,155,32,18,78,1,177,14,1,20,0,5,2,0,2,0,85,888,135,333,436,85,0,17,69,3,5,39,7,1,100,0,121,141,70,43,8,15,16,115,19,37,14,17,1880,116,7,21,29,0,38
E05000695,Chorlton,E08000003,Manchester,13601,6,1,0,0,37,1,0,0,6,0,0,83,20,7,2,13,0,0,0,13,1,13,0,12624,0,2,48,3,0,0,44,13,11,0,3,7,5,1,23,9,0,0,16,6,0,15,0,0,5,1,0,0,0,0,0,3,0,0,138,12,40,94,9,0,6,18,0,1,0,1,0,15,0,1,7,46,3,5,1,1,1,4,2,10,2,131,0,10,0,0,0,1
E05000696,Chorlton Park,E08000003,Manchester,14497,8,0,4,3,50,3,1,0,1,2,0,206,48,8,9,28,0,0,0,8,0,22,3,13167,0,2,36,2,0,0,33,22,16,0,1,4,4,0,22,7,5,0,22,8,3,7,0,0,5,2,8,0,0,5,0,2,0,0,85,17,79,89,26,0,8,11,0,7,2,1,11,8,2,46,7,61,7,8,13,2,0,8,12,12,1,162,4,10,5,3,0,3
E05000671,Church,E08000002,Bury,10091,0,0,1,0,7,2,1,0,0,0,0,7,3,21,0,20,0,0,0,2,0,0,0,9840,0,0,2,0,0,0,3,3,2,0,1,6,9,0,8,0,0,0,5,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,27,12,15,20,0,0,0,1,1,0,2,1,2,0,0,0,3,4,0,0,1,0,4,9,0,0,2,37,0,1,1,1,0,0
E05000697,City Centre,E08000003,Manchester,17703,10,1,0,8,1365,13,1,0,10,9,0,597,8,3,24,218,0,0,1,6,8,23,6,12732,4,17,104,5,0,0,79,877,9,0,8,25,18,0,78,55,65,0,13,6,0,19,0,45,3,6,154,0,8,1,0,18,1,0,4,2,84,80,64,0,49,78,0,15,9,0,8,17,1,7,5,272,1,16,4,2,2,80,6,68,1,68,36,11,0,51,0,1
E05000763,Claremont,E08000006,Salford,9557,0,1,0,0,14,1,1,0,1,0,0,6,3,6,0,21,0,0,0,1,0,0,1,9288,0,0,5,0,1,0,5,1,2,0,0,7,4,0,10,2,0,0,1,3,0,2,0,3,7,1,5,0,0,3,0,0,0,1,9,1,1,51,14,0,1,7,0,0,2,0,0,7,0,0,2,4,0,0,11,0,0,5,2,3,0,18,8,1,0,3,0,0
E05000825,Clifford,E08000009,Trafford,11254,18,0,0,0,47,4,3,0,0,2,0,216,39,5,8,12,0,1,0,7,3,10,9,8464,3,0,37,2,1,0,28,26,564,0,0,14,7,3,8,0,3,0,34,0,3,7,2,10,1,0,14,0,0,0,0,2,2,3,264,31,103,273,25,0,9,4,0,5,6,3,2,10,0,172,21,23,25,2,4,3,2,2,28,23,3,555,5,2,11,8,0,8
E05000723,Coldhurst,E08000004,Oldham,12347,47,0,0,8,14,15,5,0,0,11,0,23,4470,3,0,4,0,0,0,3,0,1,5,7094,1,0,16,0,0,0,4,0,22,2,0,7,3,0,9,0,1,0,44,2,1,13,1,0,18,0,7,0,0,0,1,1,0,4,61,15,32,45,29,0,2,2,2,3,13,1,0,11,0,42,28,2,7,0,20,4,1,0,34,5,5,113,0,0,7,1,0,2
E05000654,Crompton,E08000001,Bolton,14609,28,0,3,5,32,7,1,0,0,1,1,74,6,6,0,12,0,0,0,4,0,8,0,11576,0,2,11,0,0,0,7,3,1885,0,0,9,56,0,5,0,1,3,30,1,1,24,1,0,1,1,4,0,0,4,17,4,0,1,149,8,55,166,30,0,1,5,0,13,14,11,5,3,0,45,12,2,0,6,1,8,0,10,0,10,8,177,1,0,2,29,0,3
E05000724,Crompton,E08000004,Oldham,10282,1,2,0,1,11,1,0,0,0,1,0,2,37,0,0,0,0,0,0,3,1,0,0,10138,0,0,2,0,0,0,1,0,5,0,0,0,8,0,5,0,0,0,3,4,0,6,0,0,0,2,2,0,0,0,1,0,0,0,12,0,1,9,1,0,2,0,0,1,0,1,0,2,0,1,0,3,0,0,3,0,0,4,0,2,0,2,0,0,1,0,0,0
