ward_code,ward_name,year,vacant_seats,candidate,party,votes,ballot_papers_issued,spoiled_ballots,electorate,elected,party_gain
E05000836,Stretford,2019,1,LEPORI Simon Edward,Liberal Democrats,107,2804,12,7843,FALSE,na
E05000836,Stretford,2019,1,LEUNG Kwok Si Nicholas,Conservative Party,329,2804,12,7843,FALSE,na
E05000836,Stretford,2019,1,MCDERMOTT Barbara,UK Independence Party,208,2804,12,7843,FALSE,na
E05000836,Stretford,2019,1,O'NEILL Liz,Green Party,304,2804,12,7843,FALSE,na
E05000837,Timperley,2019,1,BRUER-MORRIS Angela Miriam,Conservative Party,1266,3918,23,8410,FALSE,na
E05000837,Timperley,2019,1,LEIGH Jadwiga Teresa,Green Party,423,3918,23,8410,FALSE,na
E05000837,Timperley,2019,1,MINNIS Meena,Liberal Democrats,1653,3918,23,8410,TRUE,TRUE
E05000837,Timperley,2019,1,ROYLE Pauline Brenda,UK Independence Party,187,3918,23,8410,FALSE,na
E05000837,Timperley,2019,1,TAYLOR Neil Anthony,The Liberal Party,367,3918,23,8410,FALSE,na
E05000838,Urmston,2019,1,DOUGLAS Krissy,UK Independence Party,340,3394,17,8472,FALSE,na
E05000838,Urmston,2019,1,ENNIS Shaun Gavin,Liberal Democrats,179,3394,17,8472,FALSE,na
E05000838,Urmston,2019,1,HARDING Jo,Labour and Co-operative Party,1844,3394,17,8472,TRUE,FALSE
E05000838,Urmston,2019,1,JOHN Lijo,Local Conservatives,724,3394,17,8472,FALSE,na
E05000838,Urmston,2019,1,WHYTE Luciya,Green Party,290,3394,17,8472,FALSE,na
E05000839,Village,2019,1,HASSAN Waseem,Labour Party,456,3217,18,7905,FALSE,na
E05000839,Village,2019,1,MEACHER Darren Christopher,Conservative Party,942,3217,18,7905,FALSE,na
E05000839,Village,2019,1,NEWGROSH Julian David,Liberal Democrats,1310,3217,18,7905,TRUE,TRUE
E05000839,Village,2019,1,O'NEILL Angela,UK Independence Party,295,3217,18,7905,FALSE,na
E05000839,Village,2019,1,RAIKES Robert,Green Party,196,3217,18,7905,FALSE,na
E05000819,Altrincham,2018,2,BILLER Constantine Philip,Conservative Party,1386,4133,257,8892,FALSE,na
E05000819,Altrincham,2018,2,COGGINS Geraldine Philomena,Green Party,1621,4133,257,8892,TRUE,TRUE
E05000819,Altrincham,2018,2,JERROME Dan,Green Party,1944,4133,257,8892,TRUE,TRUE
E05000819,Altrincham,2018,2,MARTIN David Harold,Liberal Democrats,93,4133,257,8892,FALSE,na
E05000819,Altrincham,2018,2,NEWGROSH Julian David,Liberal Democrats,118,4133,257,8892,FALSE,na
