AREFNO,date,year,month,day,hour,mode,output_time,collision_severity,casualty_severity,number_vehicles,number_casualties,sex,ageband,light_conditions,speed_limit,area_name,lon,lat
2024061395384,2024-01-01,2024,Jan,Mon,10,Car,10:30:00,Slight,Slight,2,2,Female,46-55,Daylight,60,Stockport,-2.1263383590703677,53.42479883824939
2024061395496,2024-01-06,2024,Jan,Sat,3,Car,03:50:00,Slight,Slight,2,1,Female,21-25,Dark,30,Bolton,-2.4069916558274085,53.60229579933069
2024061395550,2024-01-06,2024,Jan,Sat,13,Car,13:20:00,Serious,Serious,1,1,Male,46-55,Daylight,20,Manchester,-2.228989131365997,53.48161502512189
2024061395610,2024-01-06,2024,Jan,Sat,19,Car,19:10:00,Slight,Slight,2,1,Female,36-45,Dark,40,Bolton,-2.5494053724002503,53.572127629279365
2024061395650,2024-01-06,2024,Jan,Sat,17,Powered 2 Wheeler,17:10:00,Serious,Serious,2,1,Male,26-35,Dark,30,Tameside,-2.113151883594428,53.451570863462386
2024061395671,2024-01-06,2024,Jan,Sat,18,Car,18:00:00,Serious,Slight,2,2,Male,6-10,Dark,40,Trafford,-2.3500307306867128,53.4700410018756
2024061395671,2024-01-06,2024,Jan,Sat,18,Car,18:00:00,Serious,Serious,2,2,Female,0-5,Dark,40,Trafford,-2.3500307306867128,53.4700410018756
2024061395674,2024-01-06,2024,Jan,Sat,18,Car,18:00:00,Slight,Slight,2,2,Female,46-55,Dark,70,Wigan,-2.704542046806615,53.536025288537715
2024061395674,2024-01-06,2024,Jan,Sat,18,Car,18:00:00,Slight,Slight,2,2,Female,21-25,Dark,70,Wigan,-2.704542046806615,53.536025288537715
2024061395675,2024-01-07,2024,Jan,Sun,17,Pedal Cycle,17:30:00,Slight,Slight,2,1,Male,36-45,Dark,30,Manchester,-2.212915433727797,53.46147465674935
2024061395686,2024-01-07,2024,Jan,Sun,16,Powered 2 Wheeler,16:35:00,Serious,Serious,2,1,Male,21-25,Daylight,30,Oldham,-2.0864594056138186,53.52805774055012
2024061395746,2024-01-02,2024,Jan,Tue,17,Car,17:00:00,Slight,Slight,2,1,Female,21-25,Dark,30,Manchester,-2.253110662655685,53.453225644334594
2024061396033,2024-01-07,2024,Jan,Sun,12,Car,12:07:00,Slight,Slight,2,1,Female,66-75,Daylight,40,Oldham,-2.1652871506057583,53.52241078400928
2024061396156,2024-01-08,2024,Jan,Mon,18,Car,18:00:00,Serious,Serious,2,1,Male,56-65,Dark,30,Salford,-2.259395881497387,53.49613209764955
2024061396353,2024-01-09,2024,Jan,Tue,8,Car,08:51:00,Slight,Slight,4,3,Male,26-35,Daylight,60,Wigan,-2.559624115304095,53.46767880533323
2024061396353,2024-01-09,2024,Jan,Tue,8,Car,08:51:00,Slight,Slight,4,3,Female,56-65,Daylight,60,Wigan,-2.559624115304095,53.46767880533323
2024061396353,2024-01-09,2024,Jan,Tue,8,Car,08:51:00,Slight,Slight,4,3,Female,36-45,Daylight,60,Wigan,-2.559624115304095,53.46767880533323
2024061396438,2024-01-09,2024,Jan,Tue,7,Pedestrian,07:15:00,Serious,Serious,1,1,Female,Over 75,Daylight,20,Manchester,-2.170070949640229,53.47412726328466
2024061396817,2024-01-09,2024,Jan,Tue,16,Pedal Cycle,16:05:00,Serious,Serious,2,1,Male,11-15,Dark,20,Manchester,-2.166300191734659,53.46534186208398
2024061396885,2024-01-09,2024,Jan,Tue,15,Pedestrian,15:14:00,Serious,Serious,1,1,Female,46-55,Daylight,30,Manchester,-2.2243143853737424,53.469543406933205
2024061396931,2024-01-10,2024,Jan,Wed,15,Car,15:30:00,Slight,Slight,2,1,Male,46-55,Dark,70,Bolton,-2.454079932676983,53.54598489217065
2024061396964,2024-01-05,2024,Jan,Fri,12,Pedestrian,12:19:00,Serious,Serious,1,1,Female,Over 75,Daylight,30,Rochdale,-2.094650303933084,53.64254423000391
2024061396965,2024-01-09,2024,Jan,Tue,16,Taxi or private hire,16:00:00,Slight,Slight,2,1,Female,36-45,Daylight,30,Oldham,-2.1252456127272015,53.55439513831983
2024061396972,2024-01-09,2024,Jan,Tue,21,Pedestrian,21:50:00,Serious,Serious,1,1,Female,16-20,Dark,30,Oldham,-2.1299162874846247,53.52207701243704
2024061396973,2024-01-09,2024,Jan,Tue,21,Car,21:58:00,Slight,Slight,3,2,Male,16-20,Dark,30,Manchester,-2.1937494256008425,53.476284352870245
2024061396973,2024-01-09,2024,Jan,Tue,21,Car,21:58:00,Slight,Slight,3,2,Female,46-55,Dark,30,Manchester,-2.1937494256008425,53.476284352870245
2024061397031,2024-01-10,2024,Jan,Wed,14,Car,14:45:00,Slight,Slight,3,5,Male,36-45,Daylight,30,Manchester,-2.2419465271758434,53.536868220284695
2024061397031,2024-01-10,2024,Jan,Wed,14,Car,14:45:00,Slight,Slight,3,5,Male,36-45,Daylight,30,Manchester,-2.2419465271758434,53.536868220284695
2024061397031,2024-01-10,2024,Jan,Wed,14,Car,14:45:00,Slight,Slight,3,5,Male,36-45,Daylight,30,Manchester,-2.2419465271758434,53.536868220284695
2024061397031,2024-01-10,2024,Jan,Wed,14,Car,14:45:00,Slight,Slight,3,5,Male,26-35,Daylight,30,Manchester,-2.2419465271758434,53.536868220284695
2024061397031,2024-01-10,2024,Jan,Wed,14,Car,14:45:00,Slight,Slight,3,5,Male,46-55,Daylight,30,Manchester,-2.2419465271758434,53.536868220284695
2024061397220,2024-01-11,2024,Jan,Thu,7,Powered 2 Wheeler,07:30:00,Serious,Serious,2,1,Male,26-35,Dark,20,Manchester,-2.2380121959242487,53.475691958666616
2024061397358,2024-01-10,2024,Jan,Wed,17,Pedestrian,17:06:00,Serious,Serious,1,1,Male,66-75,Dark,30,Manchester,-2.235677243995633,53.50019909454035
2024061397366,2024-01-11,2024,Jan,Thu,16,Pedestrian,16:20:00,Slight,Slight,1,1,Male,56-65,Daylight,20,Manchester,-2.163854580980913,53.47174503207626
2024061397397,2024-01-11,2024,Jan,Thu,7,Pedestrian,07:38:00,Serious,Serious,1,1,Female,11-15,Dark,40,Manchester,-2.2081158240705867,53.43173117645268
2024061397411,2024-01-10,2024,Jan,Wed,19,Car,19:55:00,Slight,Slight,2,2,Female,36-45,Dark,30,Bolton,-2.4236552622089365,53.582220902672134
2024061397411,2024-01-10,2024,Jan,Wed,19,Car,19:55:00,Slight,Slight,2,2,Male,36-45,Dark,30,Bolton,-2.4236552622089365,53.582220902672134
2024061397502,2024-01-10,2024,Jan,Wed,8,Car,08:23:00,Serious,Serious,1,1,Female,26-35,Daylight,30,Trafford,-2.2684254350963577,53.4651828398138
2024061397514,2024-01-04,2024,Jan,Thu,13,Car,13:15:00,Serious,Serious,2,1,-1,36-45,Daylight,30,Tameside,-2.059903371740224,53.48102876563973
2024061397557,2024-01-12,2024,Jan,Fri,8,Pedestrian,08:44:00,Slight,Slight,1,1,Male,6-10,Daylight,20,Manchester,-2.1724334311046136,53.454861579335045
2024061397707,2024-01-12,2024,Jan,Fri,15,Pedal Cycle,15:00:00,Slight,Slight,2,1,Male,46-55,Daylight,30,Trafford,-2.340250890437506,53.38492961807184
2024061397711,2024-01-03,2024,Jan,Wed,12,Pedestrian,12:30:00,Serious,Serious,1,1,Male,Over 75,Daylight,30,Bolton,-2.428815967383374,53.57724992088318
2024061397778,2024-01-12,2024,Jan,Fri,21,Pedestrian,21:31:00,Slight,Slight,1,1,Male,36-45,Dark,20,Stockport,-2.187954104566237,53.41959417309942
2024061397790,2024-01-12,2024,Jan,Fri,13,Pedestrian,13:50:00,Serious,Serious,1,1,Female,66-75,Daylight,30,Salford,-2.421491731405911,53.50291479825161
2024061397795,2024-01-12,2024,Jan,Fri,16,Pedestrian,16:30:00,Slight,Slight,1,1,Male,0-5,Daylight,30,Tameside,-2.087521588097641,53.48728559731699
2024061397873,2024-01-10,2024,Jan,Wed,18,Pedal Cycle,18:36:00,Slight,Slight,2,1,Male,46-55,Daylight,30,Manchester,-2.2399425096681425,53.47334210463444
2024061398057,2024-01-13,2024,Jan,Sat,16,Car,16:09:00,Slight,Slight,1,1,Male,21-25,Daylight,40,Bolton,-2.4912024807466464,53.554862487148156
2024061398268,2024-01-14,2024,Jan,Sun,17,Car,17:10:00,Slight,Slight,1,1,Male,36-45,Dark,30,Tameside,-2.0763087134796345,53.445245296222424
2024061398377,2024-01-06,2024,Jan,Sat,16,Other Vehicle,16:50:00,Serious,Serious,2,1,Male,16-20,Daylight,20,Manchester,-2.1849150723036814,53.45777313328372
2024061398398,2024-01-01,2024,Jan,Mon,19,Car,19:15:00,Slight,Slight,2,2,Female,21-25,Dark,30,Manchester,-2.225111933592661,53.45516033331028
2024061398398,2024-01-01,2024,Jan,Mon,19,Car,19:15:00,Slight,Slight,2,2,Female,26-35,Dark,30,Manchester,-2.225111933592661,53.45516033331028
2024061398437,2024-01-06,2024,Jan,Sat,13,Car,13:00:00,Slight,Slight,2,2,Female,21-25,Daylight,30,Trafford,-2.3001614042100096,53.46498142856439
2024061398437,2024-01-06,2024,Jan,Sat,13,Car,13:00:00,Slight,Slight,2,2,Female,21-25,Daylight,30,Trafford,-2.3001614042100096,53.46498142856439
2024061398516,2024-01-03,2024,Jan,Wed,10,Car,10:20:00,Slight,Slight,2,1,Female,6-10,Daylight,30,Wigan,-2.5788289880158293,53.53504625292344
2024061398533,2024-01-15,2024,Jan,Mon,11,Car,11:10:00,Slight,Slight,2,1,Female,46-55,Daylight,30,Bolton,-2.4337786934545482,53.57370857977431
2024061398536,2024-01-08,2024,Jan,Mon,16,Pedestrian,16:55:00,Slight,Slight,1,1,Female,36-45,Dark,20,Salford,-2.2528818392499432,53.4831128223291
2024061398596,2024-01-02,2024,Jan,Tue,12,Other Vehicle,12:40:00,Slight,Slight,2,1,Male,11-15,Daylight,30,Salford,-2.330696351185114,53.51760011453837
2024061398624,2024-01-15,2024,Jan,Mon,14,Car,14:18:00,Slight,Slight,2,2,Female,Over 75,Daylight,30,Trafford,-2.3973217357082683,53.44781719116401
2024061398624,2024-01-15,2024,Jan,Mon,14,Car,14:18:00,Slight,Slight,2,2,Male,Over 75,Daylight,30,Trafford,-2.3973217357082683,53.44781719116401
2024061398654,2024-01-15,2024,Jan,Mon,15,Pedestrian,15:09:00,Serious,Serious,1,1,Male,6-10,Daylight,30,Stockport,-2.151748320631619,53.39752491105245
2024061398684,2024-01-12,2024,Jan,Fri,14,Car,14:30:00,Slight,Slight,2,2,Male,26-35,Daylight,70,Salford,-2.3843744279528964,53.49963335882362
2024061398684,2024-01-12,2024,Jan,Fri,14,Car,14:30:00,Slight,Slight,2,2,Female,46-55,Daylight,70,Salford,-2.3843744279528964,53.49963335882362
2024061398735,2024-01-15,2024,Jan,Mon,12,Pedestrian,12:44:00,Slight,Slight,1,1,Male,Over 75,Daylight,20,Manchester,-2.229260245994476,53.462046607729036
2024061398737,2024-01-15,2024,Jan,Mon,9,Pedestrian,09:18:00,Serious,Serious,1,1,Female,46-55,Daylight,30,Bolton,-2.544172698131249,53.5938585412489
2024061398773,2024-01-01,2024,Jan,Mon,19,Pedestrian,19:15:00,Serious,Serious,1,1,Male,66-75,Dark,30,Stockport,-2.137979791717535,53.404354975414115
2024061398822,2024-01-01,2024,Jan,Mon,3,Car,03:15:00,Slight,Slight,2,1,Male,46-55,Dark,30,Salford,-2.264908335724573,53.48332044499118
2024061398926,2024-01-15,2024,Jan,Mon,17,Car,17:00:00,Slight,Slight,3,2,Male,Over 75,Dark,30,Stockport,-2.1435785227273736,53.414271723218675
2024061398926,2024-01-15,2024,Jan,Mon,17,Pedal Cycle,17:00:00,Slight,Slight,3,2,Male,46-55,Dark,30,Stockport,-2.1435785227273736,53.414271723218675
2024061398959,2024-01-16,2024,Jan,Tue,9,Pedestrian,09:30:00,Slight,Slight,1,1,Female,66-75,Daylight,20,Wigan,-2.600005758364627,53.47802639577926
2024061399000,2024-01-15,2024,Jan,Mon,18,Pedestrian,18:30:00,Serious,Serious,1,1,Male,11-15,Dark,30,Manchester,-2.2429767249925696,53.46385312478239
2024061399009,2024-01-11,2024,Jan,Thu,16,Pedestrian,16:10:00,Slight,Slight,1,1,Female,11-15,Daylight,30,Wigan,-2.519929737641717,53.49468899035954
2024061399052,2024-01-08,2024,Jan,Mon,14,Car,14:00:00,Slight,Slight,2,1,Female,36-45,Daylight,20,Wigan,-2.5117232640400813,53.49039195502391
2024061399239,2024-01-17,2024,Jan,Wed,2,Car,02:58:00,Slight,Slight,3,2,Female,21-25,Dark,30,Manchester,-2.2201903277934347,53.40915724349704
2024061399239,2024-01-17,2024,Jan,Wed,2,Car,02:58:00,Slight,Slight,3,2,Female,21-25,Dark,30,Manchester,-2.2201903277934347,53.40915724349704
2024061399320,2024-01-17,2024,Jan,Wed,6,Car,06:20:00,Serious,Serious,7,4,Male,56-65,Dark,70,Rochdale,-2.035043002257869,53.62907636798447
2024061399320,2024-01-17,2024,Jan,Wed,6,Car,06:20:00,Serious,Serious,7,4,Male,16-20,Dark,70,Rochdale,-2.035043002257869,53.62907636798447
2024061399320,2024-01-17,2024,Jan,Wed,6,Car,06:20:00,Serious,Slight,7,4,Male,36-45,Dark,70,Rochdale,-2.035043002257869,53.62907636798447
2024061399320,2024-01-17,2024,Jan,Wed,6,Car,06:20:00,Serious,Slight,7,4,Male,56-65,Dark,70,Rochdale,-2.035043002257869,53.62907636798447
2024061399359,2024-01-05,2024,Jan,Fri,12,Car,12:03:00,Slight,Slight,3,2,Female,56-65,Daylight,30,Manchester,-2.2465698632446855,53.483458597289186
2024061399359,2024-01-05,2024,Jan,Fri,12,Car,12:03:00,Slight,Slight,3,2,Female,46-55,Daylight,30,Manchester,-2.2465698632446855,53.483458597289186
2024061399394,2024-01-10,2024,Jan,Wed,14,Pedal Cycle,14:30:00,Slight,Slight,2,1,Male,21-25,Daylight,30,Manchester,-2.2391689058375777,53.47240885623363
2024061399475,2024-01-11,2024,Jan,Thu,19,Pedal Cycle,19:20:00,Slight,Slight,2,1,Male,36-45,Dark,30,Manchester,-2.228748488344507,53.43131588434339
2024061399558,2024-01-15,2024,Jan,Mon,19,Pedestrian,19:07:00,Slight,Slight,1,1,Male,46-55,Dark,30,Wigan,-2.6227591852691456,53.540838757863604
2024061399591,2024-01-17,2024,Jan,Wed,9,Pedestrian,09:50:00,Serious,Serious,1,1,Female,66-75,Daylight,30,Salford,-2.4258104017986097,53.5291547572986
2024061399688,2024-01-17,2024,Jan,Wed,20,Car,20:44:00,Slight,Slight,2,1,Male,36-45,Dark,30,Wigan,-2.6052637431991252,53.54357123802126
2024061399837,2024-01-18,2024,Jan,Thu,7,Car,07:15:00,Slight,Slight,2,1,Male,36-45,Dark,70,Manchester,-2.271744641190961,53.392943405873616
2024061399898,2024-01-09,2024,Jan,Tue,15,Car,15:30:00,Slight,Slight,2,1,Female,-1,Daylight,30,Bolton,-2.450956979054509,53.59430926385351
2024061400150,2024-01-18,2024,Jan,Thu,17,Pedestrian,17:10:00,Slight,Slight,1,1,Male,11-15,Daylight,30,Tameside,-2.01230944505735,53.45415878097783
2024061400196,2024-01-18,2024,Jan,Thu,13,Goods Vehicle,13:08:00,Slight,Slight,2,1,Male,36-45,Daylight,70,Salford,-2.3824042674643846,53.49345561511766
2024061400199,2024-01-18,2024,Jan,Thu,8,Car,08:21:00,Slight,Slight,2,1,Male,36-45,Dark,30,Bolton,-2.4483037980686366,53.57204608133429
2024061400202,2024-01-18,2024,Jan,Thu,9,Car,09:05:00,Slight,Slight,2,1,Female,36-45,Daylight,70,Manchester,-2.274122999296281,53.41436674147594
2024061400233,2024-01-02,2024,Jan,Tue,16,Car,16:45:00,Serious,Serious,2,1,Male,26-35,Daylight,30,Salford,-2.3418644073106525,53.50546125763329
2024061400294,2024-01-19,2024,Jan,Fri,8,Car,08:40:00,Serious,Slight,7,2,Female,26-35,Daylight,50,Bolton,-2.4031642773863773,53.559029862868904
2024061400294,2024-01-19,2024,Jan,Fri,8,Car,08:40:00,Serious,Serious,7,2,Female,21-25,Daylight,50,Bolton,-2.4031642773863773,53.559029862868904
2024061400361,2024-01-19,2024,Jan,Fri,9,Pedestrian,09:10:00,Serious,Serious,1,1,Male,6-10,Daylight,30,Salford,-2.322011899928175,53.51196113062276
2024061400388,2024-01-09,2024,Jan,Tue,12,Car,12:49:00,Serious,Slight,2,2,Male,36-45,Daylight,30,Wigan,-2.5196023175045297,53.49503197860369
2024061400388,2024-01-09,2024,Jan,Tue,12,Car,12:49:00,Serious,Serious,2,2,Female,26-35,Daylight,30,Wigan,-2.5196023175045297,53.49503197860369
2024061400412,2024-01-19,2024,Jan,Fri,10,Car,10:15:00,Serious,Serious,1,1,Female,Over 75,Daylight,30,Oldham,-2.128631851979436,53.570965994215456
2024061400431,2024-01-18,2024,Jan,Thu,17,Car,17:20:00,Serious,Serious,4,1,Male,Over 75,Dark,70,Rochdale,-2.151496796757453,53.58867307832437
2024061400498,2024-01-19,2024,Jan,Fri,17,Car,17:31:00,Slight,Slight,2,1,Female,21-25,Dark,20,Bury,-2.33776657716643,53.57215779845972
2024061400520,2024-01-19,2024,Jan,Fri,19,Pedestrian,19:20:00,Serious,Serious,1,1,Male,Over 75,Dark,30,Wigan,-2.6045068214896245,53.54340428679682
2024061400833,2024-01-20,2024,Jan,Sat,13,Taxi or private hire,13:55:00,Serious,Serious,2,3,Female,26-35,Daylight,70,Manchester,-2.274699138487586,53.38705809329864
2024061400833,2024-01-20,2024,Jan,Sat,13,Taxi or private hire,13:55:00,Serious,Slight,2,3,Female,6-10,Daylight,70,Manchester,-2.274699138487586,53.38705809329864
2024061400833,2024-01-20,2024,Jan,Sat,13,Taxi or private hire,13:55:00,Serious,Slight,2,3,Female,6-10,Daylight,70,Manchester,-2.274699138487586,53.38705809329864
2024061400982,2024-01-20,2024,Jan,Sat,16,Car,16:45:00,Serious,Slight,2,5,Male,46-55,Dark,30,Oldham,-2.097007262183146,53.54270064543125
2024061400982,2024-01-20,2024,Jan,Sat,16,Car,16:45:00,Serious,Serious,2,5,Female,6-10,Dark,30,Oldham,-2.097007262183146,53.54270064543125
2024061400982,2024-01-20,2024,Jan,Sat,16,Car,16:45:00,Serious,Slight,2,5,Female,11-15,Dark,30,Oldham,-2.097007262183146,53.54270064543125
2024061400982,2024-01-20,2024,Jan,Sat,16,Car,16:45:00,Serious,Slight,2,5,Female,26-35,Dark,30,Oldham,-2.097007262183146,53.54270064543125
2024061400982,2024-01-20,2024,Jan,Sat,16,Car,16:45:00,Serious,Slight,2,5,Male,6-10,Dark,30,Oldham,-2.097007262183146,53.54270064543125
2024061400984,2024-01-21,2024,Jan,Sun,15,Car,15:14:00,Slight,Slight,2,4,Male,16-20,Dark,30,Bury,-2.29880851511124,53.58315537987092
2024061400984,2024-01-21,2024,Jan,Sun,15,Car,15:14:00,Slight,Slight,2,4,Male,16-20,Dark,30,Bury,-2.29880851511124,53.58315537987092
2024061400984,2024-01-21,2024,Jan,Sun,15,Car,15:14:00,Slight,Slight,2,4,Male,36-45,Dark,30,Bury,-2.29880851511124,53.58315537987092
2024061400984,2024-01-21,2024,Jan,Sun,15,Car,15:14:00,Slight,Slight,2,4,Female,26-35,Dark,30,Bury,-2.29880851511124,53.58315537987092
2024061401002,2024-01-21,2024,Jan,Sun,19,Powered 2 Wheeler,19:59:00,Serious,Serious,2,1,Male,26-35,Dark,30,Manchester,-2.200792148677767,53.47448400909638
2024061401136,2024-01-03,2024,Jan,Wed,8,Car,08:00:00,Slight,Slight,2,1,Female,26-35,Dark,30,Manchester,-2.202763585734716,53.44244571683111
2024061401250,2024-01-13,2024,Jan,Sat,10,Goods Vehicle,10:40:00,Slight,Slight,2,1,Male,26-35,Daylight,30,Bolton,-2.4431391489012806,53.57636177663042
2024061401331,2024-01-10,2024,Jan,Wed,16,Car,16:45:00,Slight,Slight,2,1,Female,-1,Dark,30,Bolton,-2.4260386212794045,53.57440154960377
2024061401609,2024-01-16,2024,Jan,Tue,15,Pedestrian,15:10:00,Serious,Serious,1,1,Male,11-15,Daylight,40,Manchester,-2.217597025677503,53.41388998401944
2024061401649,2024-01-18,2024,Jan,Thu,8,Car,08:30:00,Slight,Slight,2,1,Female,36-45,Daylight,30,Rochdale,-2.1332796082054126,53.6226703913756
2024061401697,2024-01-12,2024,Jan,Fri,18,Pedal Cycle,18:45:00,Slight,Slight,2,1,Female,56-65,Dark,30,Wigan,-2.4717223372138886,53.51480754896299
2024061401811,2024-01-22,2024,Jan,Mon,18,Pedal Cycle,18:15:00,Serious,Serious,2,1,Male,26-35,Dark,30,Stockport,-2.157676536431191,53.44297224411615
2024061401818,2024-01-23,2024,Jan,Tue,15,Car,15:34:00,Serious,Serious,2,1,Male,Over 75,Daylight,30,Stockport,-2.166633957783134,53.41216537598843
2024061401827,2024-01-23,2024,Jan,Tue,16,Car,16:33:00,Slight,Slight,2,1,Male,56-65,Dark,30,Wigan,-2.518887873045665,53.49824398461884
2024061401910,2024-01-16,2024,Jan,Tue,17,Pedestrian,17:15:00,Slight,Slight,1,1,Female,36-45,Dark,30,Bury,-2.2702235771209454,53.59865632150471
2024061402071,2024-01-22,2024,Jan,Mon,15,Car,15:50:00,Slight,Slight,2,1,Male,-1,Daylight,30,Rochdale,-2.1742292388064643,53.62091892648726
2024061402106,2024-01-23,2024,Jan,Tue,19,Car,19:10:00,Slight,Slight,3,1,Male,11-15,Dark,70,Oldham,-2.144465013300549,53.52021766961625
2024061402291,2024-01-24,2024,Jan,Wed,15,Pedestrian,15:35:00,Serious,Serious,1,1,Female,56-65,Daylight,30,Manchester,-2.2489230567376057,53.432417046718534
2024061402297,2024-01-24,2024,Jan,Wed,18,Car,18:27:00,Slight,Slight,2,2,Female,46-55,Dark,30,Trafford,-2.292139610394905,53.459374527837426
2024061402297,2024-01-24,2024,Jan,Wed,18,Car,18:27:00,Slight,Slight,2,2,Male,26-35,Dark,30,Trafford,-2.292139610394905,53.459374527837426
2024061402399,2024-01-25,2024,Jan,Thu,6,Pedal Cycle,06:27:00,Slight,Slight,2,1,Male,16-20,Dark,30,Wigan,-2.581150694954586,53.53381255292895
2024061402703,2024-01-25,2024,Jan,Thu,17,Pedestrian,17:35:00,Slight,Slight,1,1,Female,11-15,Dark,30,Salford,-2.400248758035838,53.53644282895842
2024061402764,2024-01-25,2024,Jan,Thu,14,Pedal Cycle,14:00:00,Serious,Serious,2,1,Male,36-45,Daylight,20,Manchester,-2.170299135842226,53.48218957753894
2024061402856,2024-01-26,2024,Jan,Fri,9,Pedestrian,09:01:00,Serious,Serious,1,1,Male,46-55,Daylight,30,Rochdale,-2.1587321864035167,53.61665312559294
2024061403082,2024-01-25,2024,Jan,Thu,15,Pedal Cycle,15:02:00,Slight,Slight,2,1,Female,21-25,Daylight,30,Manchester,-2.1954061357811114,53.453217227642064
2024061403099,2024-01-26,2024,Jan,Fri,17,Pedestrian,17:09:00,Serious,Serious,1,1,Male,56-65,Dark,30,Bury,-2.289605534462167,53.595788619697714
