"Accident Index","Year","VehicleReferenceNumber","CasualtyNumber","CasualtyClass","Sex","AgeBandOfCasualty","CasualtySeverity","PedLocation","PedMovement","CarPassenger","BusPassenger","PedInjWork","CasTypeCode"
"100272312010",2010,2,2,2,1,11,3,0,0,0,3,0,11
"100272432010",2010,1,1,3,2,8,3,10,9,0,0,0,0
"100273032010",2010,1,1,1,2,6,3,0,0,0,0,0,9
"100273032010",2010,1,2,2,1,6,3,0,0,1,0,0,9
"100273292010",2010,1,1,1,1,8,3,0,0,0,0,0,5
"100273312010",2010,1,1,1,1,7,3,0,0,0,0,0,5
"100273412010",2010,1,1,3,1,4,3,10,9,0,0,0,0
"100273412010",2010,1,2,3,1,5,3,10,9,0,0,0,0
"100273412010",2010,2,3,2,1,5,3,0,0,1,0,0,9
"100274522010",2010,2,1,1,1,7,3,0,0,0,0,0,9
"100274522010",2010,2,2,2,1,2,3,0,0,2,0,0,9
"100274632010",2010,1,1,1,2,9,3,0,0,0,0,0,9
"100274642010",2010,1,1,3,2,10,3,5,1,0,0,0,0
"100274682010",2010,2,1,1,1,5,3,0,0,0,0,0,9
"100275062010",2010,1,1,3,2,4,3,5,9,0,0,0,0
"100275062010",2010,1,2,3,1,4,3,5,9,0,0,0,0
"100275462010",2010,2,1,1,2,6,3,0,0,0,0,0,9
"100275852010",2010,1,1,3,2,10,3,6,9,0,0,0,0
"100275892010",2010,1,1,1,2,7,3,0,0,0,0,0,9
"100275892010",2010,2,2,2,2,8,3,0,0,1,0,0,9
"100276362010",2010,1,1,1,1,6,3,0,0,0,0,0,1
"100276512010",2010,1,1,1,1,7,3,0,0,0,0,0,14
"100276512010",2010,2,2,1,1,5,3,0,0,0,0,0,9
"100276572010",2010,2,1,1,2,6,3,0,0,0,0,0,9
"100277292010",2010,1,1,1,1,10,3,0,0,0,0,0,9
"100277522010",2010,1,1,1,2,4,3,0,0,0,0,0,9
"100279202010",2010,1,1,2,2,8,3,0,0,1,0,0,9
"100279542010",2010,1,1,1,1,9,3,0,0,0,0,0,9
"100279542010",2010,2,2,1,1,6,3,0,0,0,0,0,9
"100279542010",2010,3,3,1,1,6,3,0,0,0,0,0,9
"100279902010",2010,1,1,3,2,3,3,6,9,0,0,0,0
"100279932010",2010,2,1,1,1,8,3,0,0,0,0,0,9
"100279982010",2010,1,1,3,2,1,2,5,3,0,0,0,0
"100280032010",2010,2,1,1,1,4,3,0,0,0,0,0,2
"100280042010",2010,1,2,1,2,5,3,0,0,0,0,0,9
"100280042010",2010,2,1,1,2,4,3,0,0,0,0,0,9
"100280102010",2010,1,1,3,2,8,2,6,9,0,0,0,0
"100280132010",2010,2,1,1,1,6,3,0,0,0,0,0,19
"100280132010",2010,2,2,2,2,5,3,0,0,1,0,0,19
"100280132010",2010,2,3,2,2,1,3,0,0,1,0,0,19
"100280552010",2010,2,1,1,1,9,3,0,0,0,0,0,9
"100280552010",2010,2,2,2,2,9,3,0,0,1,0,0,9
"100280562010",2010,2,1,1,1,4,3,0,0,0,0,0,9
"100280642010",2010,2,1,1,1,4,3,0,0,0,0,0,9
"100280642010",2010,3,2,1,2,10,3,0,0,0,0,0,9
"100280642010",2010,3,3,2,1,11,2,0,0,1,0,0,9
"100280662010",2010,1,1,1,2,6,3,0,0,0,0,0,9
"100280662010",2010,2,2,1,2,6,3,0,0,0,0,0,9
"100280662010",2010,2,3,2,2,4,3,0,0,1,0,0,9
"100280662010",2010,2,4,2,1,2,2,0,0,2,0,0,9
"100280682010",2010,1,1,1,1,8,3,0,0,0,0,0,9
"100280712010",2010,2,1,1,2,7,3,0,0,0,0,0,9
"100280732010",2010,1,1,3,1,10,3,5,2,0,0,0,0
"100281932010",2010,1,1,1,1,8,3,0,0,0,0,0,9
"100281932010",2010,1,2,2,2,7,3,0,0,1,0,0,9
"100282412010",2010,1,1,1,1,4,2,0,0,0,0,0,4
"100282522010",2010,1,1,1,1,7,3,0,0,0,0,0,9
"100283562010",2010,1,1,3,2,4,3,5,1,0,0,0,0
"100283702010",2010,1,1,1,1,7,3,0,0,0,0,0,9
"100283952010",2010,1,1,1,1,8,3,0,0,0,0,0,9
"100284042010",2010,1,1,3,1,1,2,5,1,0,0,0,0
"100284072010",2010,2,1,1,1,7,3,0,0,0,0,0,5
"100284212010",2010,1,1,1,2,7,3,0,0,0,0,0,9
"100284212010",2010,2,2,1,1,7,3,0,0,0,0,0,9
"100284212010",2010,2,3,2,2,4,3,0,0,1,0,0,9
"100285062010",2010,1,1,3,2,3,3,10,1,0,0,0,0
"100285222010",2010,1,1,1,1,6,3,0,0,0,0,0,9
"100285462010",2010,1,1,1,1,6,3,0,0,0,0,0,9
"100285462010",2010,1,2,2,1,6,3,0,0,1,0,0,9
"100285462010",2010,1,3,2,2,8,3,0,0,2,0,0,9
"100286122010",2010,2,1,1,1,7,3,0,0,0,0,0,2
"100286412010",2010,2,1,1,1,5,1,0,0,0,0,0,2
"100286712010",2010,3,1,1,1,6,3,0,0,0,0,0,9
"100287052010",2010,1,1,1,1,9,3,0,0,0,0,0,9
"100287052010",2010,1,2,2,2,9,3,0,0,1,0,0,9
"100287222010",2010,1,1,3,2,4,3,4,2,0,0,0,0
"100287342010",2010,1,1,1,2,7,3,0,0,0,0,0,9
"100287342010",2010,1,2,2,2,2,3,0,0,1,0,0,9
"100287362010",2010,1,1,1,1,10,2,0,0,0,0,0,3
"100287422010",2010,1,1,3,1,2,3,10,9,0,0,0,0
"100287552010",2010,2,1,1,1,5,3,0,0,0,0,0,5
"100287702010",2010,2,1,1,1,6,3,0,0,0,0,0,8
"100288812010",2010,2,1,1,1,10,3,0,0,0,0,0,9
"100288812010",2010,2,2,2,2,9,3,0,0,1,0,0,9
"100289052010",2010,2,1,1,1,11,3,0,0,0,0,0,1
"100289062010",2010,1,2,2,1,5,3,0,0,2,0,0,14
"100289062010",2010,1,3,2,1,4,3,0,0,2,0,0,14
"100289062010",2010,1,4,2,1,6,3,0,0,2,0,0,14
"100289062010",2010,2,1,1,1,9,3,0,0,0,0,0,9
"100289122010",2010,1,2,2,1,3,3,0,0,0,4,0,11
"100289122010",2010,1,3,2,1,8,3,0,0,0,4,0,11
"100289122010",2010,1,4,2,2,7,3,0,0,0,4,0,11
"100289122010",2010,1,5,2,1,7,3,0,0,0,4,0,11
"100289122010",2010,2,1,1,2,7,3,0,0,0,0,0,9
"100289172010",2010,1,1,1,2,6,3,0,0,0,0,0,9
"100290252010",2010,1,1,1,1,11,1,0,0,0,0,0,9
"100290252010",2010,1,2,2,2,11,3,0,0,1,0,0,9
"100290442010",2010,1,2,1,2,10,2,0,0,0,0,0,9
"100290442010",2010,2,1,1,2,6,3,0,0,0,0,0,9
"100290442010",2010,2,3,2,1,7,3,0,0,1,0,0,9
"100290802010",2010,1,1,3,1,7,3,9,5,0,0,0,0
"100290902010",2010,1,1,3,1,3,3,1,1,0,0,0,0
"100291572010",2010,1,1,3,1,2,2,5,2,0,0,0,0
"100291602010",2010,2,1,1,2,4,3,0,0,0,0,0,9
"100291612010",2010,1,1,3,1,1,1,5,2,0,0,0,0
"100291702010",2010,1,1,1,2,4,3,0,0,0,0,0,9
"100291792010",2010,1,1,1,2,8,3,0,0,0,0,0,9
"100291792010",2010,2,2,2,1,2,3,0,0,0,4,0,10
"100291792010",2010,2,3,2,2,2,3,0,0,0,4,0,10
"100291792010",2010,2,4,2,1,2,3,0,0,0,4,0,10
"100292052010",2010,1,1,1,2,8,3,0,0,0,0,0,9
"100292052010",2010,2,2,1,1,6,3,0,0,0,0,0,9
"100292892010",2010,1,1,3,1,3,2,5,4,0,0,0,0
"100292952010",2010,2,1,1,1,6,3,0,0,0,0,0,9
"100292952010",2010,2,2,2,2,6,3,0,0,1,0,0,9
"100293232010",2010,2,1,1,1,6,3,0,0,0,0,0,9
"100293232010",2010,2,2,2,1,3,3,0,0,1,0,0,9
"100293242010",2010,1,1,1,1,9,3,0,0,0,0,0,9
"100293242010",2010,2,2,1,1,10,2,0,0,0,0,0,9
"100293342010",2010,1,1,1,1,5,3,0,0,0,0,0,9
"100293342010",2010,1,2,2,2,5,3,0,0,1,0,0,9
"100293522010",2010,1,1,1,1,6,3,0,0,0,0,0,9
"100293522010",2010,1,2,2,1,7,3,0,0,1,0,0,9
"100293522010",2010,1,3,2,1,4,3,0,0,2,0,0,9
"100293522010",2010,1,4,2,1,6,3,0,0,2,0,0,9
"100294212010",2010,1,1,3,2,2,3,5,1,0,0,0,0
"100294372010",2010,3,1,1,1,4,3,0,0,0,0,0,2
"100294692010",2010,2,1,2,2,5,3,0,0,1,0,0,8
"100294752010",2010,3,1,1,2,7,3,0,0,0,0,0,9
"100295052010",2010,1,1,1,2,4,3,0,0,0,0,0,9
"100295052010",2010,1,2,2,1,5,3,0,0,1,0,0,9
"100295302010",2010,1,1,2,2,4,3,0,0,2,0,0,9
"100295392010",2010,1,1,1,1,6,3,0,0,0,0,0,1
"100295432010",2010,3,1,1,1,4,3,0,0,0,0,0,9
"100295452010",2010,1,1,1,1,7,3,0,0,0,0,0,9
"100295452010",2010,1,2,2,2,9,3,0,0,1,0,0,9
"100295632010",2010,1,1,3,2,4,3,5,1,0,0,0,0
"100295962010",2010,1,1,1,1,4,3,0,0,0,0,0,1
"100296042010",2010,2,1,2,2,6,3,0,0,1,0,0,9
"100296582010",2010,1,1,1,2,7,3,0,0,0,0,0,9
"100296952010",2010,1,1,1,2,10,3,0,0,0,0,0,9
"100297172010",2010,1,1,3,1,7,2,5,2,0,0,0,0
"100297792010",2010,2,1,1,1,7,3,0,0,0,0,0,9
"100298042010",2010,1,1,3,2,8,2,5,1,0,0,0,0
"100298712010",2010,2,1,1,1,7,3,0,0,0,0,0,9
"100298752010",2010,1,1,3,1,5,3,6,9,0,0,0,0
"100298862010",2010,1,1,1,2,9,3,0,0,0,0,0,9
"100299172010",2010,1,1,2,2,10,3,0,0,1,0,0,9
"100299872010",2010,2,1,2,1,6,3,0,0,0,4,0,11
"100299942010",2010,2,1,1,1,4,2,0,0,0,0,0,1
"100300952010",2010,2,1,1,1,8,3,0,0,0,0,0,9
"100301092010",2010,1,1,1,2,6,3,0,0,0,0,0,9
"100301092010",2010,1,2,2,1,3,3,0,0,2,0,0,9
"100301102010",2010,1,1,1,1,7,3,0,0,0,0,0,19
"100301312010",2010,1,2,1,1,7,3,0,0,0,0,0,4
"100301312010",2010,2,1,1,1,6,2,0,0,0,0,0,1
"100301412010",2010,1,1,3,2,11,2,5,3,0,0,0,0
"100301502010",2010,2,1,1,2,9,3,0,0,0,0,0,9
"100301502010",2010,2,2,2,2,8,3,0,0,1,0,0,9
"100301572010",2010,1,1,3,2,9,2,5,1,0,0,0,0
"100301762010",2010,1,1,2,2,7,3,0,0,0,3,0,11
"100302612010",2010,2,1,2,2,2,3,0,0,2,0,0,9
"100302852010",2010,2,1,1,2,6,3,0,0,0,0,0,9
"100302892010",2010,1,1,3,1,4,3,10,3,0,0,0,0
"100303052010",2010,1,1,1,1,7,3,0,0,0,0,0,14
"100303402010",2010,1,1,3,1,3,3,3,9,0,0,0,0
"100303422010",2010,1,1,1,2,4,3,0,0,0,0,0,9
"100304322010",2010,2,1,2,1,1,3,0,0,1,0,0,9
"100304322010",2010,2,2,1,1,6,3,0,0,0,0,0,9
"100304332010",2010,2,1,1,2,8,3,0,0,0,0,0,9
"100304422010",2010,1,1,1,1,8,3,0,0,0,0,0,5
"100304432010",2010,2,1,1,1,8,3,0,0,0,0,0,1
"100304472010",2010,2,1,1,1,7,3,0,0,0,0,0,9
"100304482010",2010,1,1,1,1,5,3,0,0,0,0,0,9
"100304692010",2010,1,1,1,1,7,3,0,0,0,0,0,9
"100304872010",2010,2,1,1,1,5,2,0,0,0,0,0,5
"100305132010",2010,2,1,2,2,6,3,0,0,1,0,0,9
"100305192010",2010,2,1,1,1,7,3,0,0,0,0,0,4
"100305362010",2010,1,1,2,1,5,3,0,0,2,0,0,9
"100305362010",2010,1,2,2,1,6,3,0,0,2,0,0,9
"100305362010",2010,2,3,2,1,5,3,0,0,1,0,0,9
"100305362010",2010,2,4,2,1,6,3,0,0,2,0,0,9
"100305382010",2010,1,1,3,1,1,3,5,2,0,0,0,0
"100305952010",2010,1,1,3,2,2,3,5,2,0,0,0,0
"100306172010",2010,1,1,2,1,5,2,0,0,1,0,0,9
"100306392010",2010,2,1,1,1,2,3,0,0,0,0,0,1
"100307172010",2010,2,1,2,1,9,3,0,0,2,0,0,8
"100307192010",2010,1,1,1,1,3,2,0,0,0,0,0,1
"100307222010",2010,1,1,3,2,3,3,5,4,0,0,0,0
"100307432010",2010,2,1,1,2,4,3,0,0,0,0,0,9
"100308442010",2010,2,1,1,2,2,3,0,0,0,0,0,1
"100308712010",2010,2,1,1,1,7,3,0,0,0,0,0,5
"100308742010",2010,2,1,1,2,6,2,0,0,0,0,0,4
"100308782010",2010,2,1,1,2,7,3,0,0,0,0,0,9
"100308802010",2010,1,1,1,1,7,2,0,0,0,0,0,1
"100308822010",2010,1,1,3,2,6,3,5,2,0,0,0,0
"100308872010",2010,2,1,1,1,5,3,0,0,0,0,0,9
"100308872010",2010,2,2,2,2,11,2,0,0,2,0,0,9
"100308872010",2010,2,3,2,2,9,3,0,0,2,0,0,9
"100309262010",2010,2,1,1,1,5,3,0,0,0,0,0,9
"100309262010",2010,2,2,2,2,4,3,0,0,1,0,0,9
"100309352010",2010,2,1,1,1,4,3,0,0,0,0,0,2
"100309422010",2010,2,1,1,1,6,3,0,0,0,0,0,1
"100309762010",2010,1,3,2,1,4,3,0,0,1,0,0,9
"100309762010",2010,2,1,1,2,9,3,0,0,0,0,0,9
"100309762010",2010,3,2,1,2,6,3,0,0,0,0,0,9
"100310182010",2010,1,1,1,1,7,3,0,0,0,0,0,9
"100310212010",2010,1,1,1,1,6,3,0,0,0,0,0,9
"100310362010",2010,1,1,2,2,11,3,0,0,2,0,0,9
"100310572010",2010,2,1,1,1,7,3,0,0,0,0,0,1
"100311732010",2010,2,1,1,1,9,3,0,0,0,0,0,9
"100311752010",2010,1,1,3,1,4,3,5,3,0,0,0,0
"100312192010",2010,2,1,1,2,7,3,0,0,0,0,0,5
"100312202010",2010,2,1,1,1,5,3,0,0,0,0,0,9
"100312202010",2010,2,2,2,2,4,3,0,0,1,0,0,9
"100312252010",2010,2,1,1,1,6,3,0,0,0,0,0,9
"100312252010",2010,2,2,2,2,7,3,0,0,1,0,0,9
"100312622010",2010,1,1,3,1,3,3,5,2,0,0,0,0
"100313352010",2010,1,1,1,1,8,3,0,0,0,0,0,9
"100313552010",2010,1,1,1,1,4,3,0,0,0,0,0,9
"100313552010",2010,2,2,1,2,6,3,0,0,0,0,0,9
"100314522010",2010,2,1,1,1,5,3,0,0,0,0,0,3
"100314842010",2010,2,1,2,2,9,3,0,0,1,0,0,9
"100314952010",2010,1,1,1,1,4,3,0,0,0,0,0,9
"100314952010",2010,2,2,1,1,5,3,0,0,0,0,0,9
"100314952010",2010,2,3,2,2,5,3,0,0,1,0,0,9
"100314972010",2010,1,1,2,2,8,3,0,0,2,0,0,8
"100314972010",2010,1,2,2,1,9,3,0,0,2,0,0,8
"100315002010",2010,1,1,1,1,4,3,0,0,0,0,0,19
"100315222010",2010,1,1,1,1,8,2,0,0,0,0,0,1
"100315732010",2010,1,1,3,1,4,2,5,1,0,0,0,0
"100315862010",2010,1,1,3,1,9,2,5,4,0,0,0,0
"100315922010",2010,1,1,3,1,3,3,4,3,0,0,0,0
"100315982010",2010,2,1,1,1,3,3,0,0,0,0,0,1
"100316282010",2010,1,1,2,2,6,3,0,0,1,0,0,14
"100316502010",2010,1,1,1,2,5,3,0,0,0,0,0,1
"100316802010",2010,2,1,1,1,7,3,0,0,0,0,0,5
"100316862010",2010,1,1,3,1,2,3,5,4,0,0,0,0
"100316882010",2010,1,1,1,1,8,3,0,0,0,0,0,11
"100316882010",2010,1,2,2,2,6,3,0,0,0,4,0,11
"100316882010",2010,1,3,2,1,8,3,0,0,0,4,0,11
"100316882010",2010,3,4,1,1,8,3,0,0,0,0,0,9
"100316922010",2010,2,1,1,1,7,3,0,0,0,0,0,9
"100316922010",2010,2,2,2,2,8,3,0,0,1,0,0,9
"100317052010",2010,1,1,2,1,5,2,0,0,1,0,0,9
"100317242010",2010,2,1,1,1,5,3,0,0,0,0,0,9
"100317262010",2010,1,1,3,1,1,3,5,2,0,0,0,0
"100317862010",2010,2,1,1,2,2,3,0,0,0,0,0,1
"100318022010",2010,1,1,1,1,5,2,0,0,0,0,0,4
"100318152010",2010,1,1,3,2,9,3,1,1,0,0,0,0
"100318172010",2010,2,1,1,1,6,3,0,0,0,0,0,9
"100318412010",2010,1,1,1,1,4,3,0,0,0,0,0,2
"100319082010",2010,1,1,1,1,8,2,0,0,0,0,0,5
"100319082010",2010,1,2,2,2,8,2,0,0,0,0,0,5
"100319112010",2010,1,1,1,2,4,3,0,0,0,0,0,9
"100319112010",2010,1,3,2,2,4,3,0,0,1,0,0,9
"100319112010",2010,2,2,1,1,7,2,0,0,0,0,0,5
"100319242010",2010,1,1,1,2,4,3,0,0,0,0,0,9
"100319242010",2010,1,2,2,2,7,3,0,0,1,0,0,9
"100319242010",2010,2,3,2,2,1,3,0,0,2,0,0,9
"100319242010",2010,2,4,2,2,8,3,0,0,1,0,0,9
"100319512010",2010,2,1,1,2,4,3,0,0,0,0,0,9
"100319632010",2010,1,1,1,2,8,3,0,0,0,0,0,9
"100320222010",2010,2,1,1,1,8,3,0,0,0,0,0,9
"100321212010",2010,1,1,1,2,5,3,0,0,0,0,0,9
"100321222010",2010,2,1,1,1,7,3,0,0,0,0,0,9
"100321222010",2010,2,2,2,2,6,3,0,0,1,0,0,9
"100321222010",2010,2,3,2,1,2,3,0,0,2,0,0,9
"100321602010",2010,1,1,3,2,3,3,1,1,0,0,0,0
"100322582010",2010,2,1,1,1,5,3,0,0,0,0,0,9
"100322942010",2010,1,1,3,2,3,2,5,3,0,0,0,0
"100323032010",2010,1,1,2,2,5,3,0,0,1,0,0,9
"100323242010",2010,1,1,3,1,1,3,5,2,0,0,0,0
"100323332010",2010,1,1,1,1,4,3,0,0,0,0,0,9
"100323862010",2010,1,1,3,2,10,2,5,1,0,0,0,0
"100323952010",2010,1,1,3,1,4,2,5,1,0,0,0,0
"100323992010",2010,1,1,3,2,2,3,5,4,0,0,0,0
"100324152010",2010,1,1,3,1,6,3,8,9,0,0,0,0
"100324342010",2010,2,1,1,2,8,3,0,0,0,0,0,9
"100324462010",2010,1,1,1,2,6,3,0,0,0,0,0,9
"100324462010",2010,2,2,1,1,8,3,0,0,0,0,0,9
"100324462010",2010,2,3,2,1,4,3,0,0,1,0,0,9
"100324612010",2010,1,1,3,1,3,3,5,2,0,0,0,0
"100324982010",2010,2,1,1,1,7,3,0,0,0,0,0,2
"100325112010",2010,2,1,1,1,5,3,0,0,0,0,0,9
"100325162010",2010,2,1,2,2,9,3,0,0,1,0,0,9
"100325372010",2010,1,1,3,1,3,3,10,2,0,0,0,0
"100325452010",2010,2,1,1,1,8,3,0,0,0,0,0,1
"100325472010",2010,1,1,3,2,3,3,5,1,0,0,0,0
"100325502010",2010,2,1,1,2,7,3,0,0,0,0,0,9
"100325692010",2010,1,1,1,1,6,3,0,0,0,0,0,9
"100325692010",2010,1,3,2,2,5,3,0,0,1,0,0,9
"100325692010",2010,1,4,2,2,9,3,0,0,2,0,0,9
"100325692010",2010,2,2,1,2,5,3,0,0,0,0,0,9
"100326092010",2010,1,1,1,1,7,3,0,0,0,0,0,9
"100326092010",2010,2,2,1,1,6,3,0,0,0,0,0,9
"100326122010",2010,2,1,1,1,7,3,0,0,0,0,0,9
"100326302010",2010,2,1,1,1,5,3,0,0,0,0,0,5
"100326492010",2010,1,1,3,2,4,2,5,1,0,0,0,0
"100326772010",2010,2,1,1,1,6,3,0,0,0,0,0,1
"100326812010",2010,2,1,1,1,2,2,0,0,0,0,0,1
"100326992010",2010,1,1,3,1,8,3,10,9,0,0,0,0
"100326992010",2010,1,2,3,1,8,3,10,9,0,0,0,0
"100327222010",2010,1,1,1,1,3,3,0,0,0,0,0,1
"100327222010",2010,2,2,1,1,7,3,0,0,0,0,0,3
"100327342010",2010,1,1,2,2,7,3,0,0,2,0,0,9
"100327422010",2010,1,1,1,2,4,3,0,0,0,0,0,9
"100327422010",2010,2,2,1,1,5,3,0,0,0,0,0,9
"100327442010",2010,1,1,3,1,2,3,5,1,0,0,0,0
"100327712010",2010,1,1,3,2,4,3,5,2,0,0,0,0
"100328312010",2010,1,1,1,1,5,3,0,0,0,0,0,1
"100328622010",2010,1,1,3,1,3,3,5,1,0,0,0,0
"100328732010",2010,1,1,3,1,3,3,5,1,0,0,0,0
"100328772010",2010,2,1,1,1,8,3,0,0,0,0,0,9
"100329822010",2010,2,1,1,1,7,3,0,0,0,0,0,5
"100330142010",2010,1,1,1,1,5,2,0,0,0,0,0,9
"100330232010",2010,2,1,1,1,7,3,0,0,0,0,0,5
"100330632010",2010,1,1,1,1,7,3,0,0,0,0,0,1
"100330662010",2010,2,1,1,1,3,3,0,0,0,0,0,1
"100330772010",2010,1,1,3,2,10,3,5,1,0,0,1,0
"100330782010",2010,2,1,1,2,4,3,0,0,0,0,0,1
"100331012010",2010,1,1,3,1,2,2,5,3,0,0,0,0
"100331012010",2010,1,2,1,1,6,3,0,0,0,0,0,19
"100331092010",2010,1,2,2,2,11,3,0,0,2,0,0,10
"100331092010",2010,1,3,2,1,3,3,0,0,2,0,0,10
"100331092010",2010,3,1,1,1,7,3,0,0,0,0,0,9
"100331152010",2010,1,1,3,1,10,3,5,9,0,0,0,0
"100331172010",2010,1,1,1,1,6,3,0,0,0,0,0,9
"100331182010",2010,1,1,1,1,6,3,0,0,0,0,0,9
"100331432010",2010,1,1,3,1,3,2,4,4,0,0,0,0
"100331442010",2010,1,1,1,1,9,3,0,0,0,0,0,9
"100331442010",2010,2,2,1,2,5,3,0,0,0,0,0,9
"100331482010",2010,1,1,1,1,7,3,0,0,0,0,0,9
"100331602010",2010,1,1,1,1,4,3,0,0,0,0,0,9
"100331762010",2010,2,1,1,2,7,3,0,0,0,0,0,9
"100331772010",2010,1,1,3,1,7,3,5,1,0,0,0,0
"100331812010",2010,2,1,1,2,6,3,0,0,0,0,0,9
"100331852010",2010,1,1,1,1,6,3,0,0,0,0,0,3
"100332152010",2010,1,1,1,1,6,2,0,0,0,0,0,3
"100332202010",2010,1,1,2,1,5,3,0,0,1,0,0,9
"100332292010",2010,1,1,3,1,8,3,4,1,0,0,0,0
"100332362010",2010,1,1,3,2,1,3,5,1,0,0,0,0
"100332482010",2010,2,1,1,1,6,3,0,0,0,0,0,1
"100332582010",2010,2,1,2,2,5,3,0,0,1,0,0,9
"100332632010",2010,1,1,3,2,9,3,4,3,0,0,0,0
"100332692010",2010,1,1,1,1,8,3,0,0,0,0,0,5
"100333132010",2010,1,1,2,2,5,3,0,0,2,0,0,9
"100333862010",2010,2,1,1,1,11,2,0,0,0,0,0,1
"100333872010",2010,1,1,3,1,4,3,9,5,0,0,0,0
"100333882010",2010,1,1,1,2,5,3,0,0,0,0,0,9
"100333882010",2010,2,2,2,2,7,3,0,0,1,0,0,9
"100334442010",2010,2,1,1,1,7,3,0,0,0,0,0,1
"100334542010",2010,2,1,1,1,2,3,0,0,0,0,0,1
"100334562010",2010,2,1,1,1,5,3,0,0,0,0,0,5
"100335012010",2010,1,1,1,1,4,3,0,0,0,0,0,9
"100335012010",2010,1,2,2,1,4,3,0,0,2,0,0,9
"100335012010",2010,1,3,2,1,4,3,0,0,1,0,0,9
"100335012010",2010,1,4,2,1,4,3,0,0,2,0,0,9
"100335262010",2010,1,1,3,2,6,3,5,1,0,0,0,0
"100336232010",2010,1,1,3,1,2,3,5,2,0,0,0,0
"100336282010",2010,2,1,1,1,9,2,0,0,0,0,0,5
"100336452010",2010,2,1,1,1,10,3,0,0,0,0,0,9
"100336872010",2010,1,1,1,1,5,3,0,0,0,0,0,9
"100336932010",2010,2,1,1,1,8,3,0,0,0,0,0,14
"100337602010",2010,2,1,1,1,5,3,0,0,0,0,0,3
"100337852010",2010,1,1,1,1,3,3,0,0,0,0,0,1
"100337942010",2010,2,1,1,1,4,3,0,0,0,0,0,9
"100338222010",2010,2,1,1,1,6,3,0,0,0,0,0,3
"100338232010",2010,1,1,3,2,2,3,1,1,0,0,0,0
"100338342010",2010,2,1,1,1,4,3,0,0,0,0,0,1
"100338612010",2010,1,1,1,2,4,3,0,0,0,0,0,9
"100339032010",2010,2,1,1,2,7,3,0,0,0,0,0,9
"100339032010",2010,2,2,2,2,4,3,0,0,2,0,0,9
"100339032010",2010,2,3,2,1,3,3,0,0,1,0,0,9
"100339032010",2010,2,4,2,1,1,2,0,0,2,0,0,9
"100339142010",2010,2,1,1,1,3,3,0,0,0,0,0,1
"100339312010",2010,2,1,1,2,6,2,0,0,0,0,0,9
"100339492010",2010,1,1,3,2,3,3,5,1,0,0,0,0
"100339892010",2010,2,1,1,2,6,3,0,0,0,0,0,1
"100339912010",2010,1,1,2,2,6,3,0,0,1,0,0,9
"100339972010",2010,1,1,1,1,6,3,0,0,0,0,0,9
"100340412010",2010,2,1,1,1,7,3,0,0,0,0,0,1
"100340592010",2010,2,1,1,1,6,3,0,0,0,0,0,9
"100340672010",2010,1,1,1,1,9,3,0,0,0,0,0,9
"100340942010",2010,2,1,1,1,2,3,0,0,0,0,0,1
"100340952010",2010,1,1,1,1,9,3,0,0,0,0,0,9
"100340952010",2010,2,2,1,1,8,3,0,0,0,0,0,14
"100340972010",2010,1,1,3,1,3,3,5,1,0,0,0,0
"100341182010",2010,1,1,3,1,4,3,5,2,0,0,0,0
