date,count,rate,wd15cd,wd15nm,lad15cd,lad15nm
2015-01-01,80,1.1,E05000779,Bramhall North,E08000007,Stockport
2015-01-01,30,0.5,E05000780,Bramhall South and Woodford,E08000007,Stockport
2015-01-01,130,1.6,E05000781,Bredbury and Woodley,E08000007,Stockport
2015-01-01,165,2,E05000782,Bredbury Green and Romiley,E08000007,Stockport
2015-01-01,655,6.3,E05000783,Brinnington and Central,E08000007,Stockport
2015-01-01,110,1.2,E05000784,Cheadle and Gatley,E08000007,Stockport
2015-01-01,125,1.5,E05000785,Cheadle Hulme North,E08000007,Stockport
2015-01-01,75,0.9,E05000786,Cheadle Hulme South,E08000007,Stockport
2015-01-01,285,2.9,E05000787,Davenport and Cale Green,E08000007,Stockport
2015-01-01,250,2.5,E05000788,Edgeley and Cheadle Heath,E08000007,Stockport
2015-01-01,125,1.5,E05000789,Hazel Grove,E08000007,Stockport
2015-01-01,95,1.3,E05000790,Heald Green,E08000007,Stockport
2015-01-01,145,1.7,E05000791,Heatons North,E08000007,Stockport
2015-01-01,160,1.7,E05000792,Heatons South,E08000007,Stockport
2015-01-01,175,2,E05000793,Manor,E08000007,Stockport
2015-01-01,60,0.8,E05000794,Marple North,E08000007,Stockport
2015-01-01,85,1.3,E05000795,Marple South,E08000007,Stockport
2015-01-01,160,1.9,E05000796,Offerton,E08000007,Stockport
2015-01-01,210,2.2,E05000797,Reddish North,E08000007,Stockport
2015-01-01,195,2.2,E05000798,Reddish South,E08000007,Stockport
2015-01-01,70,0.9,E05000799,Stepping Hill,E08000007,Stockport
2015-01-01,200,2.9,E05000800,Ashton Hurst,E08000008,Tameside
2015-01-01,215,2.8,E05000801,Ashton St Michael's,E08000008,Tameside
2015-01-01,180,2.5,E05000802,Ashton Waterloo,E08000008,Tameside
2015-01-01,145,1.9,E05000803,Audenshaw,E08000008,Tameside
2015-01-01,155,2.2,E05000804,Denton North East,E08000008,Tameside
2015-01-01,180,2.8,E05000805,Denton South,E08000008,Tameside
2015-01-01,105,1.5,E05000806,Denton West,E08000008,Tameside
2015-01-01,155,2,E05000807,Droylsden East,E08000008,Tameside
2015-01-01,150,2.1,E05000808,Droylsden West,E08000008,Tameside
2015-01-01,235,2.9,E05000809,Dukinfield,E08000008,Tameside
2015-01-01,155,2.2,E05000810,Dukinfield Stalybridge,E08000008,Tameside
2015-01-01,205,2.8,E05000811,Hyde Godley,E08000008,Tameside
2015-01-01,225,2.6,E05000812,Hyde Newton,E08000008,Tameside
2015-01-01,135,1.9,E05000813,Hyde Werneth,E08000008,Tameside
2015-01-01,140,2.3,E05000814,Longdendale,E08000008,Tameside
2015-01-01,165,2.3,E05000815,Mossley,E08000008,Tameside
2015-01-01,385,4.5,E05000816,St Peter's,E08000008,Tameside
2015-01-01,270,3.4,E05000817,Stalybridge North,E08000008,Tameside
2015-01-01,175,2.5,E05000818,Stalybridge South,E08000008,Tameside
2015-01-01,80,1,E05000819,Altrincham,E08000009,Trafford
2015-01-01,65,1.1,E05000820,Ashton upon Mersey,E08000009,Trafford
2015-01-01,50,0.9,E05000821,Bowdon,E08000009,Trafford
2015-01-01,110,1.3,E05000822,Broadheath,E08000009,Trafford
2015-01-01,45,0.7,E05000823,Brooklands,E08000009,Trafford
2015-01-01,220,3.5,E05000824,Bucklow-St Martins,E08000009,Trafford
2015-01-01,295,3.6,E05000825,Clifford,E08000009,Trafford
2015-01-01,65,1.1,E05000826,Davyhulme East,E08000009,Trafford
2015-01-01,75,1.2,E05000827,Davyhulme West,E08000009,Trafford
2015-01-01,65,1,E05000828,Flixton,E08000009,Trafford
2015-01-01,210,2.6,E05000829,Gorse Hill,E08000009,Trafford
2015-01-01,35,0.7,E05000830,Hale Barns,E08000009,Trafford
2015-01-01,50,0.7,E05000831,Hale Central,E08000009,Trafford
2015-01-01,175,2.2,E05000832,Longford,E08000009,Trafford
2015-01-01,70,1,E05000833,Priory,E08000009,Trafford
2015-01-01,165,2.2,E05000834,St Mary's,E08000009,Trafford
2015-01-01,120,1.8,E05000835,Sale Moor,E08000009,Trafford
2015-01-01,175,2.4,E05000836,Stretford,E08000009,Trafford
2015-01-01,45,0.7,E05000837,Timperley,E08000009,Trafford
2015-01-01,85,1.2,E05000838,Urmston,E08000009,Trafford
2015-01-01,115,1.8,E05000839,Village,E08000009,Trafford
2015-01-01,315,3.1,E05000840,Abram,E08000010,Wigan
2015-01-01,130,1.8,E05000841,Ashton,E08000010,Wigan
2015-01-01,130,1.6,E05000842,Aspull New Springs Whelley,E08000010,Wigan
2015-01-01,80,1.1,E05000843,Astley Mosley Common,E08000010,Wigan
2015-01-01,160,2.1,E05000844,Atherleigh,E08000010,Wigan
2015-01-01,335,3.6,E05000845,Atherton,E08000010,Wigan
2015-01-01,140,2,E05000846,Bryn,E08000010,Wigan
2015-01-01,350,4.1,E05000847,Douglas,E08000010,Wigan
2015-01-01,170,2.3,E05000848,Golborne and Lowton West,E08000010,Wigan
2015-01-01,235,2.8,E05000849,Hindley,E08000010,Wigan
2015-01-01,95,1.4,E05000850,Hindley Green,E08000010,Wigan
2015-01-01,345,3.9,E05000851,Ince,E08000010,Wigan
2015-01-01,220,2.8,E05000852,Leigh East,E08000010,Wigan
2015-01-01,210,2.3,E05000853,Leigh South,E08000010,Wigan
2015-01-01,395,4.1,E05000854,Leigh West,E08000010,Wigan
2015-01-01,80,1,E05000855,Lowton East,E08000010,Wigan
2015-01-01,90,1.3,E05000856,Orrell,E08000010,Wigan
2015-01-01,360,4,E05000857,Pemberton,E08000010,Wigan
2015-01-01,80,1.1,E05000858,Shevington with Lower Ground,E08000010,Wigan
2015-01-01,110,1.5,E05000859,Standish with Langtree,E08000010,Wigan
2015-01-01,215,2.2,E05000860,Tyldesley,E08000010,Wigan
2015-01-01,225,2.9,E05000861,Wigan Central,E08000010,Wigan
2015-01-01,200,2.4,E05000862,Wigan West,E08000010,Wigan
2015-01-01,65,0.9,E05000863,Winstanley,E08000010,Wigan
2015-01-01,205,2.7,E05000864,Worsley Mesnes,E08000010,Wigan
2015-02-01,145,1.6,E05000650,Astley Bridge,E08000001,Bolton
2015-02-01,175,2.7,E05000651,Bradshaw,E08000001,Bolton
2015-02-01,370,4.4,E05000652,Breightmet,E08000001,Bolton
2015-02-01,70,0.8,E05000653,Bromley Cross,E08000001,Bolton
2015-02-01,420,4.1,E05000654,Crompton,E08000001,Bolton
2015-02-01,465,4.6,E05000655,Farnworth,E08000001,Bolton
2015-02-01,465,4.9,E05000656,Great Lever,E08000001,Bolton
2015-02-01,625,6.9,E05000657,Halliwell,E08000001,Bolton
2015-02-01,335,3.8,E05000658,Harper Green,E08000001,Bolton
2015-02-01,75,0.9,E05000659,Heaton and Lostock,E08000001,Bolton
2015-02-01,125,1.5,E05000660,Horwich and Blackrod,E08000001,Bolton
2015-02-01,150,2,E05000661,Horwich North East,E08000001,Bolton
2015-02-01,235,2.7,E05000662,Hulton,E08000001,Bolton
2015-02-01,205,2.2,E05000663,Kearsley,E08000001,Bolton
