date,count,rate,lad15cd,lad15nm,cauth15cd,cauth15nm
2015-09-01,3615,2.7,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2015-09-01,4180,2.6,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2015-09-01,3510,2,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2015-09-01,3665,2.6,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2015-09-01,2345,1.6,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2015-09-01,5030,2.5,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2015-10-01,5075,2.9,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2015-10-01,2710,2.3,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2015-10-01,10320,2.8,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2015-10-01,4045,2.8,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2015-10-01,3630,2.7,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2015-10-01,4315,2.7,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2015-10-01,3485,2,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2015-10-01,3730,2.7,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2015-10-01,2360,1.6,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2015-10-01,5090,2.5,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2015-11-01,4935,2.8,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2015-11-01,2730,2.3,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2015-11-01,10175,2.7,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2015-11-01,3840,2.7,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2015-11-01,3485,2.6,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2015-11-01,4230,2.6,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2015-11-01,3390,1.9,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2015-11-01,3665,2.6,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2015-11-01,2275,1.6,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2015-11-01,4900,2.4,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2015-12-01,4910,2.8,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2015-12-01,2685,2.3,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2015-12-01,10010,2.7,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2015-12-01,3870,2.7,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2015-12-01,3415,2.5,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2015-12-01,4170,2.6,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2015-12-01,3390,1.9,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2015-12-01,3605,2.6,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2015-12-01,2250,1.5,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2015-12-01,4895,2.4,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2016-01-01,5030,2.9,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2016-01-01,2775,2.4,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2016-01-01,10250,2.7,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2016-01-01,4145,2.9,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2016-01-01,3695,2.7,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2016-01-01,4295,2.6,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2016-01-01,3425,1.9,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2016-01-01,3680,2.6,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2016-01-01,2320,1.6,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2016-01-01,5060,2.5,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2016-02-01,5325,3,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2016-02-01,2895,2.5,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2016-02-01,10650,2.8,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2016-02-01,4355,3,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2016-02-01,3960,2.9,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2016-02-01,4535,2.8,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2016-02-01,3530,2,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2016-02-01,3900,2.8,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2016-02-01,2460,1.7,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2016-02-01,5205,2.6,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2016-03-01,5390,3.1,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2016-03-01,2945,2.5,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2016-03-01,10800,2.8,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2016-03-01,4475,3.1,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2016-03-01,4095,3,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2016-03-01,4735,2.9,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2016-03-01,3460,1.9,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2016-03-01,3880,2.8,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2016-03-01,2455,1.7,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2016-03-01,5315,2.6,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2016-04-01,5375,3.1,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2016-04-01,2950,2.5,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2016-04-01,10765,2.8,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2016-04-01,4465,3.1,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2016-04-01,4055,3,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2016-04-01,4670,2.9,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2016-04-01,3440,1.9,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2016-04-01,3845,2.7,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2016-04-01,2460,1.7,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2016-04-01,5325,2.6,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2016-05-01,5420,3.1,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2016-05-01,2935,2.5,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2016-05-01,10795,2.8,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2016-05-01,4470,3.1,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2016-05-01,4e3,3,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2016-05-01,4675,2.9,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2016-05-01,3425,1.9,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2016-05-01,3875,2.8,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2016-05-01,2460,1.7,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2016-05-01,5335,2.6,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
2016-06-01,5335,3,E08000001,Bolton,E47000001,Greater Manchester Combined Authority
2016-06-01,2870,2.5,E08000002,Bury,E47000001,Greater Manchester Combined Authority
2016-06-01,10540,2.8,E08000003,Manchester,E47000001,Greater Manchester Combined Authority
2016-06-01,4315,3,E08000004,Oldham,E47000001,Greater Manchester Combined Authority
2016-06-01,3910,2.9,E08000005,Rochdale,E47000001,Greater Manchester Combined Authority
2016-06-01,4610,2.8,E08000006,Salford,E47000001,Greater Manchester Combined Authority
2016-06-01,3335,1.9,E08000007,Stockport,E47000001,Greater Manchester Combined Authority
2016-06-01,3745,2.7,E08000008,Tameside,E47000001,Greater Manchester Combined Authority
2016-06-01,2440,1.7,E08000009,Trafford,E47000001,Greater Manchester Combined Authority
2016-06-01,5200,2.6,E08000010,Wigan,E47000001,Greater Manchester Combined Authority
