area_code,area_name,median_price,min_price,max_price,transactions
E01006402,Wigan 021F,139000,120000,195000,14
E01005641,Salford 029C,139250,65000,280000,20
E01004941,Bury 021A,139500,93500,245000,26
E01005346,Oldham 028D,139500,90000,230000,17
E01005364,Oldham 031B,139950,90000,225000,35
E01005956,Tameside 005B,139950,80750,223000,17
E01006290,Wigan 022A,139950,82000,345000,33
E01005477,Rochdale 017B,139995,64500,197995,37
E01004800,Bolton 019D,140000,74500,210000,15
E01004809,Bolton 003E,140000,79000,272000,33
E01004887,Bolton 014D,140000,92500,290000,17
E01004897,Bolton 020E,140000,114000,332000,29
E01004976,Bury 004A,140000,80000,270000,21
E01005100,Manchester 001C,140000,85000,370000,21
E01005233,Manchester 027D,140000,70000,315000,17
E01005289,Manchester 049D,140000,120000,157500,27
E01005357,Oldham 001A,140000,80000,240000,35
E01005393,Oldham 008C,140000,64000,570000,27
E01005558,Rochdale 014C,140000,53000,260000,23
E01005560,Rochdale 013C,140000,52000,230000,25
E01005618,Salford 030C,140000,94950,294995,33
E01005766,Stockport 014C,140000,105000,290000,11
E01005969,Tameside 014D,140000,75000,201500,19
E01033657,Manchester 022G,140000,120000,160000,2
E01033672,Manchester 059C,140125,36859,300000,10
E01004911,Bolton 024A,140250,65000,295000,16
E01005654,Salford 023A,140500,67500,199995,60
E01005764,Stockport 016A,140500,65000,210000,41
E01032556,Oldham 026E,140500,70000,260000,34
E01005140,Manchester 002E,140995,30000,263000,63
E01033666,Manchester 017F,140995,58000,210000,110
E01006168,Trafford 019E,141000,70000,172500,19
E01005228,Manchester 009E,141122,55000,175000,12
E01005266,Manchester 044E,141250,85000,195000,31
E01005132,Manchester 013C,141475,71550,179950,8
E01006104,Trafford 017A,141475,77000,175000,22
E01005644,Salford 029F,141500,102500,270000,24
E01005744,Stockport 009B,141500,48500,340000,25
E01004999,Bury 014C,142000,62000,240005,21
E01005182,Manchester 030E,142000,18000,235000,7
E01005313,Manchester 053A,142000,85000,153000,11
E01005914,Stockport 007A,142000,111000,227500,21
E01005031,Bury 025A,142500,97500,190000,14
E01005436,Oldham 035B,142500,64000,280000,15
E01005916,Stockport 007C,142500,78800,392500,36
E01006299,Wigan 037C,142500,70000,275000,34
E01005966,Tameside 019D,142525,70000,205000,20
E01004780,Bolton 009B,142750,60000,282000,44
E01005013,Bury 018D,143000,39999,334000,43
E01005611,Salford 016B,143000,111000,220000,14
E01006331,Wigan 031D,143000,107750,377500,17
E01005005,Bury 012C,143250,94000,310000,30
E01005160,Manchester 004B,143500,63000,275000,26
E01006222,Wigan 035C,143750,105000,290000,26
E01005420,Oldham 021D,143950,90000,283000,23
E01005567,Rochdale 013D,144000,61000,205000,49
E01006004,Tameside 011D,144000,98000,216000,25
E01032684,Salford 022E,144000,97000,194500,10
E01005979,Tameside 029A,144475,95000,320000,26
E01004794,Bolton 013C,144500,127500,215000,8
E01005214,Manchester 019D,144500,114000,255000,37
E01005391,Oldham 008A,144500,58000,320000,20
E01005399,Oldham 005C,144500,71000,170000,20
E01006341,Wigan 040D,144500,62500,405000,22
E01005894,Stockport 001E,144750,122000,215000,26
E01004966,Bury 005C,145000,82550,196000,20
E01004977,Bury 004B,145000,53375,320000,35
E01005014,Bury 001A,145000,80000,309000,34
E01005063,Manchester 018C,145000,89950,245000,11
E01005241,Manchester 025A,145000,80000,235000,65
E01005242,Manchester 025B,145000,85000,185995,28
E01005718,Salford 007F,145000,1150,240000,25
E01005937,Tameside 004B,145000,77500,310000,17
E01006109,Trafford 001A,145000,125000,150000,3
E01006247,Wigan 034B,145000,65000,215000,17
E01006312,Wigan 003B,145000,61000,356000,27
E01005600,Salford 026B,145250,48000,249950,14
E01005877,Stockport 019E,145500,70000,315000,31
E01006384,Wigan 028E,145500,55500,335000,26
E01006038,Tameside 022D,145750,87500,282500,26
E01004903,Bolton 034A,146000,71000,248000,20
E01004918,Bolton 024G,146000,85000,254950,12
E01005111,Manchester 047B,146000,100000,300000,17
E01005721,Salford 023D,146000,87000,408500,15
E01006059,Tameside 001F,146000,63300,390000,28
E01006221,Wigan 035B,146000,50000,220000,23
E01006047,Tameside 023A,146250,96000,293000,32
E01004785,Bolton 006B,146500,40000,210000,21
E01005968,Tameside 014C,146500,73000,240000,20
E01006243,Wigan 023B,146500,78000,360000,48
E01005557,Rochdale 014B,147000,700,186000,19
E01005888,Stockport 001B,147000,96000,238000,27
E01004986,Bury 020B,147010,85000,260000,28
E01005563,Rochdale 012B,147495,35500,204995,42
E01004816,Bolton 029A,147500,55000,189950,12
E01005210,Manchester 019C,147500,135600,184000,5
E01005209,Manchester 019B,147750,107600,185500,18
E01005016,Bury 001C,148000,60000,425000,49
E01005050,Bury 006C,148000,84500,374999,45
E01005212,Manchester 057A,148000,80000,160000,9
E01005330,Oldham 015B,148000,94950,302000,30
E01005375,Oldham 034D,148000,115000,310000,18
E01005682,Salford 024D,148000,148000,148000,1
E01006363,Wigan 018B,148000,82000,187000,20
E01005797,Stockport 023C,148500,85000,360000,22
E01005957,Tameside 005C,148500,73000,270000,18
E01006345,Wigan 039D,148725,47500,315000,28
E01006248,Wigan 031A,148995,55000,437500,69
E01005591,Rochdale 009D,149000,90000,382500,22
E01005733,Salford 019E,149000,120000,340000,6
E01005221,Manchester 031C,149050,85000,237500,30
E01006259,Wigan 003A,149500,70000,205000,20
E01004982,Bury 004E,149750,63000,292000,30
E01005309,Manchester 036B,149950,53000,494950,27
E01006067,Tameside 009A,149950,85000,345000,23
E01006185,Trafford 001E,149950,83500,280000,25
E01006337,Wigan 027E,149950,77500,283000,17
E01005312,Manchester 036E,149975,100500,445000,14
E01005316,Manchester 053D,149975,112000,218000,16
E01033665,Manchester 056C,149999,91500,251000,39
E01004778,Bolton 009A,150000,75000,285000,29
E01005215,Manchester 034C,150000,80000,244500,35
E01005318,Manchester 053E,150000,105000,169950,21
