lsoa11cd,lsoa11nm,lad16nm,total_pop,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E01004779,Bolton 007A,Bolton,1568,12,22,25,31,22,24,25,24,25,26,18,24,19,17,19,21,19,26,26,14,16,14,10,17,16,19,23,23,19,19,18,16,15,24,17,19,25,20,22,16,19,13,17,24,19,31,27,35,31,32,26,18,24,21,29,28,19,22,24,25,14,26,21,19,13,15,17,28,18,18,15,3,9,13,8,5,6,3,1,7,2,5,3,1,4,1,0,0,0,0,2
E01004781,Bolton 007B,Bolton,2013,27,36,43,21,29,24,23,21,26,31,20,22,27,21,15,15,13,12,15,12,17,25,33,24,21,34,33,33,33,41,35,47,41,46,34,24,30,41,28,29,30,29,38,36,30,28,25,28,40,23,31,22,14,39,22,29,20,25,21,27,18,13,18,16,13,12,26,22,24,21,16,10,10,12,7,12,11,11,9,14,7,3,7,4,5,8,2,3,5,6,9
E01004882,Bolton 007C,Bolton,1356,8,12,11,13,12,9,15,12,13,16,14,13,21,15,17,16,19,18,15,11,18,15,11,12,15,9,15,16,27,18,19,9,17,14,14,5,14,14,4,9,9,20,14,20,25,16,17,18,27,20,32,26,26,20,31,22,21,14,17,9,18,12,15,20,19,14,13,22,22,19,14,10,15,13,15,9,12,16,11,10,7,11,6,13,8,10,10,5,7,6,15
E01004883,Bolton 007D,Bolton,1512,15,21,30,18,21,21,19,17,16,11,8,16,15,13,15,18,21,22,12,17,16,14,17,15,20,18,20,20,22,20,37,22,28,22,24,19,13,23,17,21,21,20,22,24,24,22,23,32,22,15,18,19,21,30,25,19,18,18,27,11,22,15,13,23,16,14,16,17,17,17,13,12,16,17,16,6,13,10,9,4,8,8,4,3,0,1,0,2,3,1,11
E01004884,Bolton 007E,Bolton,1423,13,10,8,20,9,12,10,13,12,10,9,7,14,9,9,11,15,8,13,6,9,7,9,7,10,14,5,9,9,16,10,7,8,9,17,14,11,9,13,12,12,14,20,14,15,21,20,23,26,23,22,18,24,24,22,25,19,33,19,28,20,28,24,26,17,20,27,41,35,43,23,26,34,28,19,21,16,16,16,12,6,12,17,9,11,4,6,2,4,4,11
E01004864,Bolton 008A,Bolton,1523,25,15,20,21,21,16,14,13,11,10,15,12,14,14,14,13,27,17,20,22,18,17,22,21,20,16,26,22,27,19,22,20,25,22,22,22,18,10,19,18,19,27,20,22,21,21,16,23,17,27,26,17,23,31,25,28,23,21,21,22,9,17,15,12,15,17,17,16,17,25,13,13,11,7,9,13,15,12,10,10,12,7,8,4,8,6,2,3,1,1,8
E01004867,Bolton 008B,Bolton,1526,22,31,26,23,29,28,28,15,21,22,29,16,23,27,12,19,17,21,28,18,14,8,20,16,20,29,25,27,31,26,25,31,27,26,22,16,18,34,18,17,17,13,19,37,21,21,26,13,22,21,15,19,12,17,16,16,21,18,14,18,18,16,11,14,12,12,13,17,11,14,9,8,4,6,5,6,3,5,9,8,6,5,6,2,6,2,3,2,2,2,8
E01004921,Bolton 008C,Bolton,1534,23,17,18,15,26,8,20,21,14,12,13,16,14,11,13,18,14,15,23,12,10,19,16,14,12,22,33,32,23,31,29,22,17,18,22,14,12,7,17,14,22,22,21,12,20,23,19,15,21,27,23,26,24,27,18,25,30,12,23,23,19,13,20,17,14,15,19,9,16,20,21,17,17,13,5,15,13,9,17,10,12,12,6,4,12,7,8,5,2,5,22
E01004924,Bolton 008D,Bolton,1464,11,9,17,9,15,16,11,20,12,16,18,16,17,8,16,14,26,15,25,16,18,13,25,13,18,14,13,9,15,10,13,14,17,12,19,10,16,7,10,14,13,18,17,14,19,12,21,23,15,18,29,33,36,24,27,23,26,31,28,31,27,16,19,18,22,27,18,15,25,27,16,14,27,17,21,9,11,8,10,3,11,12,7,4,3,3,6,3,5,3,12
E01004925,Bolton 008E,Bolton,1555,14,25,17,22,20,17,22,20,24,17,14,18,12,16,14,10,19,11,24,4,16,23,24,10,19,26,22,19,28,14,18,21,29,20,21,21,21,14,15,13,11,17,18,16,19,27,21,25,22,24,28,21,27,32,27,11,14,24,16,20,15,21,14,17,14,19,17,15,20,22,11,15,12,12,6,15,13,16,9,8,13,8,10,9,7,13,8,5,4,9,24
