atco_code,common_name,street,area_code,area_name,lon,lat
1800SJ49261,Arderne Road,Riddings Road,E08000009,Trafford,-2.36572,53.41671
1800SJ03961,Arran Gardens,Shetland Way,E08000009,Trafford,-2.36572,53.41671
1800SJ03951,Arran Gardens,Shetland Way,E08000009,Trafford,-2.36572,53.41671
1800SJ11301,Arthog Road,Park Road,E08000009,Trafford,-2.36572,53.41671
1800SJ11501,Arthog Road,Park Road,E08000009,Trafford,-2.36572,53.41671
1800SJ03681,Ascot Avenue,Manor Avenue,E08000009,Trafford,-2.36572,53.41671
1800SJ03891,Ascot Avenue,Manor Avenue,E08000009,Trafford,-2.36572,53.41671
1800SJ18511,Asda,George Rich Way,E08000009,Trafford,-2.36572,53.41671
1800SJ18551,Asda,Atlantic Street,E08000009,Trafford,-2.36572,53.41671
1800SJ41091,Ash Lane,Grove Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ01601,Ashburton Road West,Guinness Road,E08000009,Trafford,-2.36572,53.41671
1800SJ01611,Ashburton Road West,Guinness Road,E08000009,Trafford,-2.36572,53.41671
1800SJ11891,Ashfield Road,Stamford Pk Rd,E08000009,Trafford,-2.36572,53.41671
1800SJ03451,Ashfield Road,Cross Street,E08000009,Trafford,-2.36572,53.41671
1800SJ03301,Ashfield Road,Cross Street,E08000009,Trafford,-2.36572,53.41671
1800SJ04481,Ashlands,Ashton Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ04221,Ashlands,Ashton Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ49411,Ashton Avenue,Ellesmere Road,E08000009,Trafford,-2.36572,53.41671
1800SJ49381,Ashton Avenue,Ellesmere Road,E08000009,Trafford,-2.36572,53.41671
1800SJ04371,Ashton Lane,Grosvenor Road,E08000009,Trafford,-2.36572,53.41671
1800SJ04471,Ashton Lane,Grosvenor Road,E08000009,Trafford,-2.36572,53.41671
1800SJ04451,Ashton Park,Grosvenor Road,E08000009,Trafford,-2.36572,53.41671
1800SJ30191,Ayres Road,Seymour Grove,E08000009,Trafford,-2.36572,53.41671
1800SJ30201,Ayres Road,Seymour Grove,E08000009,Trafford,-2.36572,53.41671
1800SJ02901,Balmain Road,Cornhill Road,E08000009,Trafford,-2.36572,53.41671
1800SJ10941,Bancroft Road,Grove Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ11071,Bancroft Road,Grove Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ41631,Baptist Church,Hale Road,E08000009,Trafford,-2.36572,53.41671
1800SJ03411,Barkers Lane,Washway Road,E08000009,Trafford,-2.36572,53.41671
1800SJ04381,Barnfield Crescent,Grosvenor Road,E08000009,Trafford,-2.36572,53.41671
1800SJ04461,Barnfield Crescent,Grosvenor Road,E08000009,Trafford,-2.36572,53.41671
1800SJ49391,Barrington Road,Gaskell Road,E08000009,Trafford,-2.36572,53.41671
1800SJ49401,Barrington Road,Gaskell Road,E08000009,Trafford,-2.36572,53.41671
1800SJ10671,Barry Rise,Park Road,E08000009,Trafford,-2.36572,53.41671
1800SJ00241,Barton Embankment,Trafford Way,E08000009,Trafford,-2.36572,53.41671
1800SJ03001,Barton Road,Broadway,E08000009,Trafford,-2.36572,53.41671
1800SJ03131,Barton Road,Broadway,E08000009,Trafford,-2.36572,53.41671
1800SJ11911,Beech Rd,Hale Road,E08000009,Trafford,-2.36572,53.41671
1800SJ17201,Beechfield,Washway Road,E08000009,Trafford,-2.36572,53.41671
1800SJ48681,Bent Lane,Paddock Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ48611,Bent Lane,Paddock Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ03041,Bent Lanes,Woodhouse Road,E08000009,Trafford,-2.36572,53.41671
1800SJH0641,Birch Rd,Birch Road,E08000009,Trafford,-2.36572,53.41671
1800SJ12461,Blessed Thomas Holford,Urban Road,E08000009,Trafford,-2.36572,53.41671
1800SJ40911,Bloomsbury Lane,Stockport Road,E08000009,Trafford,-2.36572,53.41671
1800SJ40961,Bloomsbury Lane,Stockport Road,E08000009,Trafford,-2.36572,53.41671
1800SJ11131,Bonville Road,Oldfield Road,E08000009,Trafford,-2.36572,53.41671
1800SJ10921,Borough Rd,Stamford Pk Rd,E08000009,Trafford,-2.36572,53.41671
1800SJ10741,Bow Green Road,Langham Road,E08000009,Trafford,-2.36572,53.41671
1800SJH1471,Bow Green Road,Bow Green Road,E08000009,Trafford,-2.36572,53.41671
1800SJ10711,Bow Green Road,Dunham Road,E08000009,Trafford,-2.36572,53.41671
1800SJ10701,Bow Green Road,Dunham Road,E08000009,Trafford,-2.36572,53.41671
1800SJH1461,Bow Green Road,Bow Green Road,E08000009,Trafford,-2.36572,53.41671
1800SJ17031,Bow Green Road,Langham Road,E08000009,Trafford,-2.36572,53.41671
1800SJ10761,Bow Lane,Priory Road,E08000009,Trafford,-2.36572,53.41671
1800SJH2421,Bowden Prepatory School,Cavendish Road,E08000009,Trafford,-2.36572,53.41671
1800SJ09581,Bowdon Church,The Firs,E08000009,Trafford,-2.36572,53.41671
1800SJ09591,Bowdon Church,The Firs,E08000009,Trafford,-2.36572,53.41671
1800SJH0861,Bowdon Primary School,Grange Road,E08000009,Trafford,-2.36572,53.41671
1800SJ02501,Bowers Avenue,Davyhulme Road,E08000009,Trafford,-2.36572,53.41671
1800SJ02511,Bowers Avenue,Davyhulme Road,E08000009,Trafford,-2.36572,53.41671
1800SJ02951,Bowfell Circle,Moorside Road,E08000009,Trafford,-2.36572,53.41671
1800SJ02961,Bowfell Circle,Moorside Road,E08000009,Trafford,-2.36572,53.41671
1800SJH1491,Bowgreen Farm,Bow Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ48041,Box Walk,Wood Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ32081,Boyer Street,Talbot Road,E08000009,Trafford,-2.36572,53.41671
1800SJH1911,Boyer Street,Boyer Street,E08000009,Trafford,-2.36572,53.41671
1800SJ32071,Boyer Street,Talbot Road,E08000009,Trafford,-2.36572,53.41671
1800SJ12111,Brackenfield Walk,Aimson Rd East,E08000009,Trafford,-2.36572,53.41671
1800SJ04321,Brayton Ave,Carrington Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ04331,Brayton Ave,Carrington Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ49061,Briarfield Road,Aimson Rd East,E08000009,Trafford,-2.36572,53.41671
1800SJ49071,Briarfield Road,Aimson Rd East,E08000009,Trafford,-2.36572,53.41671
1800SJ00771,Bridge Inn,Dane Road,E08000009,Trafford,-2.36572,53.41671
1800SJ01401,Brightgate Way,Barton Dock Rd,E08000009,Trafford,-2.36572,53.41671
1800SJ17481,Broad Lane,Hale Road,E08000009,Trafford,-2.36572,53.41671
1800SJH2621,Broad Road,Broad Road,E08000009,Trafford,-2.36572,53.41671
1800SJ09431,Broadheath Primary,Sinderland Road,E08000009,Trafford,-2.36572,53.41671
1800SJ48411,Broadheath Primary,Sinderland Road,E08000009,Trafford,-2.36572,53.41671
1800SJ04161,Broadoak,Ashburton Rd W,E08000009,Trafford,-2.36572,53.41671
1800SJ03231,Broadoak,Ashburton Rd W,E08000009,Trafford,-2.36572,53.41671
1800SJ48321,Broadoak School,Warburton Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ48331,Broadoak School,Warburton Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ03421,Broadoaks Road,Washway Road,E08000009,Trafford,-2.36572,53.41671
1800SJ03331,Broadoaks Road,Washway Road,E08000009,Trafford,-2.36572,53.41671
1800SJ48101,Broadway,Manchester Road,E08000009,Trafford,-2.36572,53.41671
1800SJ48251,Broadway,Manchester Road,E08000009,Trafford,-2.36572,53.41671
1800SJH0391,Broadway,Broadway,E08000009,Trafford,-2.36572,53.41671
1800SJ41431,Broadway,Hale Road,E08000009,Trafford,-2.36572,53.41671
1800SJ03031,Broadway,Woodhouse Road,E08000009,Trafford,-2.36572,53.41671
1800SJH0131,Brook Rd,Brook Road,E08000009,Trafford,-2.36572,53.41671
1800SJ02851,Brook Road,Moorside Road,E08000009,Trafford,-2.36572,53.41671
1800SJ02841,Brook Road,Moorside Road,E08000009,Trafford,-2.36572,53.41671
1800SJ30021,Brook's Bar,Upp Chorlton Rd,E08000009,Trafford,-2.36572,53.41671
1800SJ49291,Brookfield Drive,Park Road,E08000009,Trafford,-2.36572,53.41671
1800SJ49161,Brookfield Drive,Park Road,E08000009,Trafford,-2.36572,53.41671
1800SJ41391,Brooks Drive,Hale Road,E08000009,Trafford,-2.36572,53.41671
1800SJ41621,Broom Road,Hale Road,E08000009,Trafford,-2.36572,53.41671
1800SJ41611,Broomfield Lane,Hale Road,E08000009,Trafford,-2.36572,53.41671
1800SJ04311,Buck Lane,Carrington Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ04341,Buck Lane,Carrington Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ41041,Bulls Head,Wicker Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ41191,Bulls Head,Wicker Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ02601,Calderbank Avenue,Woodsend Road,E08000009,Trafford,-2.36572,53.41671
1800SJ02611,Calderbank Avenue,Woodsend Road,E08000009,Trafford,-2.36572,53.41671
1800SJ01471,Canal Bridge,Mosley Road,E08000009,Trafford,-2.36572,53.41671
1800SJ01541,Canal Bridge,Mosley Road,E08000009,Trafford,-2.36572,53.41671
1800SJ01811,Canalside North,John Gilbert Wy,E08000009,Trafford,-2.36572,53.41671
1800SJ01171,Canterbury Road,Crofts Bank Rd,E08000009,Trafford,-2.36572,53.41671
1800SJ02911,Canterbury Road,Cornhill Rd,E08000009,Trafford,-2.36572,53.41671
1800SJ01191,Canterbury Road,Crofts Bank Rd,E08000009,Trafford,-2.36572,53.41671
1800SJ01961,Carborundum,Trafford Pk Rd,E08000009,Trafford,-2.36572,53.41671
1800SJ01711,Carborundum,Trafford Pk Rd,E08000009,Trafford,-2.36572,53.41671
1800SJ41501,Carlton Road,Hale Road,E08000009,Trafford,-2.36572,53.41671
1800SJ04061,Carnall Leisure Centre,Kingsway Park,E08000009,Trafford,-2.36572,53.41671
1800SJ04031,Carnall Leisure Centre,Kingsway Park,E08000009,Trafford,-2.36572,53.41671
1800SJ41131,Carr Road,Delahays Road,E08000009,Trafford,-2.36572,53.41671
1800SJ41141,Carr Road,Delahays Road,E08000009,Trafford,-2.36572,53.41671
1800SJ48711,Carrgreen Lane,Dunham Road,E08000009,Trafford,-2.36572,53.41671
1800SJ48581,Carrgreen Lane,Dunham Road,E08000009,Trafford,-2.36572,53.41671
1800SJ03611,Carrington Lane,Manor Avenue,E08000009,Trafford,-2.36572,53.41671
1800SJ03501,Carrington Rd,Carrington Rd,E08000009,Trafford,-2.36572,53.41671
1800SJ03491,Carrington Rd,Carrington Road,E08000009,Trafford,-2.36572,53.41671
1800SJ03851,Catterick Avenue,Firsway,E08000009,Trafford,-2.36572,53.41671
1800SJ03721,Catterick Avenue,Firsway,E08000009,Trafford,-2.36572,53.41671
1800SJ00401,Cavendish Road,Chester Road,E08000009,Trafford,-2.36572,53.41671
1800SJ00741,Cavendish Road,Winchester Road,E08000009,Trafford,-2.36572,53.41671
1800SJ41471,Cemetery,Hale Road,E08000009,Trafford,-2.36572,53.41671
1800SJ41341,Cemetery,Hale Road,E08000009,Trafford,-2.36572,53.41671
1800SJH0461,Central Rd,Central Road,E08000009,Trafford,-2.36572,53.41671
1800SJ03691,Central Road,Mcr New Road,E08000009,Trafford,-2.36572,53.41671
1800SJ48261,Central Road,M/Cr New Road,E08000009,Trafford,-2.36572,53.41671
1800SJ11361,Chapel Drive,Chapel Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ11451,Chapel Drive,Chapel Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ00031,Chapel Lane,Chester Road,E08000009,Trafford,-2.36572,53.41671
1800SJ11441,Chapel Lane,Greengate,E08000009,Trafford,-2.36572,53.41671
1800SJ11341,Chapel Lane,Hawley Lane,E08000009,Trafford,-2.36572,53.41671
1800SJH0531,Chapel Ln,Chapel Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ03291,Chapel Road,Cross Street,E08000009,Trafford,-2.36572,53.41671
1800SJH1531,Charcoal Road,Charcoal Road,E08000009,Trafford,-2.36572,53.41671
1800SJH1631,Charcoal Road,Charcoal Road,E08000009,Trafford,-2.36572,53.41671
1800SJ00931,Chatsworth Road,Barton Road,E08000009,Trafford,-2.36572,53.41671
1800SJ04661,Chatsworth Road,Barton Road,E08000009,Trafford,-2.36572,53.41671
1800SJ03741,Chepstow Avenue,Firsway,E08000009,Trafford,-2.36572,53.41671
1800SJ03831,Chepstow Avenue,Firsway,E08000009,Trafford,-2.36572,53.41671
1800SJ47851,Cheriton Avenue,Priory Road,E08000009,Trafford,-2.36572,53.41671
1800SJ48451,Cheshire Cheese,Manchester Road,E08000009,Trafford,-2.36572,53.41671
1800SB30291,Chester Rd,Chester Rd,E08000009,Trafford,-2.36572,53.41671
1800SJ30451,Chester Road,City Road,E08000009,Trafford,-2.36572,53.41671
1800SJ16961,Chester Road,Talbot Road,E08000009,Trafford,-2.36572,53.41671
1800SJ01031,Chester Road,Chapel Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ00451,Chester Road,City Road,E08000009,Trafford,-2.36572,53.41671
1800SJ00861,Chester Road,Davyhulme Rd E,E08000009,Trafford,-2.36572,53.41671
1800SJ16941,Chester Road,Talbot Road,E08000009,Trafford,-2.36572,53.41671
1800SJ00871,Chester Road,Davyhulme Rd E,E08000009,Trafford,-2.36572,53.41671
1800SJ08711,Chester Road,White City Way,E08000009,Trafford,-2.36572,53.41671
1800SJ00181,Chill Factore,Trafford Way,E08000009,Trafford,-2.36572,53.41671
1800SB14271,Chorlton Rd,Moss Ln West,E08000009,Trafford,-2.36572,53.41671
1800SJ10731,Church Brow,Park Road,E08000009,Trafford,-2.36572,53.41671
1800SJ04351,Church Lane,Ashton Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ04241,Church Lane,Ashton Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ03191,Church Rectory,Redclyffe Road,E08000009,Trafford,-2.36572,53.41671
1800SJ17581,Church Street,Oldfield Road,E08000009,Trafford,-2.36572,53.41671
1800SJ01121,Ciss Lane,Stretford Road,E08000009,Trafford,-2.36572,53.41671
1800SJ01231,Ciss Lane,Stretford Road,E08000009,Trafford,-2.36572,53.41671
1800SJ30281,City Road,Chester Road,E08000009,Trafford,-2.36572,53.41671
1800SJ30271,City Road,Chester Road,E08000009,Trafford,-2.36572,53.41671
1800SJ47381,Claremont Road,Ashfield Road,E08000009,Trafford,-2.36572,53.41671
1800SJ49491,Cloverley,Brooklands Road,E08000009,Trafford,-2.36572,53.41671
1800SJ30121,College Road,Upp Chorlton Rd,E08000009,Trafford,-2.36572,53.41671
1800SJ48281,Columbine Walk,Central Road,E08000009,Trafford,-2.36572,53.41671
1800SJ48241,Common Lane,Manchester Road,E08000009,Trafford,-2.36572,53.41671
1800SJ48111,Common Lane,Manchester Road,E08000009,Trafford,-2.36572,53.41671
1800SJ48291,Community Centre,Central Road,E08000009,Trafford,-2.36572,53.41671
1800SJ00681,Community Centre,Humphrey Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ09401,Conservative Club,Heyes Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ49231,Conservative Club,Heyes Lane,E08000009,Trafford,-2.36572,53.41671
1800SB18341,Cornbrook Metrolink Stop,Bridgewater Way,E08000009,Trafford,-2.36572,53.41671
1800SJ30401,Cornbrook Street,Chorlton Road,E08000009,Trafford,-2.36572,53.41671
1800SJ30411,Cornbrook Street,Chorlton Road,E08000009,Trafford,-2.36572,53.41671
1800SJ00321,Cornbrook Street,Stretford Road,E08000009,Trafford,-2.36572,53.41671
1800SJ30511,Cornbrook Street,Stretford Road,E08000009,Trafford,-2.36572,53.41671
1800SJ02491,Cornhill Road,Davyhulme Road,E08000009,Trafford,-2.36572,53.41671
1800SJ02481,Cornhill Road,Davyhulme Road,E08000009,Trafford,-2.36572,53.41671
1800SJ11381,Crabtree Avenue,Greengate,E08000009,Trafford,-2.36572,53.41671
1800SJH1041,Craddock Rd,Craddock Rd,E08000009,Trafford,-2.36572,53.41671
1800SJH2921,Craddock Road,Craddock Road,E08000009,Trafford,-2.36572,53.41671
1800SJ47921,Craven Road,Sinderland Road,E08000009,Trafford,-2.36572,53.41671
1800SJ01071,Cressingham Road,Urmston Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ17711,Cresta Court Hotel,Woodlands Road,E08000009,Trafford,-2.36572,53.41671
1800SJ09661,Cresta Court Hotel,Woodlands Road,E08000009,Trafford,-2.36572,53.41671
1800SJ02991,Crofts Bank Road,Moorside Road,E08000009,Trafford,-2.36572,53.41671
1800SJ00831,Crofts Bank Road,Winchester Road,E08000009,Trafford,-2.36572,53.41671
1800SJ32221,Cromwell Road,Kings Road,E08000009,Trafford,-2.36572,53.41671
1800SJH1131,Cross Lane West,Cross Lane West,E08000009,Trafford,-2.36572,53.41671
1800SJ47361,Cross Street,Ashfield Road,E08000009,Trafford,-2.36572,53.41671
1800SJ47371,Cross Street,Ashfield Road,E08000009,Trafford,-2.36572,53.41671
1800SJ03481,Crossford Bridge,Chester Road,E08000009,Trafford,-2.36572,53.41671
1800SJ00261,Crossford Bridge,Cross Street,E08000009,Trafford,-2.36572,53.41671
1800SJ47771,Cumberland Road,Derbyshire Rd S,E08000009,Trafford,-2.36572,53.41671
1800SJ47631,Cumberland Road,Derbyshire Rd South,E08000009,Trafford,-2.36572,53.41671
1800SJ47861,Dane Road,Priory Road,E08000009,Trafford,-2.36572,53.41671
1800SJ47811,Dane Road,Priory Road,E08000009,Trafford,-2.36572,53.41671
1800SJ03471,Dane Road,Cross Street,E08000009,Trafford,-2.36572,53.41671
1800SJ03281,Dane Road,Cross Street,E08000009,Trafford,-2.36572,53.41671
1800SJ00761,Danefield Road,Dane Road,E08000009,Trafford,-2.36572,53.41671
1800SJ02191,Dartford Road,Church Road,E08000009,Trafford,-2.36572,53.41671
1800SJ00531,Dartford Road,Church Road,E08000009,Trafford,-2.36572,53.41671
1800SJ18501,Davenport Lane,George Rich Way,E08000009,Trafford,-2.36572,53.41671
1800SJ18561,Davenport Lane,Atlantic Street,E08000009,Trafford,-2.36572,53.41671
1800SJ02931,Davyhulme Circle,Davyhulme Circl,E08000009,Trafford,-2.36572,53.41671
1800SJ01181,Davyhulme Circle,Crofts Bank Rd,E08000009,Trafford,-2.36572,53.41671
1800SJ02921,Davyhulme Circle,Davyhulme Road,E08000009,Trafford,-2.36572,53.41671
1800SJ16421,Davyhulme Library,Hayeswater Road,E08000009,Trafford,-2.36572,53.41671
1800SJ16431,Davyhulme Library,Hayeswater Road,E08000009,Trafford,-2.36572,53.41671
1800SJ03921,Davyhulme Park,Canterbury Road,E08000009,Trafford,-2.36572,53.41671
1800SJ03071,Davyhulme Road,Woodhouse Road,E08000009,Trafford,-2.36572,53.41671
1800SJ01341,Davyhulme Road,Park Road,E08000009,Trafford,-2.36572,53.41671
1800SJ02531,Davyhulme Road,Woodhouse Road,E08000009,Trafford,-2.36572,53.41671
1800SJ05851,Davyhulme Road,Park Road,E08000009,Trafford,-2.36572,53.41671
1800SJ00111,Davyhulme Road East,Chester Road,E08000009,Trafford,-2.36572,53.41671
1800SJ00881,Davyhulme Road East,Moss Road,E08000009,Trafford,-2.36572,53.41671
1800SJ00421,Davyhulme Road East,Chester Road,E08000009,Trafford,-2.36572,53.41671
1800SJ12391,Dawlish Road,Firs Road,E08000009,Trafford,-2.36572,53.41671
1800SJ48471,De Quincey Road,Manchester Road,E08000009,Trafford,-2.36572,53.41671
1800SJ49361,Deansgate Lane,Brook Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ49431,Deansgate Lane,Brook Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ49041,Dee Avenue,Greystoke Ave,E08000009,Trafford,-2.36572,53.41671
1800SJ41121,Delahays Road,Grove Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ41321,Delahays Road,Hale Road,E08000009,Trafford,-2.36572,53.41671
1800SJ08611,Delahays Road,Grove Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ41491,Delahays Road,Hale Road,E08000009,Trafford,-2.36572,53.41671
1800SJ01441,Derbyshire Lane,Park Road,E08000009,Trafford,-2.36572,53.41671
1800SJ00101,Derbyshire Lane,Chester Road,E08000009,Trafford,-2.36572,53.41671
1800SJ01331,Derbyshire Lane,Park Road,E08000009,Trafford,-2.36572,53.41671
1800SJH1051,Derbyshire Rd South,Derbyshire Rd S,E08000009,Trafford,-2.36572,53.41671
1800SJH2911,Derbyshire Rd South,Derbyshire Rd South,E08000009,Trafford,-2.36572,53.41671
1800SJH1001,Derbyshire Rd Sth,Norris Road,E08000009,Trafford,-2.36572,53.41671
1800SJ47271,Derbyshire Road,Northenden Road,E08000009,Trafford,-2.36572,53.41671
1800SJ47951,Drake Road,Barlow Road,E08000009,Trafford,-2.36572,53.41671
1800SJ48371,Drake Road,Barlow Road,E08000009,Trafford,-2.36572,53.41671
1800SJ10691,Dunham House,Charcoal Road,E08000009,Trafford,-2.36572,53.41671
1800SJ10681,Dunham House,Charcoal Road,E08000009,Trafford,-2.36572,53.41671
1800SJ10911,Dunham Massey,Woodhouse Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ10901,Dunham Massey,Woodhouse Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ10721,Dunham Road,Park Road,E08000009,Trafford,-2.36572,53.41671
1800SJ16881,Dunham Town,Woodhouse Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ00541,Dunham Town,Woodhouse Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ48491,Eastway,Washway Road,E08000009,Trafford,-2.36572,53.41671
1800SJ48621,Egerton Avenue,Paddock Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ48671,Egerton Avenue,Paddock Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ04051,Egerton High School,Kingsway Park,E08000009,Trafford,-2.36572,53.41671
1800SJ04041,Egerton High School,Kingsway Park,E08000009,Trafford,-2.36572,53.41671
1800SJ02061,Eleventh Street,Second Avenue,E08000009,Trafford,-2.36572,53.41671
1800SJ09111,Eleventh Street,Second Avenue,E08000009,Trafford,-2.36572,53.41671
1800SJ15691,Eleventh Street,Fifth Avenue,E08000009,Trafford,-2.36572,53.41671
1800SJ15701,Eleventh Street,Fifth Avenue,E08000009,Trafford,-2.36572,53.41671
1800SJ03181,Ellesmere Circle,Redclyffe Road,E08000009,Trafford,-2.36572,53.41671
1800SJ03171,Ellesmere Circle,Trafford Blvd,E08000009,Trafford,-2.36572,53.41671
1800SJ03201,Ellesmere Circle,Redclyffe Road,E08000009,Trafford,-2.36572,53.41671
1800SJ11211,Ellesmere Road,Barrington Road,E08000009,Trafford,-2.36572,53.41671
1800SJ09501,Elmsway,Hawley Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ04511,Elton Road,Woodhouse Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ04541,Elton Road,Woodhouse Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ04251,Ennerdale Dr,Carrington Lane,E08000009,Trafford,-2.36572,53.41671
1800SJH2991,Epping Drive,Epping Drive,E08000009,Trafford,-2.36572,53.41671
1800SJH2981,Epping Drive,Epping Drive,E08000009,Trafford,-2.36572,53.41671
1800SJ03841,Epsom Avenue,Firsway,E08000009,Trafford,-2.36572,53.41671
1800SJ03731,Epsom Avenue,Firsway,E08000009,Trafford,-2.36572,53.41671
1800SJ00631,Erskine St,Stretford Rd,E08000009,Trafford,-2.36572,53.41671
1800SJ04071,Event City,Barton Dock Road,E08000009,Trafford,-2.36572,53.41671
1800SJ04091,Event City,Barton Dock Road,E08000009,Trafford,-2.36572,53.41671
1800SJ02461,Exeter Road,Lostock Road,E08000009,Trafford,-2.36572,53.41671
1800SJ02451,Exeter Road,Lostock Road,E08000009,Trafford,-2.36572,53.41671
1800SJ04211,Fairbairn House,Ashton Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ10611,Fairbank House,Ashley Road,E08000009,Trafford,-2.36572,53.41671
1800SJ01991,Fifth Avenue,Village Way,E08000009,Trafford,-2.36572,53.41671
1800SJ01981,Fifth Avenue,Village Way,E08000009,Trafford,-2.36572,53.41671
1800SJ03801,Fir Tree Avenue,Firsway,E08000009,Trafford,-2.36572,53.41671
1800SJ03771,Fir Tree Avenue,Firsway,E08000009,Trafford,-2.36572,53.41671
1800SJ03651,Firs Road,Manor Avenue,E08000009,Trafford,-2.36572,53.41671
1800SJ03711,Firsway,Cherry Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ03911,Firsway,Manor Avenue,E08000009,Trafford,-2.36572,53.41671
1800SJ03861,Firsway,Cherry Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ01081,Firwood Avenue,Urmston Lane,E08000009,Trafford,-2.36572,53.41671
1800SJ01281,Firwood Avenue,Urmston Lane,E08000009,Trafford,-2.36572,53.41671
1800SJH0061,Flixton Rd,Flixton Rd,E08000009,Trafford,-2.36572,53.41671
1800SJH0151,Flixton Rd,Flixton Road,E08000009,Trafford,-2.36572,53.41671
1800SJH1261,Flixton Rd,Flixton Road,E08000009,Trafford,-2.36572,53.41671
1800SJH1251,Flixton Rd,Flixton Road,E08000009,Trafford,-2.36572,53.41671
1800SJ02681,Flixton Road,Irlam Road,E08000009,Trafford,-2.36572,53.41671
1800SJ08521,Flixton Road,Irlam Road,E08000009,Trafford,-2.36572,53.41671
