area_code,area_name,geography,period,indicator,measure,unit,value
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,60
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,6
E02001274,Trafford 016,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,6328
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,1975
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,187
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,47
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,13
E02001275,Trafford 017,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,5967
E02001276,Trafford 018,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,1875
E02001276,Trafford 018,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,134
E02001276,Trafford 018,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,52
E02001276,Trafford 018,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,12
E02001276,Trafford 018,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,6045
E02001277,Trafford 019,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,2267
E02001277,Trafford 019,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,125
E02001277,Trafford 019,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,50
E02001277,Trafford 019,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,8
E02001277,Trafford 019,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,6903
E02001278,Trafford 020,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,1938
E02001278,Trafford 020,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,145
E02001278,Trafford 020,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,57
E02001278,Trafford 020,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,9
E02001278,Trafford 020,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,6545
E02001279,Trafford 021,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,1751
E02001279,Trafford 021,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,144
E02001279,Trafford 021,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,56
E02001279,Trafford 021,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,8
E02001279,Trafford 021,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,6327
E02001280,Trafford 022,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,1791
E02001280,Trafford 022,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,182
E02001280,Trafford 022,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,39
E02001280,Trafford 022,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,11
E02001280,Trafford 022,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,6378
E02001281,Trafford 023,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,1560
E02001281,Trafford 023,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,148
E02001281,Trafford 023,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,45
E02001281,Trafford 023,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,9
E02001281,Trafford 023,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,5975
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,2280
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,123
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,45
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,10
E02001282,Trafford 024,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,7647
E02001283,Trafford 025,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,1848
E02001283,Trafford 025,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,156
E02001283,Trafford 025,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,49
E02001283,Trafford 025,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,9
E02001283,Trafford 025,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,7451
E02001284,Trafford 026,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,1885
E02001284,Trafford 026,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,81
E02001284,Trafford 026,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,33
E02001284,Trafford 026,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,4
E02001284,Trafford 026,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,6150
E02001285,Trafford 027,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,1443
E02001285,Trafford 027,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,143
E02001285,Trafford 027,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,50
E02001285,Trafford 027,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,7
E02001285,Trafford 027,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,6112
E02001286,Trafford 028,Middle-layer Super Output Area,2021-03-21,Does not apply,Frequency,Persons,1810
E02001286,Trafford 028,Middle-layer Super Output Area,2021-03-21,Previously served in UK armed forces,Frequency,Persons,140
E02001286,Trafford 028,Middle-layer Super Output Area,2021-03-21,Previously served in UK reserve armed forces,Frequency,Persons,53
E02001286,Trafford 028,Middle-layer Super Output Area,2021-03-21,Previously served in both regular and reserve UK armed forces,Frequency,Persons,5
E02001286,Trafford 028,Middle-layer Super Output Area,2021-03-21,Has not previously served in any UK armed forces,Frequency,Persons,6272
