AREFNO,date,month,day,hour,mode,severity,light,sex,ageband,area_name,text,easting,northing,lng,lat
100281322017,2017-03-12,Mar,Sun,14,Car,Slight,Dark,Male,6-10,Bolton,At 14:09 on Sunday 12 March 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,370709,410479,-2.443977528809638,53.59006592048317
100281382017,2017-03-08,Mar,Wed,14,Car,Slight,Daylight,Female,26-35,Bolton,At 14:58 on Wednesday 08 March 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,372003,408779,-2.42427628807814,53.5748572410276
100281382017,2017-03-08,Mar,Wed,14,Car,Slight,Daylight,Female,11-15,Bolton,At 14:58 on Wednesday 08 March 2017 a slight collision occured involving  2 vehicle(s) and  2 casualtie(s).,372003,408779,-2.42427628807814,53.5748572410276
100281432017,2017-03-15,Mar,Wed,9,Car,Slight,Daylight,Male,6-10,Bolton,At 09:05 on Wednesday 15 March 2017 a slight collision occured involving  1 vehicle(s) and  1 casualtie(s).,374288,410321,-2.389897260821502,53.58883432119651
100281432017,2017-03-15,Mar,Wed,9,Car,Slight,Daylight,Female,6-10,Bolton,At 09:05 on Wednesday 15 March 2017 a slight collision occured involving  1 vehicle(s) and  2 casualtie(s).,374288,410321,-2.389897260821502,53.58883432119651
100281652017,2017-04-01,Apr,Sat,10,Car,Slight,Daylight,Female,26-35,Bolton,At 10:59 on Saturday 01 April 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,368654,407386,-2.4747100069260695,53.56214681307242
100281652017,2017-04-01,Apr,Sat,10,Car,Slight,Daylight,Female,6-10,Bolton,At 10:59 on Saturday 01 April 2017 a slight collision occured involving  2 vehicle(s) and  2 casualtie(s).,368654,407386,-2.4747100069260695,53.56214681307242
100281652017,2017-04-01,Apr,Sat,10,Car,Slight,Daylight,Male,36-45,Bolton,At 10:59 on Saturday 01 April 2017 a slight collision occured involving  2 vehicle(s) and  3 casualtie(s).,368654,407386,-2.4747100069260695,53.56214681307242
100281802017,2017-03-28,Mar,Tue,8,Pedestrian,Slight,Daylight,Female,11-15,Bolton,At 08:15 on Tuesday 28 March 2017 a slight collision occured involving  1 vehicle(s) and  1 casualtie(s).,373778,406144,-2.397249269068527,53.55126573055178
100281902017,2017-03-20,Mar,Mon,6,Powered 2 Wheeler,Slight,Dark,Male,36-45,Bolton,At 06:50 on Monday 20 March 2017 a slight collision occured involving  2 vehicle(s) and  1 casualtie(s).,373392,405087,-2.402984839566237,53.54174579187591
100282012017,2017-03-30,Mar,Thu,18,Pedestrian,Slight,Daylight,Female,16-20,Bolton,At 18:05 on Thursday 30 March 2017 a slight collision occured involving  1 vehicle(s) and  1 casualtie(s).,362453,409452,-2.5685725819822216,53.58030738060137
100282512017,2017-03-25,Mar,Sat,10,Car,Slight,Daylight,Female,46-55,Bolton,At 10:07 on Saturday 25 March 2017 a slight collision occured involving  3 vehicle(s) and  3 casualtie(s).,373474,410487,-2.4022080019073653,53.59028561019776
100282512017,2017-03-25,Mar,Sat,10,Car,Slight,Daylight,Female,46-55,Bolton,At 10:07 on Saturday 25 March 2017 a slight collision occured involving  3 vehicle(s) and  1 casualtie(s).,373474,410487,-2.4022080019073653,53.59028561019776
