name,local_authority_code,establishment_number,unique_reference_number,type,gender,lowest_admission_age,highest_admission_age,capacity,resource_provision,religion,trust_type,sponsoring_trust,percent_fsm,ofsted_rating,website,postcode,lon,lat
Altrincham Grammar School for Boys,358,5404,136458,Academies,Boys,11,18,1231,NA,None,Supported by a multi-academy trust,The Hamblin Education Trust,4.4,Outstanding,www.agsb.co.uk,WA14 2RS,-2.3512466664068015,53.37647540083294
Sale Grammar School,358,4029,136498,Academies,Mixed,11,18,1341,NA,None,Supported by a single-academy trust,Sale Grammar School,2.7,Outstanding,http://www.salegrammar.co.uk/,M33 3NH,-2.315027636148995,53.418112870054365
Flixton Girls School,358,4014,136965,Academies,Girls,11,16,900,Not applicable,None,Supported by a multi-academy trust,Vantage Ce Academies Trust,16.7,Good,http://www.flixtongirls.com/,M41 5DR,-2.371094106463183,53.44968132283736
Altrincham Grammar School for Girls,358,5407,137289,Academies,Girls,11,18,1370,NA,None,Supported by a multi-academy trust,Bright Futures Educational Trust,3.5,Outstanding,http://www.aggs.trafford.sch.uk/,WA14 2NL,-2.3604709657986236,53.381211863960516
Ashton-on-Mersey School,358,5401,138123,Academies,Mixed,11,19,1561,NA,None,Supported by a multi-academy trust,The Dean Trust,15.6,Good,http://thedeantrust.co.uk/,M33 5BP,-2.339322577274194,53.41941252817327
Broadoak School,358,4012,138124,Academies,Mixed,11,16,792,NA,None,Supported by a multi-academy trust,The Dean Trust,48.5,Requires improvement,http://broadoakschool.co.uk/,M31 4BU,-2.4297221786129026,53.41335060813359
Saint Ambrose College,358,5900,138134,Academies,Boys,11,18,1050,NA,Roman Catholic,Supported by a single-academy trust,St. Ambrose College Edmund Rice Academy Trust,5.6,Good,www.st-ambrosecollege.org.uk,WA15 0HE,-2.3197411149198133,53.37053263206114
Loreto Grammar School,358,5901,138464,Academies,Girls,11,18,1041,Not applicable,Roman Catholic,Supported by a single-academy trust,Loreto Grammar School,5,Outstanding,www.loretogrammar.co.uk,WA14 4AH,-2.3572527609859177,53.38825964192651
Altrincham College,358,4024,138614,Academies,Mixed,11,18,1018,Not applicable,None,Supported by a multi-academy trust,Achieve And Learn Trust,26.1,Good,http://www.altrinchamcollege.com/,WA15 8QW,-2.3240819584622456,53.384030831894655
Elmridge Primary School,358,2009,138654,Academies,Mixed,3,11,244,NA,Does not apply,Supported by a multi-academy trust,Bright Futures Educational Trust,12.3,Good,www.elmridge.bright-futures.co.uk,WA15 0JF,-2.310653603680585,53.36713197382526
Forest Gate Academy,358,2001,138788,Academies,Mixed,3,11,210,NA,Does not apply,Supported by a multi-academy trust,The Dean Trust,59,Good,http://forestgateacademy.co.uk/,M31 4PN,-2.4412299923845753,53.416131045871474
Acre Hall Primary School,358,2015,138977,Academies,Mixed,3,11,343,SEN unit,Does not apply,Supported by a multi-academy trust,Bright Futures Educational Trust,25.4,Good,http://www.acrehall.trafford.sch.uk,M41 6NA,-2.39412398982378,53.44882551834581
