featureNum,Club,Category,Address,Postcode
137,Sale Weight Training Club,Weights,"30 Raglan Road, Sale",M33 4AG
138,Salians RUFC,Rugby,"Finny Bank Road, Sale",M33 6LR
140,Silver Feather Badminton Club,Badminton,"Cecil Avenue, Stretford",M33 5BP
141,St Lawrence Gaelic Football Club,Gaelic Football,"Turn Moss Road, Sale",M32 8QD
142,Stamford Bowling Club,Bowling,"Oldfield Road, Altrincham",WA14 4WQ
143,Stretford Amateur Swimming Club,Swimming,"Briggs Road, Stretford",M32  0ZP
144,Stretford Cricket Club,Cricket,"Lesley Road, Stretford",M32 9EE
146,Stretfordians Junior Football Club,Football,"118 Grove Road, Stretford",WA15 6PL
147,Tai Chi Chuan,Martial Arts,"74 Cronwell Road, Stretford",M32 8QJ
148,Tang Soo Doo,Martial Arts,"Broad Road, Sale",M33 2AL
149,The Grange Sports and Social Club,Multi Sports,"52 Grange Avenue, Altrincham",WA15 6DX
150,Timperley Sports Club,Multi Sports,"Stockport Road, Altrincham",WA15 7LU
151,Timperley Tornadoes,Football,"8 Colville Grove, Altrincham",WA15 6NA
152,Timperley Villa Youth FC,Football,"Balmoral Road, Altrincham",WA15 8HJ
153,Trafford Athletic Club,Athletic,"Ryebank Road, Stretford",M21 9TA
154,Trafford Basketball Centre,Basketball,"Manor Avenue, Sale",M33 5JX
155,Trafford Football Club,Football,"Pennybridge Lane, Urmston",M41 5DL
156,Trafford Hawkes,Rugby,"Finny Bank Road, Stretford",M33 6LR
157,Trafford MV Cricket Club,Cricket,"Finnybank Road, Sale",M33 6LR
158,Trafford MV RFCC,Rugby,"Finnybank Road, Sale",M33 6LR
159,Trafford Senior Netball Club,Netball,"Manor Avenue, Sale",M33 5JX
160,Trafford Metro Swimming Club,Swimming,"Broad Road, Sale",M33 2AL
161,Trafford Synchronized Swimming Club,Swimming,"Broad Road, Sale",M33 2AL
162,Trafford Rangers Junior FC,Football,Urmston,M41 6JB
163,Trafford Rowing Club,Rowing,"30 Raglan Road, Sale",M33 4AG
164,Trafford School of Gymnastics,Gymnastics,"Raglan Road, Sale",M33 4AN
165,Trafford Sub-Aqua Club,Swimming,"Bowfell Road, Urmston",M41 5RR
166,Trafford Sword Club,Fencing,"Flixton Road, Urmston",M41 6QY
167,Trinity Bowling Club,Bowling,"Temple Road, Sale",M33 2FQ
168,Unicorn Athletic Junior Football Club,Football,"Sylvan Avenue, Sale",M33 3UW
169,Urmston Amateur Swimming Club,Swimming,"63 Chassen Road, Urmston",M41 9EY
170,Urmston and District Ridng Club,Riding,"NA, Urmston",M41 9EP
171,Urmston Cricket and Tennis Club,"Cricket, Tennis","Moorside Road, Urmston",M41 5UU
172,Urmston Ladies Hockey Club,Hockey,"Moorside Road, Urmston",M41 5UU
173,Urmston Meadowside Football Club,Football,"Flixton Road, Urmston",M41 5DW
174,Urmston Park Mens Bowling Club,Bowling,"Winifred Road, Urmston",M41 5FT
175,Urmston Town Junior Football Club,Football,"Barton Clough Audley Avenue, Urmston",M32 9TG
176,Victoria Park Bowling Club,Bowling,"Victoria Road, Stretford",M32 0AD
177,Walton Park Bowling Club,Bowling,"Walton Road, Sale",M33 4FG
178,Walton Park Ladies Bowling Club,Bowling,"Walton Road, Sale",M33 4FG
179,William Wroe Veterans Golf Society,Golf,"Stockport Road, Urmston",WA15 7LP
180,Winchester Ladies Bowling Club,Bowling,"Crofts Bank Road, Urmston",M41 0US
181,Woodheys Club Ltd,Football,"299 Washway Road, Sale",M33 4EE
182,Woodsend Football Club,Football,"36 Tanhouse Road, Urmston",M41 8RA
