area_code,area_name,geography,period,indicator,national_identity,measure,unit,value
E08000002,Bury,Local authority,2021-03-21,National identity,UK identity: Welsh and British only identity,Frequency,Persons,183
E08000002,Bury,Local authority,2021-03-21,National identity,UK identity: Scottish only identity,Frequency,Persons,785
E08000002,Bury,Local authority,2021-03-21,National identity,UK identity:  Scottish and British only identity,Frequency,Persons,330
E08000002,Bury,Local authority,2021-03-21,National identity,UK identity: Northern Irish only identity,Frequency,Persons,378
E08000002,Bury,Local authority,2021-03-21,National identity,UK identity: Northern Irish and British only identity,Frequency,Persons,120
E08000002,Bury,Local authority,2021-03-21,National identity,UK identity: Cornish only identity,Frequency,Persons,4
E08000002,Bury,Local authority,2021-03-21,National identity,UK identity: Cornish and British only identity,Frequency,Persons,1
E08000002,Bury,Local authority,2021-03-21,National identity,UK identity: Any other combination of UK identities (UK only),Frequency,Persons,245
E08000002,Bury,Local authority,2021-03-21,National identity,UK identity: Other identity and at least one UK identity,Frequency,Persons,2149
E08000002,Bury,Local authority,2021-03-21,National identity,Other identity only: Guernsey Islander,Frequency,Persons,0
E08000002,Bury,Local authority,2021-03-21,National identity,Other identity only: Jersey Islander,Frequency,Persons,0
E08000002,Bury,Local authority,2021-03-21,National identity,Other identity only: Isle of Man (Manx),Frequency,Persons,5
E08000002,Bury,Local authority,2021-03-21,National identity,Other identity only: Channel Islander not otherwise specified,Frequency,Persons,0
E08000002,Bury,Local authority,2021-03-21,National identity,Other identity only: Irish only identity,Frequency,Persons,1197
E08000002,Bury,Local authority,2021-03-21,National identity,Other identity only: Irish and at least one UK identity,Frequency,Persons,211
E08000002,Bury,Local authority,2021-03-21,National identity,Other identity only: European: EU countries: French,Frequency,Persons,161
E08000002,Bury,Local authority,2021-03-21,National identity,Other identity only: European: EU countries: German,Frequency,Persons,143
E08000002,Bury,Local authority,2021-03-21,National identity,Other identity only: European: EU countries: Italian,Frequency,Persons,958
E08000002,Bury,Local authority,2021-03-21,National identity,Other identity only: European: EU countries: Portuguese,Frequency,Persons,291
E08000002,Bury,Local authority,2021-03-21,National identity,Other identity only: European: EU countries: Spanish (including Canary Islander),Frequency,Persons,552
E08000002,Bury,Local authority,2021-03-21,National identity,Other identity only: European: EU countries: Other member countries in March 2001,Frequency,Persons,502
E08000002,Bury,Local authority,2021-03-21,National identity,Other identity only: European: EU countries:  Lithuanian,Frequency,Persons,182
E08000002,Bury,Local authority,2021-03-21,National identity,Other identity only: European: EU countries:  Polish,Frequency,Persons,1703
E08000002,Bury,Local authority,2021-03-21,National identity,Other identity only: European: EU countries: Romanian,Frequency,Persons,301
E08000002,Bury,Local authority,2021-03-21,National identity,Other identity only: European: EU countries: Other member countries,Frequency,Persons,648
E08000002,Bury,Local authority,2021-03-21,National identity,Other identity only: European: Non-EU countries: Turkish,Frequency,Persons,43
E08000002,Bury,Local authority,2021-03-21,National identity,Other identity only: European: Non-EU countries: Other European,Frequency,Persons,1012
E08000002,Bury,Local authority,2021-03-21,National identity,Other identity only: African: North African,Frequency,Persons,252
E08000002,Bury,Local authority,2021-03-21,National identity,Other identity only: African: Central and Western African: Ghanaian,Frequency,Persons,30
