area_code,area_name,geography,period,indicator,national_identity,measure,unit,value
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,National identity,English only identity,Count,Persons,265
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,National identity,English and British only identity,Count,Persons,269
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,National identity,Welsh only identity,Count,Persons,1
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,National identity,Welsh and British only identity,Count,Persons,1
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,National identity,Scottish only identity,Count,Persons,8
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,National identity,Scottish and British only identity,Count,Persons,6
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish only identity,Count,Persons,5
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,1
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,National identity,Cornish only identity,Count,Persons,0
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,1
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,National identity,Irish only identity,Count,Persons,18
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,1
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,National identity,Other identity only,Count,Persons,41
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,25
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,National identity,Non-UK identity only,Count,Persons,59
E01006117,Trafford 002B,Lower-layer Super Output Area,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,26
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,National identity,British only identity,Count,Persons,891
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,National identity,English only identity,Count,Persons,280
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,National identity,English and British only identity,Count,Persons,189
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,National identity,Welsh only identity,Count,Persons,0
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,National identity,Welsh and British only identity,Count,Persons,3
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,National identity,Scottish only identity,Count,Persons,3
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,National identity,Scottish and British only identity,Count,Persons,3
E01006118,Trafford 002C,Lower-layer Super Output Area,2021-03-21,National identity,Northern Irish only identity,Count,Persons,4
