area_code,area_name,geography,period,indicator,national_identity,measure,unit,value
E05000827,Davyhulme West,Electoral ward,2021-03-21,National identity,Non-UK identity only,Count,Persons,283
E05000827,Davyhulme West,Electoral ward,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,123
E05000828,Flixton,Electoral ward,2021-03-21,National identity,British only identity,Count,Persons,6477
E05000828,Flixton,Electoral ward,2021-03-21,National identity,English only identity,Count,Persons,1969
E05000828,Flixton,Electoral ward,2021-03-21,National identity,English and British only identity,Count,Persons,1648
E05000828,Flixton,Electoral ward,2021-03-21,National identity,Welsh only identity,Count,Persons,27
E05000828,Flixton,Electoral ward,2021-03-21,National identity,Welsh and British only identity,Count,Persons,16
E05000828,Flixton,Electoral ward,2021-03-21,National identity,Scottish only identity,Count,Persons,48
E05000828,Flixton,Electoral ward,2021-03-21,National identity,Scottish and British only identity,Count,Persons,16
E05000828,Flixton,Electoral ward,2021-03-21,National identity,Northern Irish only identity,Count,Persons,27
E05000828,Flixton,Electoral ward,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,9
E05000828,Flixton,Electoral ward,2021-03-21,National identity,Cornish only identity,Count,Persons,1
E05000828,Flixton,Electoral ward,2021-03-21,National identity,Cornish and British only identity,Count,Persons,1
E05000828,Flixton,Electoral ward,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,19
E05000828,Flixton,Electoral ward,2021-03-21,National identity,Irish only identity,Count,Persons,114
E05000828,Flixton,Electoral ward,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,27
E05000828,Flixton,Electoral ward,2021-03-21,National identity,Other identity only,Count,Persons,261
E05000828,Flixton,Electoral ward,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,131
E05000828,Flixton,Electoral ward,2021-03-21,National identity,Non-UK identity only,Count,Persons,375
E05000828,Flixton,Electoral ward,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,158
E05000829,Gorse Hill,Electoral ward,2021-03-21,National identity,British only identity,Count,Persons,7522
E05000829,Gorse Hill,Electoral ward,2021-03-21,National identity,English only identity,Count,Persons,1536
E05000829,Gorse Hill,Electoral ward,2021-03-21,National identity,English and British only identity,Count,Persons,1398
E05000829,Gorse Hill,Electoral ward,2021-03-21,National identity,Welsh only identity,Count,Persons,22
E05000829,Gorse Hill,Electoral ward,2021-03-21,National identity,Welsh and British only identity,Count,Persons,13
E05000829,Gorse Hill,Electoral ward,2021-03-21,National identity,Scottish only identity,Count,Persons,65
E05000829,Gorse Hill,Electoral ward,2021-03-21,National identity,Scottish and British only identity,Count,Persons,19
E05000829,Gorse Hill,Electoral ward,2021-03-21,National identity,Northern Irish only identity,Count,Persons,39
E05000829,Gorse Hill,Electoral ward,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,13
E05000829,Gorse Hill,Electoral ward,2021-03-21,National identity,Cornish only identity,Count,Persons,1
E05000829,Gorse Hill,Electoral ward,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E05000829,Gorse Hill,Electoral ward,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,26
E05000829,Gorse Hill,Electoral ward,2021-03-21,National identity,Irish only identity,Count,Persons,204
E05000829,Gorse Hill,Electoral ward,2021-03-21,National identity,Irish and at least one UK identity,Count,Persons,35
E05000829,Gorse Hill,Electoral ward,2021-03-21,National identity,Other identity only,Count,Persons,1019
E05000829,Gorse Hill,Electoral ward,2021-03-21,National identity,Other identity and at least one UK identity,Count,Persons,268
E05000829,Gorse Hill,Electoral ward,2021-03-21,National identity,Non-UK identity only,Count,Persons,1223
E05000829,Gorse Hill,Electoral ward,2021-03-21,National identity,UK identity and non-UK identity,Count,Persons,303
E05000830,Hale Barns,Electoral ward,2021-03-21,National identity,British only identity,Count,Persons,6813
E05000830,Hale Barns,Electoral ward,2021-03-21,National identity,English only identity,Count,Persons,1120
E05000830,Hale Barns,Electoral ward,2021-03-21,National identity,English and British only identity,Count,Persons,1147
E05000830,Hale Barns,Electoral ward,2021-03-21,National identity,Welsh only identity,Count,Persons,26
E05000830,Hale Barns,Electoral ward,2021-03-21,National identity,Welsh and British only identity,Count,Persons,24
E05000830,Hale Barns,Electoral ward,2021-03-21,National identity,Scottish only identity,Count,Persons,46
E05000830,Hale Barns,Electoral ward,2021-03-21,National identity,Scottish and British only identity,Count,Persons,19
E05000830,Hale Barns,Electoral ward,2021-03-21,National identity,Northern Irish only identity,Count,Persons,32
E05000830,Hale Barns,Electoral ward,2021-03-21,National identity,Northern Irish and British only identity,Count,Persons,8
E05000830,Hale Barns,Electoral ward,2021-03-21,National identity,Cornish only identity,Count,Persons,0
E05000830,Hale Barns,Electoral ward,2021-03-21,National identity,Cornish and British only identity,Count,Persons,0
E05000830,Hale Barns,Electoral ward,2021-03-21,National identity,Any other combination of only UK identities,Count,Persons,13
E05000830,Hale Barns,Electoral ward,2021-03-21,National identity,Irish only identity,Count,Persons,124
