AREFNO,date,month,day,hour,mode,severity,light,sex,ageband,area_name,long,lat
201506A001966,2015-05-19,May,Tue,12,Car,Slight,Daylight,Female,25-29,Manchester,-2.241654,53.480188
201506A002046,2015-06-05,Jun,Fri,21,Powered 2 Wheeler,Serious,Dark,Male,55-59,Manchester,-2.256519,53.471618
201506A002129,2015-05-30,May,Sat,1,Pedestrian,Slight,Dark,Male,35-39,Manchester,-2.242976,53.474253
201506A002162,2015-06-06,Jun,Sat,10,Car,Slight,Daylight,Male,55-59,Manchester,-2.201175,53.523407
201506A002169,2015-06-02,Jun,Tue,17,Pedal Cycle,Slight,Daylight,Male,40-44,Manchester,-2.254289,53.476476
201506A002208,2015-05-25,May,Mon,16,Pedestrian,Slight,Daylight,Male,0-4,Manchester,-2.191872,53.467694
201506A002227,2015-06-02,Jun,Tue,15,Pedestrian,Slight,Daylight,Female,35-39,Manchester,-2.250088,53.479541
201506A002280,2015-06-11,Jun,Thu,11,Pedestrian,Serious,Daylight,Male,15-19,Manchester,-2.184321,53.463122
201506A002300,2015-06-12,Jun,Fri,7,Pedestrian,Slight,Daylight,Male,10-14,Manchester,-2.236971,53.47813
201506A002363,2015-06-15,Jun,Mon,17,Powered 2 Wheeler,Serious,Daylight,Male,45-49,Manchester,-2.231521,53.501061
201506A002379,2015-06-12,Jun,Fri,21,Pedestrian,Serious,Daylight,Female,30-34,Manchester,-2.164124,53.459466
201506A002389,2015-06-01,Jun,Mon,8,Pedal Cycle,Slight,Daylight,Male,25-29,Manchester,-2.248098,53.474242
201506A002397,2015-06-10,Jun,Wed,12,Pedal Cycle,Slight,Daylight,Female,20-24,Manchester,-2.179278,53.445962
201506A002416,2015-06-14,Jun,Sun,12,Pedestrian,Slight,Daylight,Male,0-4,Manchester,-2.189372,53.447384
201506A002446,2015-05-14,May,Thu,20,Pedal Cycle,Slight,Daylight,Male,15-19,Manchester,-2.162613,53.45821
201506A002470,2015-06-21,Jun,Sun,0,Car,Slight,Dark,Male,20-24,Manchester,-2.23867,53.512283
201506A002470,2015-06-21,Jun,Sun,0,Car,Slight,Dark,Male,15-19,Manchester,-2.23867,53.512283
201506A002470,2015-06-21,Jun,Sun,0,Car,Slight,Dark,Male,15-19,Manchester,-2.23867,53.512283
201506A002477,2015-06-13,Jun,Sat,11,Car,Slight,Daylight,Female,30-34,Manchester,-2.190788,53.494661
201506A002477,2015-06-13,Jun,Sat,11,Car,Slight,Daylight,Male,0-4,Manchester,-2.190788,53.494661
201506A002497,2015-06-11,Jun,Thu,14,Car,Slight,Daylight,Male,55-59,Manchester,-2.18113,53.456655
201506A002497,2015-06-11,Jun,Thu,14,Car,Slight,Daylight,Female,50-54,Manchester,-2.18113,53.456655
201506A002686,2015-06-24,Jun,Wed,9,Car,Slight,Daylight,Female,30-34,Manchester,-2.215807,53.49399
201506A002716,2015-06-21,Jun,Sun,18,Car,Slight,Daylight,Male,35-39,Manchester,-2.213193,53.513859
201506A002716,2015-06-21,Jun,Sun,18,Car,Slight,Daylight,Female,20-24,Manchester,-2.213193,53.513859
201506A002716,2015-06-21,Jun,Sun,18,Car,Serious,Daylight,Male,25-29,Manchester,-2.213193,53.513859
201506A002744,2015-06-25,Jun,Thu,12,Taxi,Serious,Daylight,Male,0-4,Manchester,-2.205481,53.509378
201506A002779,2015-06-26,Jun,Fri,19,Car,Slight,Daylight,Female,25-29,Manchester,-2.240557,53.499425
201506A002788,2015-06-25,Jun,Thu,20,Car,Slight,Daylight,Male,35-39,Manchester,-2.194949,53.481622
201506A002788,2015-06-25,Jun,Thu,20,Car,Slight,Daylight,Male,10-14,Manchester,-2.194949,53.481622
201506A002805,2015-06-06,Jun,Sat,2,Pedestrian,Serious,Dark,Male,25-29,Manchester,-2.227318,53.476261
201506A002864,2015-05-29,May,Fri,19,Car,Serious,Daylight,Male,55-59,Manchester,-2.231579,53.484073
201506A002871,2015-06-20,Jun,Sat,23,Pedal Cycle,Slight,Dark,Female,20-24,Manchester,-2.241484,53.476773
201506A002872,2015-06-08,Jun,Mon,15,Pedestrian,Slight,Daylight,Female,5-9,Manchester,-2.175267,53.459181
201506A002916,2015-06-19,Jun,Fri,15,Car,Slight,Daylight,Female,25-29,Manchester,-2.248136,53.480714
201506A002932,2015-06-07,Jun,Sun,21,Powered 2 Wheeler,Slight,Dark,Male,50-54,Manchester,-2.183715,53.462404
201506A002987,2015-06-17,Jun,Wed,13,Pedestrian,Slight,Daylight,Female,20-24,Manchester,-2.233974,53.481012
201506A003072,2015-07-04,Jul,Sat,23,Pedestrian,Slight,Dark,Male,35-39,Manchester,-2.251716,53.474504
201506A003073,2015-06-30,Jun,Tue,8,Pedal Cycle,Slight,Daylight,Female,10-14,Manchester,-2.1695,53.523546
201506A003077,2015-07-03,Jul,Fri,18,Pedestrian,Slight,Daylight,Female,5-9,Manchester,-2.171649,53.458377
201506A003084,2015-07-01,Jul,Wed,21,Pedestrian,Slight,Daylight,Male,50-54,Manchester,-2.243357,53.51452
201506A003091,2015-07-01,Jul,Wed,15,Pedestrian,Slight,Daylight,Female,15-19,Manchester,-2.21409,53.512329
201506A003094,2015-07-06,Jul,Mon,21,Car,Slight,Dark,Female,5-9,Manchester,-2.164145,53.465039
201506A003094,2015-07-06,Jul,Mon,21,Car,Slight,Dark,Female,25-29,Manchester,-2.164145,53.465039
201506A003129,2015-07-03,Jul,Fri,13,Car,Slight,Daylight,Male,35-39,Manchester,-2.179347,53.462321
201506A003163,2015-06-28,Jun,Sun,14,Car,Slight,Daylight,Male,15-19,Manchester,-2.183348,53.481999
201506A003163,2015-06-28,Jun,Sun,14,Car,Slight,Daylight,Male,15-19,Manchester,-2.183348,53.481999
201506A003218,2015-07-05,Jul,Sun,21,Car,Slight,Dark,Male,40-44,Manchester,-2.213642,53.483207
201506A003265,2015-07-01,Jul,Wed,16,Car,Slight,Daylight,Male,55-59,Manchester,-2.19152,53.523154
201506A003353,2015-07-08,Jul,Wed,13,Car,Slight,Daylight,Male,30-34,Manchester,-2.20211,53.529877
201506A003353,2015-07-08,Jul,Wed,13,Car,Serious,Daylight,Female,15-19,Manchester,-2.20211,53.529877
201506A003367,2015-07-04,Jul,Sat,2,Car,Slight,Dark,Male,20-24,Manchester,-2.244369,53.533034
201506A003367,2015-07-04,Jul,Sat,2,Car,Slight,Dark,Male,15-19,Manchester,-2.244369,53.533034
201506A003368,2015-07-06,Jul,Mon,17,Powered 2 Wheeler,Serious,Daylight,Male,20-24,Manchester,-2.253812,53.4976
201506A003374,2015-07-06,Jul,Mon,7,Pedal Cycle,Serious,Daylight,Male,30-34,Manchester,-2.160107,53.472775
201506A003465,2015-07-10,Jul,Fri,17,Pedal Cycle,Slight,Daylight,Male,25-29,Manchester,-2.213941,53.512689
201506A003468,2015-07-04,Jul,Sat,23,Pedestrian,Slight,Dark,Male,20-24,Manchester,-2.235617,53.478492
201506A003468,2015-07-04,Jul,Sat,23,Pedestrian,Slight,Dark,Male,40-44,Manchester,-2.235617,53.478492
201506A003470,2015-07-14,Jul,Tue,15,Pedal Cycle,Serious,Daylight,Male,55-59,Manchester,-2.171257,53.473029
201506A003486,2015-07-12,Jul,Sun,16,Pedestrian,Serious,Daylight,Male,45-49,Manchester,-2.172541,53.4555
201506A003500,2015-07-09,Jul,Thu,15,Pedal Cycle,Serious,Daylight,Female,10-14,Manchester,-2.210913,53.510088
201506A003505,2015-07-06,Jul,Mon,9,Car,Slight,Daylight,Male,25-29,Manchester,-2.181381,53.44479
201506A003522,2015-07-10,Jul,Fri,22,Pedestrian,Slight,Dark,Female,20-24,Manchester,-2.247065,53.47793
201506A003582,2015-07-14,Jul,Tue,8,Pedal Cycle,Slight,Daylight,Male,35-39,Manchester,-2.249283,53.496351
201506A003610,2015-07-16,Jul,Thu,8,Pedal Cycle,Slight,Daylight,Male,35-39,Manchester,-2.227317,53.476081
201506A003617,2015-07-11,Jul,Sat,20,Pedal Cycle,Slight,Daylight,Female,30-34,Manchester,-2.246764,53.47793
201506A003623,2015-07-15,Jul,Wed,10,Pedestrian,Slight,Daylight,Female,40-44,Manchester,-2.241503,53.480188
201506A003689,2015-07-15,Jul,Wed,6,Car,Slight,Daylight,Female,50-54,Manchester,-2.219016,53.502523
201506A003723,2015-07-12,Jul,Sun,0,Car,Slight,Dark,Male,20-24,Manchester,-2.238637,53.50653
201506A003723,2015-07-12,Jul,Sun,0,Car,Slight,Dark,Male,25-29,Manchester,-2.238637,53.50653
201506A003737,2015-07-07,Jul,Tue,16,Pedal Cycle,Serious,Daylight,Male,35-39,Manchester,-2.248098,53.474152
201506A003851,2015-07-23,Jul,Thu,21,Car,Slight,Dark,Female,30-34,Manchester,-2.234009,53.487394
201506A003867,2015-07-26,Jul,Sun,1,Car,Slight,Dark,Male,20-24,Manchester,-2.181119,53.453959
201506A003946,2015-07-22,Jul,Wed,19,Car,Slight,Daylight,Male,20-24,Manchester,-2.215679,53.468912
201506A003946,2015-07-22,Jul,Wed,19,Pedestrian,Serious,Daylight,Male,25-29,Manchester,-2.215679,53.468912
201506A003946,2015-07-22,Jul,Wed,19,Car,Slight,Daylight,Male,35-39,Manchester,-2.215679,53.468912
201506A004006,2015-07-11,Jul,Sat,20,Pedal Cycle,Slight,Daylight,Female,20-24,Manchester,-2.232773,53.482003
201506A004006,2015-07-11,Jul,Sat,20,Pedestrian,Slight,Daylight,Male,45-49,Manchester,-2.232773,53.482003
201506A004043,2015-07-26,Jul,Sun,2,Powered 2 Wheeler,Slight,Dark,Male,45-49,Manchester,-2.237878,53.478667
201506A004064,2015-07-23,Jul,Thu,18,Pedal Cycle,Slight,Daylight,Male,45-49,Manchester,-2.193382,53.501489
