lsoa11cd,lsoa11nm,measure,value,all_households
E01006008,Tameside 017A,Social rented,64,615
E01006010,Tameside 017B,Social rented,264,671
E01006012,Tameside 017C,Social rented,101,777
E01006015,Tameside 017D,Social rented,32,531
E01006016,Tameside 017E,Social rented,509,979
E01006011,Tameside 018A,Social rented,330,682
E01006013,Tameside 018B,Social rented,72,548
E01006014,Tameside 018C,Social rented,142,478
E01006019,Tameside 018D,Social rented,430,803
E01006020,Tameside 018E,Social rented,154,607
E01005963,Tameside 019A,Social rented,34,509
E01005964,Tameside 019B,Social rented,42,660
E01005965,Tameside 019C,Social rented,289,662
E01005966,Tameside 019D,Social rented,97,539
E01005967,Tameside 019E,Social rented,373,694
E01006031,Tameside 020A,Social rented,306,661
E01006032,Tameside 020B,Social rented,193,547
E01006033,Tameside 020C,Social rented,168,635
E01006034,Tameside 020D,Social rented,298,931
E01006035,Tameside 020E,Social rented,272,954
E01006036,Tameside 020F,Social rented,236,819
E01005970,Tameside 021A,Social rented,8,652
E01005972,Tameside 021B,Social rented,138,737
E01005974,Tameside 021C,Social rented,78,742
E01005975,Tameside 021D,Social rented,125,680
E01006024,Tameside 022A,Social rented,5,675
E01006026,Tameside 022B,Social rented,119,744
E01006037,Tameside 022C,Social rented,5,605
E01006038,Tameside 022D,Social rented,55,655
E01006047,Tameside 023A,Social rented,75,572
E01006048,Tameside 023B,Social rented,56,729
E01006049,Tameside 023C,Social rented,84,714
E01006051,Tameside 023D,Social rented,90,735
E01005985,Tameside 024A,Social rented,28,709
E01005987,Tameside 024B,Social rented,4,711
E01005988,Tameside 024C,Social rented,4,636
E01005990,Tameside 024D,Social rented,31,620
E01005991,Tameside 024E,Social rented,54,617
E01005971,Tameside 025A,Social rented,55,632
E01005986,Tameside 025B,Social rented,85,531
E01005989,Tameside 025C,Social rented,8,512
E01005992,Tameside 025D,Social rented,101,592
E01005973,Tameside 026A,Social rented,28,597
E01005976,Tameside 026B,Social rented,241,624
E01005977,Tameside 026C,Social rented,50,658
E01005978,Tameside 026D,Social rented,242,605
E01006025,Tameside 027A,Social rented,333,593
E01006027,Tameside 027B,Social rented,344,621
E01006050,Tameside 027C,Social rented,513,797
E01006052,Tameside 027D,Social rented,327,661
E01006028,Tameside 028A,Social rented,401,883
E01006029,Tameside 028B,Social rented,127,718
E01006030,Tameside 028C,Social rented,245,748
E01006039,Tameside 028D,Social rented,76,440
E01006040,Tameside 028E,Social rented,97,564
E01006041,Tameside 028F,Social rented,40,662
E01005979,Tameside 029A,Social rented,199,777
E01005980,Tameside 029B,Social rented,229,641
E01005981,Tameside 029C,Social rented,375,791
E01005982,Tameside 029D,Social rented,195,583
E01005983,Tameside 029E,Social rented,22,707
E01005984,Tameside 029F,Social rented,462,773
E01006042,Tameside 030A,Social rented,43,770
E01006043,Tameside 030B,Social rented,66,606
E01006044,Tameside 030C,Social rented,83,612
E01006045,Tameside 030D,Social rented,3,542
E01006046,Tameside 030E,Social rented,8,618
E01006109,Trafford 001A,Social rented,618,781
E01006110,Trafford 001B,Social rented,140,671
E01006111,Trafford 001C,Social rented,290,568
E01006112,Trafford 001D,Social rented,240,561
E01006185,Trafford 001E,Social rented,426,1015
E01006188,Trafford 001F,Social rented,96,566
E01006116,Trafford 002A,Social rented,9,536
E01006117,Trafford 002B,Social rented,35,637
E01006118,Trafford 002C,Social rented,175,608
E01006119,Trafford 002D,Social rented,30,636
E01006121,Trafford 002E,Social rented,35,614
E01006141,Trafford 003A,Social rented,117,585
E01006186,Trafford 003B,Social rented,156,792
E01006187,Trafford 003C,Social rented,206,1156
E01006189,Trafford 003D,Social rented,163,918
E01006113,Trafford 004A,Social rented,17,468
E01006114,Trafford 004B,Social rented,178,574
E01006115,Trafford 004C,Social rented,165,632
E01006145,Trafford 004D,Social rented,271,677
E01006146,Trafford 004E,Social rented,37,658
E01006122,Trafford 005A,Social rented,21,672
E01006123,Trafford 005B,Social rented,31,659
E01006124,Trafford 005C,Social rented,9,596
E01006128,Trafford 005D,Social rented,36,720
E01006131,Trafford 005E,Social rented,44,646
E01006155,Trafford 006A,Social rented,36,676
E01006157,Trafford 006B,Social rented,81,609
E01006159,Trafford 006C,Social rented,269,715
E01006182,Trafford 006D,Social rented,18,598
E01006183,Trafford 006E,Social rented,39,632
E01006125,Trafford 007A,Social rented,78,602
E01006126,Trafford 007B,Social rented,274,711
E01006127,Trafford 007C,Social rented,41,631
E01006130,Trafford 007D,Social rented,75,752
E01006132,Trafford 007E,Social rented,117,673
E01006156,Trafford 008A,Social rented,174,676
E01006158,Trafford 008B,Social rented,301,772
E01006179,Trafford 008C,Social rented,320,854
E01006184,Trafford 008D,Social rented,217,731
E01006198,Trafford 009A,Social rented,131,667
E01006199,Trafford 009B,Social rented,179,742
E01006200,Trafford 009C,Social rented,203,671
E01006201,Trafford 009D,Social rented,87,657
E01006202,Trafford 009E,Social rented,83,626
E01006120,Trafford 010A,Social rented,2,560
E01006129,Trafford 010B,Social rented,175,632
E01006133,Trafford 010C,Social rented,5,664
E01006197,Trafford 010D,Social rented,26,600
E01006203,Trafford 010E,Social rented,5,516
E01006142,Trafford 011A,Social rented,166,751
E01006143,Trafford 011B,Social rented,70,709
E01006144,Trafford 011C,Social rented,353,718
E01006180,Trafford 011D,Social rented,86,794
E01006181,Trafford 011E,Social rented,134,656
E01006147,Trafford 012A,Social rented,3,542
E01006149,Trafford 012B,Social rented,108,659
E01006150,Trafford 012C,Social rented,55,709
E01006154,Trafford 012D,Social rented,23,634
E01006165,Trafford 012E,Social rented,81,874
E01006166,Trafford 013A,Social rented,189,705
E01006169,Trafford 013B,Social rented,42,683
E01006170,Trafford 013C,Social rented,113,687
E01006171,Trafford 013D,Social rented,329,799
E01006098,Trafford 014A,Social rented,1,515
E01006099,Trafford 014B,Social rented,21,558
E01006164,Trafford 014C,Social rented,74,727
E01006174,Trafford 014D,Social rented,41,815
E01006178,Trafford 014E,Social rented,52,781
E01006097,Trafford 015A,Social rented,38,852
E01006160,Trafford 015B,Social rented,239,963
E01006161,Trafford 015C,Social rented,28,900
E01006162,Trafford 015D,Social rented,3,701
E01006163,Trafford 015E,Social rented,8,826
E01006148,Trafford 016A,Social rented,25,690
E01006151,Trafford 016B,Social rented,10,562
E01006152,Trafford 016C,Social rented,2,621
E01006153,Trafford 016D,Social rented,31,637
E01006172,Trafford 016E,Social rented,86,678
E01006104,Trafford 017A,Social rented,94,747
E01006105,Trafford 017B,Social rented,474,777
E01006106,Trafford 017C,Social rented,162,617
E01006107,Trafford 017D,Social rented,249,723
E01006108,Trafford 017E,Social rented,498,680
E01006102,Trafford 018A,Social rented,99,574
E01006173,Trafford 018B,Social rented,17,606
E01006175,Trafford 018C,Social rented,388,749
E01006176,Trafford 018D,Social rented,94,757
E01006177,Trafford 018E,Social rented,275,613
E01006091,Trafford 019A,Social rented,109,980
E01006092,Trafford 019B,Social rented,279,515
E01006095,Trafford 019C,Social rented,8,682
E01006167,Trafford 019D,Social rented,540,772
E01006168,Trafford 019E,Social rented,565,837
E01006090,Trafford 020A,Social rented,120,906
E01006094,Trafford 020B,Social rented,5,593
E01006096,Trafford 020C,Social rented,3,559
E01006100,Trafford 020D,Social rented,64,611
E01006103,Trafford 020E,Social rented,2,602
E01006101,Trafford 021A,Social rented,0,557
E01006190,Trafford 021B,Social rented,4,647
E01006195,Trafford 021C,Social rented,6,658
E01006196,Trafford 021D,Social rented,5,692
E01006210,Trafford 021E,Social rented,91,675
E01006204,Trafford 022A,Social rented,77,692
E01006206,Trafford 022B,Social rented,206,776
E01006207,Trafford 022C,Social rented,467,795
E01006208,Trafford 022D,Social rented,189,653
E01006211,Trafford 022E,Social rented,188,642
E01006093,Trafford 023A,Social rented,11,608
E01006191,Trafford 023B,Social rented,12,645
E01006192,Trafford 023C,Social rented,15,632
E01006205,Trafford 023D,Social rented,27,563
E01006209,Trafford 023E,Social rented,19,630
E01006078,Trafford 024A,Social rented,92,856
E01006080,Trafford 024B,Social rented,45,788
E01006089,Trafford 024C,Social rented,51,632
E01006193,Trafford 024D,Social rented,12,624
E01006194,Trafford 024E,Social rented,108,983
E01006074,Trafford 025A,Social rented,199,619
E01006075,Trafford 025B,Social rented,38,887
E01006076,Trafford 025C,Social rented,40,779
E01006079,Trafford 025D,Social rented,35,879
E01006087,Trafford 025E,Social rented,71,584
E01006083,Trafford 026A,Social rented,3,488
E01006084,Trafford 026B,Social rented,5,641
E01006088,Trafford 026C,Social rented,28,654
E01006139,Trafford 026D,Social rented,3,709
E01006140,Trafford 026E,Social rented,49,639
E01006077,Trafford 027A,Social rented,119,776
E01006081,Trafford 027B,Social rented,0,503
E01006082,Trafford 027C,Social rented,3,675
E01006085,Trafford 027D,Social rented,15,622
E01006086,Trafford 027E,Social rented,131,675
E01006134,Trafford 028A,Social rented,1,528
E01006135,Trafford 028B,Social rented,23,619
E01006136,Trafford 028C,Social rented,2,614
E01006137,Trafford 028D,Social rented,3,492
E01006138,Trafford 028E,Social rented,155,794
E01006315,Wigan 001A,Social rented,4,518
E01006316,Wigan 001B,Social rented,18,618
E01006317,Wigan 001C,Social rented,107,662
E01006319,Wigan 001D,Social rented,23,523
E01006229,Wigan 002A,Social rented,8,669
E01006230,Wigan 002B,Social rented,48,584
E01006233,Wigan 002C,Social rented,4,555
E01006237,Wigan 002D,Social rented,29,603
E01006238,Wigan 002E,Social rented,282,762
E01006259,Wigan 003A,Social rented,55,542
E01006312,Wigan 003B,Social rented,9,618
E01006313,Wigan 003C,Social rented,177,458
E01006314,Wigan 003D,Social rented,8,740
E01006318,Wigan 003E,Social rented,8,627
E01006320,Wigan 003F,Social rented,3,560
E01006321,Wigan 003G,Social rented,12,703
E01006231,Wigan 004A,Social rented,34,620
E01006232,Wigan 004B,Social rented,13,761
E01006234,Wigan 004C,Social rented,87,536
E01006235,Wigan 004D,Social rented,317,698
E01006253,Wigan 005A,Social rented,189,666
E01006254,Wigan 005B,Social rented,373,634
E01006255,Wigan 005C,Social rented,14,655
E01006256,Wigan 005D,Social rented,40,606
E01006260,Wigan 005E,Social rented,258,638
E01006370,Wigan 006A,Social rented,75,834
E01006372,Wigan 006B,Social rented,2,660
E01006373,Wigan 006C,Social rented,7,642
E01006374,Wigan 006D,Social rented,10,693
E01006390,Wigan 006E,Social rented,117,699
E01006236,Wigan 007A,Social rented,15,660
E01006388,Wigan 007B,Social rented,228,744
E01006389,Wigan 007C,Social rented,76,512
E01006391,Wigan 007D,Social rented,34,667
E01006257,Wigan 008A,Social rented,5,532
E01006258,Wigan 008B,Social rented,52,715
E01006369,Wigan 008C,Social rented,241,910
E01006371,Wigan 008D,Social rented,7,661
E01006375,Wigan 008E,Social rented,17,674
E01006306,Wigan 009A,Social rented,448,861
E01006307,Wigan 009B,Social rented,233,635
E01006386,Wigan 009C,Social rented,756,984
E01006387,Wigan 009D,Social rented,60,539
E01006392,Wigan 009E,Social rented,321,622
E01006350,Wigan 010A,Social rented,445,742
E01006351,Wigan 010B,Social rented,630,930
E01006357,Wigan 010C,Social rented,443,654
E01006360,Wigan 010D,Social rented,498,729
E01006361,Wigan 010E,Social rented,382,690
E01006356,Wigan 011A,Social rented,263,608
E01006396,Wigan 011B,Social rented,12,566
E01006397,Wigan 011C,Social rented,242,576
E01006398,Wigan 011D,Social rented,148,507
E01006399,Wigan 011E,Social rented,110,701
E01006305,Wigan 012A,Social rented,409,707
E01006308,Wigan 012B,Social rented,188,684
E01006309,Wigan 012C,Social rented,194,633
E01006310,Wigan 012D,Social rented,245,698
E01006311,Wigan 012E,Social rented,228,650
E01006269,Wigan 013A,Social rented,146,735
E01006271,Wigan 013B,Social rented,41,742
E01006272,Wigan 013C,Social rented,64,701
E01006273,Wigan 013D,Social rented,177,662
E01006276,Wigan 013E,Social rented,22,868
E01006353,Wigan 014A,Social rented,40,656
E01006354,Wigan 014B,Social rented,199,648
E01006355,Wigan 014C,Social rented,20,694
E01006358,Wigan 014D,Social rented,182,805
E01006359,Wigan 014E,Social rented,146,610
E01006349,Wigan 015A,Social rented,100,886
E01006352,Wigan 015B,Social rented,105,754
E01006404,Wigan 015C,Social rented,183,703
E01006405,Wigan 015D,Social rented,194,646
E01006411,Wigan 015E,Social rented,551,834
E01006270,Wigan 016A,Social rented,302,664
E01006274,Wigan 016B,Social rented,248,663
E01006275,Wigan 016C,Social rented,338,654
E01006277,Wigan 016D,Social rented,14,628
E01006286,Wigan 016E,Social rented,60,642
E01006239,Wigan 017A,Social rented,575,1008
E01006240,Wigan 017B,Social rented,389,629
E01006241,Wigan 017C,Social rented,275,762
E01006287,Wigan 017D,Social rented,9,478
E01006289,Wigan 017E,Social rented,486,863
E01006362,Wigan 018A,Social rented,11,748
E01006363,Wigan 018B,Social rented,7,725
E01006364,Wigan 018C,Social rented,211,814
E01006365,Wigan 018D,Social rented,21,820
E01006366,Wigan 018E,Social rented,188,798
E01006367,Wigan 018F,Social rented,20,699
E01006368,Wigan 018G,Social rented,51,716
E01006278,Wigan 019A,Social rented,59,697
E01006279,Wigan 019B,Social rented,6,613
E01006280,Wigan 019C,Social rented,95,627
E01006281,Wigan 019D,Social rented,4,725
E01006285,Wigan 019E,Social rented,4,714
E01006406,Wigan 020A,Social rented,31,626
E01006407,Wigan 020B,Social rented,8,591
E01006408,Wigan 020C,Social rented,213,644
E01006409,Wigan 020D,Social rented,6,590
E01006410,Wigan 020E,Social rented,16,538
E01006393,Wigan 021A,Social rented,2,605
E01006394,Wigan 021B,Social rented,2,648
E01006395,Wigan 021C,Social rented,3,859
E01006400,Wigan 021D,Social rented,2,504
E01006401,Wigan 021E,Social rented,3,565
E01006402,Wigan 021F,Social rented,4,471
E01006403,Wigan 021G,Social rented,2,682
E01006290,Wigan 022A,Social rented,7,619
E01006291,Wigan 022B,Social rented,128,676
E01006292,Wigan 022C,Social rented,30,648
E01006293,Wigan 022D,Social rented,211,729
E01006242,Wigan 023A,Social rented,65,760
E01006243,Wigan 023B,Social rented,18,876
E01006244,Wigan 023C,Social rented,155,848
E01006245,Wigan 023D,Social rented,123,1081
E01006213,Wigan 024A,Social rented,244,710
E01006215,Wigan 024B,Social rented,284,735
E01006217,Wigan 024C,Social rented,233,934
E01006218,Wigan 024D,Social rented,123,864
E01006219,Wigan 024E,Social rented,9,523
E01006288,Wigan 025A,Social rented,396,736
E01006294,Wigan 025B,Social rented,60,909
E01006295,Wigan 025C,Social rented,183,803
E01006377,Wigan 025D,Social rented,13,667
E01006378,Wigan 025E,Social rented,8,591
E01006212,Wigan 026A,Social rented,53,570
E01006214,Wigan 026B,Social rented,90,596
E01006216,Wigan 026C,Social rented,82,883
E01006322,Wigan 026D,Social rented,140,677
E01006329,Wigan 026E,Social rented,116,476
E01006282,Wigan 027A,Social rented,150,686
E01006283,Wigan 027B,Social rented,246,682
E01006284,Wigan 027C,Social rented,197,649
E01006336,Wigan 027D,Social rented,490,734
E01006337,Wigan 027E,Social rented,115,658
E01006376,Wigan 028A,Social rented,293,694
E01006381,Wigan 028B,Social rented,24,709
E01006382,Wigan 028C,Social rented,6,517
E01006383,Wigan 028D,Social rented,78,636
E01006384,Wigan 028E,Social rented,8,601
E01006250,Wigan 029A,Social rented,4,676
E01006251,Wigan 029B,Social rented,8,604
E01006379,Wigan 029C,Social rented,18,689
E01006380,Wigan 029D,Social rented,327,746
E01006385,Wigan 029E,Social rented,10,611
E01006328,Wigan 030A,Social rented,54,680
E01006333,Wigan 030B,Social rented,81,843
E01006334,Wigan 030C,Social rented,41,837
E01006338,Wigan 030D,Social rented,100,735
E01006248,Wigan 031A,Social rented,565,796
E01006249,Wigan 031B,Social rented,257,642
E01006330,Wigan 031C,Social rented,23,668
E01006331,Wigan 031D,Social rented,21,640
E01006332,Wigan 031E,Social rented,75,856
E01006262,Wigan 032A,Social rented,266,623
E01006263,Wigan 032B,Social rented,8,641
E01006266,Wigan 032C,Social rented,10,626
E01006267,Wigan 032D,Social rented,453,790
E01006268,Wigan 032E,Social rented,94,717
E01006323,Wigan 033A,Social rented,90,638
E01006324,Wigan 033B,Social rented,155,614
E01006325,Wigan 033C,Social rented,53,628
E01006326,Wigan 033D,Social rented,64,659
E01006327,Wigan 033E,Social rented,339,620
E01006246,Wigan 034A,Social rented,200,732
E01006247,Wigan 034B,Social rented,40,555
E01006252,Wigan 034C,Social rented,20,639
E01006297,Wigan 034D,Social rented,326,772
E01006335,Wigan 034E,Social rented,79,777
E01006220,Wigan 035A,Social rented,259,768
E01006221,Wigan 035B,Social rented,10,695
E01006222,Wigan 035C,Social rented,9,644
E01006224,Wigan 035D,Social rented,2,518
E01006226,Wigan 035E,Social rented,37,750
E01006223,Wigan 036A,Social rented,16,717
E01006225,Wigan 036B,Social rented,42,645
E01006261,Wigan 036C,Social rented,126,655
E01006264,Wigan 036D,Social rented,6,523
E01006265,Wigan 036E,Social rented,35,619
E01006296,Wigan 037A,Social rented,321,710
E01006298,Wigan 037B,Social rented,278,677
E01006299,Wigan 037C,Social rented,25,827
E01006300,Wigan 037D,Social rented,33,610
E01006301,Wigan 037E,Social rented,15,532
E01006227,Wigan 038A,Social rented,49,621
E01006228,Wigan 038B,Social rented,55,730
E01006342,Wigan 038C,Social rented,229,686
E01006344,Wigan 038D,Social rented,261,596
E01006346,Wigan 038E,Social rented,129,974
E01006339,Wigan 039A,Social rented,19,595
E01006340,Wigan 039B,Social rented,182,645
E01006343,Wigan 039C,Social rented,11,649
E01006345,Wigan 039D,Social rented,25,672
E01006348,Wigan 039E,Social rented,5,680
E01006302,Wigan 040A,Social rented,29,658
E01006303,Wigan 040B,Social rented,7,601
E01006304,Wigan 040C,Social rented,89,632
E01006341,Wigan 040D,Social rented,239,755
E01006347,Wigan 040E,Social rented,5,642
