lsoa11cd,lsoa11nm,measure,value,all_households
E01005035,Bury 025C,Social rented,60,626
E01005038,Bury 025D,Social rented,6,531
E01005040,Bury 026A,Social rented,59,696
E01005041,Bury 026B,Social rented,3,519
E01005042,Bury 026C,Social rented,57,608
E01005043,Bury 026D,Social rented,3,496
E01005044,Bury 026E,Social rented,32,471
E01005098,Manchester 001A,Social rented,474,777
E01005099,Manchester 001B,Social rented,502,726
E01005100,Manchester 001C,Social rented,213,658
E01005102,Manchester 001D,Social rented,47,626
E01005103,Manchester 001E,Social rented,389,835
E01005101,Manchester 002A,Social rented,298,723
E01005135,Manchester 002B,Social rented,312,624
E01005136,Manchester 002C,Social rented,151,637
E01005138,Manchester 002D,Social rented,589,787
E01005140,Manchester 002E,Social rented,208,1185
E01005139,Manchester 003B,Social rented,151,714
E01005141,Manchester 003C,Social rented,543,805
E01005251,Manchester 003D,Social rented,265,633
E01005252,Manchester 003E,Social rented,331,763
E01033685,Manchester 003F,Social rented,119,652
E01033687,Manchester 003G,Social rented,459,802
E01005104,Manchester 004A,Social rented,379,842
E01005160,Manchester 004B,Social rented,84,721
E01005161,Manchester 004C,Social rented,11,657
E01005162,Manchester 004D,Social rented,124,679
E01005163,Manchester 004E,Social rented,41,661
E01005247,Manchester 005A,Social rented,54,627
E01005248,Manchester 005B,Social rented,25,573
E01005249,Manchester 005C,Social rented,208,777
E01005250,Manchester 005D,Social rented,286,750
E01005253,Manchester 005E,Social rented,283,639
E01005254,Manchester 005F,Social rented,53,683
E01005164,Manchester 006A,Social rented,226,694
E01005205,Manchester 006B,Social rented,516,937
E01005206,Manchester 006C,Social rented,95,747
E01005207,Manchester 006D,Social rented,52,817
E01005223,Manchester 007A,Social rented,123,549
E01005224,Manchester 007B,Social rented,83,715
E01005225,Manchester 007C,Social rented,253,837
E01005226,Manchester 007D,Social rented,34,683
E01005229,Manchester 007E,Social rented,17,609
E01005145,Manchester 008A,Social rented,80,801
E01005146,Manchester 008B,Social rented,81,852
E01005149,Manchester 008C,Social rented,37,474
E01005165,Manchester 008D,Social rented,340,976
E01005166,Manchester 008E,Social rented,126,716
E01005167,Manchester 008F,Social rented,140,565
E01005202,Manchester 009A,Social rented,432,783
E01005203,Manchester 009B,Social rented,671,927
E01005227,Manchester 009D,Social rented,186,698
E01005228,Manchester 009E,Social rented,545,755
E01033678,Manchester 009F,Social rented,445,688
E01033679,Manchester 009G,Social rented,484,643
E01005256,Manchester 011A,Social rented,409,854
E01005257,Manchester 011B,Social rented,485,820
E01005258,Manchester 011C,Social rented,205,781
E01005259,Manchester 011D,Social rented,352,782
E01005260,Manchester 011E,Social rented,37,592
E01005093,Manchester 012A,Social rented,317,678
E01005094,Manchester 012B,Social rented,291,660
E01005097,Manchester 012C,Social rented,446,650
E01005255,Manchester 012D,Social rented,582,824
E01005261,Manchester 012E,Social rented,410,651
E01005129,Manchester 013B,Social rented,492,709
E01005132,Manchester 013C,Social rented,408,661
E01005133,Manchester 013D,Social rented,341,596
E01033663,Manchester 013E,Social rented,144,712
E01033684,Manchester 013F,Social rented,12,649
E01033688,Manchester 013G,Social rented,449,691
E01005092,Manchester 015A,Social rented,288,720
E01005105,Manchester 015C,Social rented,338,809
E01005106,Manchester 015D,Social rented,378,825
E01005107,Manchester 015E,Social rented,467,740
E01033668,Manchester 015F,Social rented,143,598
E01033669,Manchester 015G,Social rented,375,677
E01005108,Manchester 017A,Social rented,611,1053
E01005189,Manchester 017D,Social rented,495,826
E01005190,Manchester 017E,Social rented,223,881
E01033666,Manchester 017F,Social rented,279,1103
E01005061,Manchester 018A,Social rented,629,743
E01005062,Manchester 018B,Social rented,342,772
E01005063,Manchester 018C,Social rented,414,614
E01005065,Manchester 018D,Social rented,599,916
E01005066,Manchester 018E,Social rented,340,501
E01005208,Manchester 019A,Social rented,355,1110
E01005209,Manchester 019B,Social rented,458,868
E01005210,Manchester 019C,Social rented,367,638
E01005214,Manchester 019D,Social rented,190,1013
E01005067,Manchester 020A,Social rented,401,587
E01005186,Manchester 020B,Social rented,346,945
E01005232,Manchester 020C,Social rented,218,713
E01005235,Manchester 020D,Social rented,387,719
E01005239,Manchester 020E,Social rented,455,660
E01005187,Manchester 021A,Social rented,143,787
E01005188,Manchester 021B,Social rented,58,703
E01005191,Manchester 021C,Social rented,243,800
E01005192,Manchester 021D,Social rented,78,679
E01005193,Manchester 021E,Social rented,108,818
E01005230,Manchester 022B,Social rented,257,819
E01005231,Manchester 022C,Social rented,54,633
E01005236,Manchester 022D,Social rented,199,702
E01005237,Manchester 022E,Social rented,81,533
E01033652,Manchester 022F,Social rented,136,411
E01033657,Manchester 022G,Social rented,158,435
E01005195,Manchester 023A,Social rented,483,735
E01005196,Manchester 023B,Social rented,502,894
E01005197,Manchester 023C,Social rented,263,697
E01005198,Manchester 023D,Social rented,403,649
E01005201,Manchester 023E,Social rented,216,816
E01005240,Manchester 024A,Social rented,415,1003
E01005243,Manchester 024B,Social rented,694,1084
E01005245,Manchester 024C,Social rented,625,871
E01005246,Manchester 024D,Social rented,446,738
E01005241,Manchester 025A,Social rented,208,1009
E01005242,Manchester 025B,Social rented,454,1008
E01005244,Manchester 025C,Social rented,248,926
E01005285,Manchester 025D,Social rented,225,476
E01005288,Manchester 025E,Social rented,156,640
E01005280,Manchester 026A,Social rented,198,528
E01005281,Manchester 026B,Social rented,128,542
E01005284,Manchester 026C,Social rented,109,834
E01005286,Manchester 026D,Social rented,74,738
E01005287,Manchester 026E,Social rented,279,652
E01005194,Manchester 027A,Social rented,171,940
E01005199,Manchester 027B,Social rented,85,895
E01005200,Manchester 027C,Social rented,195,764
E01005233,Manchester 027D,Social rented,237,770
E01005234,Manchester 027E,Social rented,194,633
E01005238,Manchester 027F,Social rented,89,564
E01005297,Manchester 028A,Social rented,152,916
E01005298,Manchester 028B,Social rented,63,641
E01005302,Manchester 028C,Social rented,190,930
E01033680,Manchester 028E,Social rented,139,646
E01033686,Manchester 028F,Social rented,184,608
E01005150,Manchester 029A,Social rented,121,930
E01005151,Manchester 029B,Social rented,168,717
E01005152,Manchester 029C,Social rented,14,600
E01005159,Manchester 029D,Social rented,28,621
E01005296,Manchester 029E,Social rented,54,614
E01005299,Manchester 029F,Social rented,21,533
E01005178,Manchester 030A,Social rented,258,742
E01005179,Manchester 030B,Social rented,134,953
E01005180,Manchester 030C,Social rented,422,782
E01005181,Manchester 030D,Social rented,84,683
E01005182,Manchester 030E,Social rented,245,469
E01005183,Manchester 030F,Social rented,362,670
E01005219,Manchester 031A,Social rented,126,916
E01005220,Manchester 031B,Social rented,69,728
E01005221,Manchester 031C,Social rented,59,779
E01005222,Manchester 031D,Social rented,212,897
E01005184,Manchester 032A,Social rented,93,779
E01005185,Manchester 032B,Social rented,54,534
E01005271,Manchester 032C,Social rented,83,694
E01005282,Manchester 032D,Social rented,69,550
E01005283,Manchester 032E,Social rented,37,408
E01005154,Manchester 033A,Social rented,40,669
E01005156,Manchester 033B,Social rented,19,635
E01005158,Manchester 033C,Social rented,196,711
E01005300,Manchester 033D,Social rented,7,490
E01005301,Manchester 033E,Social rented,14,612
E01005118,Manchester 034A,Social rented,110,497
E01005120,Manchester 034B,Social rented,153,661
E01005215,Manchester 034C,Social rented,94,756
E01005216,Manchester 034D,Social rented,38,611
E01005217,Manchester 034E,Social rented,20,678
E01005218,Manchester 034F,Social rented,143,632
E01005270,Manchester 035A,Social rented,341,675
E01005272,Manchester 035B,Social rented,447,755
E01005273,Manchester 035C,Social rented,125,553
E01005278,Manchester 035D,Social rented,64,541
E01005279,Manchester 035E,Social rented,294,817
E01005305,Manchester 036A,Social rented,8,592
E01005309,Manchester 036B,Social rented,82,963
E01005310,Manchester 036C,Social rented,187,579
E01005311,Manchester 036D,Social rented,45,615
E01005312,Manchester 036E,Social rented,136,618
E01005082,Manchester 037A,Social rented,280,659
E01005153,Manchester 037B,Social rented,148,820
E01005155,Manchester 037C,Social rented,18,683
E01005157,Manchester 037D,Social rented,6,614
E01005274,Manchester 038A,Social rented,223,682
E01005275,Manchester 038B,Social rented,49,818
E01005276,Manchester 038C,Social rented,39,643
E01005277,Manchester 038D,Social rented,22,778
E01005076,Manchester 039A,Social rented,62,782
E01005081,Manchester 039C,Social rented,484,784
E01005083,Manchester 039D,Social rented,25,888
E01033670,Manchester 039E,Social rented,8,655
E01033671,Manchester 039F,Social rented,14,793
E01005125,Manchester 040A,Social rented,227,635
E01005304,Manchester 040B,Social rented,82,657
E01005306,Manchester 040C,Social rented,63,687
E01005307,Manchester 040D,Social rented,53,721
E01005308,Manchester 040E,Social rented,216,625
E01005119,Manchester 041A,Social rented,283,629
E01005121,Manchester 041B,Social rented,306,599
E01005122,Manchester 041C,Social rented,268,641
E01005123,Manchester 041D,Social rented,371,622
E01005124,Manchester 041E,Social rented,381,686
E01005077,Manchester 042A,Social rented,378,630
E01005078,Manchester 042B,Social rented,103,824
E01005079,Manchester 042C,Social rented,149,628
E01005084,Manchester 042D,Social rented,228,867
E01005172,Manchester 043A,Social rented,85,803
E01005173,Manchester 043B,Social rented,47,703
E01005174,Manchester 043C,Social rented,12,624
E01005175,Manchester 043D,Social rented,115,693
E01005176,Manchester 043E,Social rented,88,936
E01005177,Manchester 043F,Social rented,70,643
E01005115,Manchester 044A,Social rented,276,785
E01005262,Manchester 044B,Social rented,291,861
E01005264,Manchester 044C,Social rented,262,617
E01005265,Manchester 044D,Social rented,316,682
E01005266,Manchester 044E,Social rented,354,835
E01005126,Manchester 045A,Social rented,48,819
E01005168,Manchester 045B,Social rented,29,522
E01005169,Manchester 045C,Social rented,17,487
E01005170,Manchester 045D,Social rented,7,584
E01005171,Manchester 045E,Social rented,41,711
E01005263,Manchester 046A,Social rented,356,825
E01005267,Manchester 046B,Social rented,104,664
E01005268,Manchester 046C,Social rented,77,994
E01005269,Manchester 046D,Social rented,78,617
E01005069,Manchester 047A,Social rented,79,641
E01005111,Manchester 047B,Social rented,236,622
E01005113,Manchester 047C,Social rented,483,830
E01005114,Manchester 047D,Social rented,70,810
E01005116,Manchester 047E,Social rented,295,973
E01005071,Manchester 048A,Social rented,254,684
E01005072,Manchester 048B,Social rented,318,811
E01005073,Manchester 048C,Social rented,106,615
E01005112,Manchester 048D,Social rented,252,676
E01005117,Manchester 048E,Social rented,584,938
E01005085,Manchester 049A,Social rented,315,599
E01005086,Manchester 049B,Social rented,437,715
E01005089,Manchester 049C,Social rented,439,699
E01005289,Manchester 049D,Social rented,430,641
E01005295,Manchester 049E,Social rented,166,1124
E01005087,Manchester 050A,Social rented,506,792
E01005088,Manchester 050B,Social rented,512,687
E01005090,Manchester 050C,Social rented,551,745
E01005091,Manchester 050D,Social rented,537,867
E01005291,Manchester 050E,Social rented,485,714
E01005068,Manchester 051A,Social rented,391,704
E01005070,Manchester 051B,Social rented,421,740
E01005074,Manchester 051C,Social rented,290,644
E01005075,Manchester 051D,Social rented,236,612
E01005319,Manchester 051E,Social rented,357,880
E01005290,Manchester 052A,Social rented,400,675
E01005292,Manchester 052B,Social rented,400,696
E01005293,Manchester 052C,Social rented,56,521
E01005294,Manchester 052D,Social rented,125,645
E01005317,Manchester 052E,Social rented,326,774
E01005313,Manchester 053A,Social rented,318,618
E01005314,Manchester 053B,Social rented,294,635
E01005315,Manchester 053C,Social rented,410,715
E01005316,Manchester 053D,Social rented,197,702
E01005318,Manchester 053E,Social rented,295,782
E01005130,Manchester 054A,Social rented,586,767
E01033651,Manchester 054B,Social rented,41,630
E01033658,Manchester 054C,Social rented,33,711
E01033664,Manchester 054D,Social rented,12,607
E01033667,Manchester 054E,Social rented,108,653
E01005128,Manchester 055A,Social rented,26,766
E01033653,Manchester 055B,Social rented,149,1036
E01033654,Manchester 055C,Social rented,41,617
E01033659,Manchester 055D,Social rented,10,760
E01033661,Manchester 055E,Social rented,144,706
E01005143,Manchester 056A,Social rented,246,792
E01033655,Manchester 056B,Social rented,20,694
E01033665,Manchester 056C,Social rented,139,723
E01033676,Manchester 056D,Social rented,510,730
E01005212,Manchester 057A,Social rented,355,696
E01033656,Manchester 057B,Social rented,69,761
E01033662,Manchester 057C,Social rented,147,842
E01005142,Manchester 058A,Social rented,553,729
E01005147,Manchester 058B,Social rented,571,914
E01033674,Manchester 058C,Social rented,124,647
E01033675,Manchester 058D,Social rented,245,757
E01005213,Manchester 059A,Social rented,693,1178
E01033660,Manchester 059B,Social rented,10,698
E01033672,Manchester 059C,Social rented,409,725
E01033673,Manchester 059D,Social rented,7,673
E01033677,Manchester 060A,Social rented,14,699
E01033681,Manchester 060B,Social rented,6,844
E01033682,Manchester 060C,Social rented,12,797
E01033683,Manchester 060D,Social rented,13,747
E01005357,Oldham 001A,Social rented,23,616
E01005358,Oldham 001B,Social rented,168,735
E01005359,Oldham 001C,Social rented,30,757
E01005360,Oldham 001D,Social rented,171,648
E01005441,Oldham 002A,Social rented,344,792
E01005442,Oldham 002B,Social rented,14,588
E01005444,Oldham 002C,Social rented,46,672
E01005445,Oldham 002D,Social rented,110,672
E01005361,Oldham 003A,Social rented,22,728
E01005443,Oldham 003B,Social rented,5,552
E01005446,Oldham 003C,Social rented,91,605
E01005447,Oldham 003D,Social rented,230,701
E01005390,Oldham 004A,Social rented,30,604
E01005394,Oldham 004B,Social rented,58,654
E01005395,Oldham 004C,Social rented,15,610
E01005396,Oldham 004D,Social rented,80,589
E01005355,Oldham 005A,Social rented,43,630
E01005356,Oldham 005B,Social rented,17,503
E01005399,Oldham 005C,Social rented,12,698
E01005403,Oldham 005D,Social rented,54,644
E01005410,Oldham 006A,Social rented,15,599
E01005411,Oldham 006B,Social rented,86,721
E01005414,Oldham 006C,Social rented,20,525
E01005415,Oldham 006D,Social rented,119,508
E01005452,Oldham 007C,Social rented,8,543
E01005453,Oldham 007D,Social rented,8,537
E01032558,Oldham 007E,Social rented,423,641
E01032559,Oldham 007F,Social rented,96,1005
E01005391,Oldham 008A,Social rented,131,651
E01005392,Oldham 008B,Social rented,376,767
E01005393,Oldham 008C,Social rented,41,524
E01005401,Oldham 008D,Social rented,19,689
E01005397,Oldham 009A,Social rented,87,637
E01005398,Oldham 009B,Social rented,14,656
E01005400,Oldham 009C,Social rented,333,753
E01005402,Oldham 009D,Social rented,60,622
E01005335,Oldham 010A,Social rented,4,540
E01005337,Oldham 010B,Social rented,83,655
E01005339,Oldham 010C,Social rented,11,589
E01005340,Oldham 010D,Social rented,244,606
E01005421,Oldham 011A,Social rented,168,735
E01005422,Oldham 011B,Social rented,337,533
E01032920,Oldham 011E,Social rented,233,880
E01005448,Oldham 012A,Social rented,453,781
E01005449,Oldham 012B,Social rented,253,578
E01005454,Oldham 012C,Social rented,57,569
E01005455,Oldham 012D,Social rented,24,619
E01005456,Oldham 012E,Social rented,321,785
E01005407,Oldham 013A,Social rented,3,724
E01005412,Oldham 013B,Social rented,19,784
E01005416,Oldham 013C,Social rented,4,599
E01005417,Oldham 013D,Social rented,12,635
E01005348,Oldham 014A,Social rented,302,625
E01005350,Oldham 014B,Social rented,782,989
