period,area_code,area_name,geography,gender,all_ages,aged_0_to_15,aged_16_to_64,aged_65_and_over,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
2018-06-30,E02001270,Trafford 012,MSOA,Male,4202,914,2715,573,56,49,55,63,61,72,80,53,67,57,44,52,60,57,43,45,40,39,32,28,23,24,34,33,42,68,53,63,60,62,66,56,63,75,74,67,71,86,80,74,63,66,59,75,70,72,77,63,67,59,57,50,56,56,53,47,69,52,50,50,46,37,32,45,31,35,31,35,40,24,37,43,16,23,27,24,23,23,22,14,19,22,21,10,17,6,4,7,14,6,30
2018-06-30,E02001271,Trafford 013,MSOA,Female,3441,681,2095,665,35,49,43,43,39,41,51,46,52,39,44,39,44,51,33,32,44,36,25,30,25,23,28,26,30,23,30,37,38,27,32,35,47,59,55,50,47,52,53,44,45,56,48,50,43,37,53,46,54,47,52,49,55,51,47,68,46,52,50,52,43,48,30,36,41,40,35,38,44,36,38,33,25,30,22,28,23,18,26,32,16,16,17,17,15,14,17,13,24,11,37
2018-06-30,E02001271,Trafford 013,MSOA,Male,3109,658,1944,507,43,29,30,37,45,32,50,45,45,42,50,52,47,38,33,40,36,35,42,19,27,26,23,35,36,31,26,27,31,35,40,33,32,27,38,56,47,53,55,41,33,44,32,36,44,45,44,47,50,53,38,37,54,49,37,53,63,42,44,45,49,42,37,36,39,28,42,30,27,25,34,36,14,27,22,23,13,21,15,17,22,14,8,7,14,14,5,9,5,7,28
2018-06-30,E02001272,Trafford 014,MSOA,Female,4144,833,2437,874,39,47,56,58,59,57,71,50,72,63,55,46,37,41,49,33,33,35,35,22,23,26,31,31,25,22,34,32,40,31,42,45,38,65,62,56,67,59,81,77,74,80,60,83,71,53,42,57,72,56,59,66,54,68,72,56,42,51,49,48,44,45,41,36,46,46,46,55,47,36,49,41,34,37,32,37,32,36,36,29,26,31,31,24,34,22,21,13,15,13,51
2018-06-30,E02001272,Trafford 014,MSOA,Male,4092,949,2423,720,53,65,63,52,84,62,68,63,64,63,57,62,61,49,49,34,44,40,35,24,23,32,27,36,29,35,37,54,50,44,47,50,49,59,57,56,55,63,60,82,69,69,63,69,68,44,51,54,57,56,60,57,59,59,63,60,52,44,43,48,32,56,34,33,35,49,40,43,46,39,37,45,39,38,31,31,23,21,20,35,25,20,19,14,14,19,15,13,12,9,23
2018-06-30,E02001273,Trafford 015,MSOA,Female,4943,947,3084,912,38,51,67,60,60,67,74,76,66,61,73,74,38,51,48,43,30,40,31,17,30,22,51,29,73,48,59,67,82,69,74,72,78,106,79,85,85,113,70,75,100,96,96,93,73,92,61,67,68,62,69,66,81,61,61,51,67,53,45,37,44,37,49,36,34,39,39,41,44,35,45,53,42,43,49,39,29,35,41,24,32,30,20,21,23,26,24,26,22,13,77
2018-06-30,E02001273,Trafford 015,MSOA,Male,5229,1054,3447,728,70,63,68,49,70,71,70,93,64,69,90,67,59,56,49,46,46,44,39,26,27,48,37,61,66,56,83,79,86,87,72,69,81,87,99,73,94,104,112,105,103,98,81,97,93,84,103,89,85,68,69,69,67,75,67,55,61,61,45,58,47,49,51,54,37,53,54,40,37,43,42,36,37,29,18,25,21,24,32,25,31,26,22,14,16,25,12,11,14,7,34
2018-06-30,E02001274,Trafford 016,MSOA,Female,4126,716,2249,1161,22,39,36,28,51,37,35,40,54,52,61,56,49,49,54,53,51,53,53,32,16,19,21,31,18,29,22,18,20,25,30,28,32,32,42,31,42,48,47,53,50,54,59,54,53,50,69,47,59,59,66,49,72,69,82,71,59,66,55,55,59,46,48,57,48,51,41,54,58,56,68,58,62,47,60,44,51,40,44,40,38,38,31,38,30,24,30,25,22,21,90
2018-06-30,E02001274,Trafford 016,MSOA,Male,3877,697,2266,914,30,30,34,20,31,38,42,45,45,42,54,58,54,53,46,75,66,50,52,46,30,28,33,41,38,29,25,35,29,22,39,30,26,32,37,33,31,33,33,37,36,41,48,49,64,57,60,58,75,65,51,61,52,58,58,66,58,53,57,50,62,49,63,58,62,42,38,60,47,46,55,57,54,45,50,42,31,31,38,38,19,31,19,16,30,13,20,13,19,15,45
2018-06-30,E02001275,Trafford 017,MSOA,Female,4573,1120,2757,696,58,70,57,69,75,66,73,83,97,81,72,76,61,68,59,55,52,53,55,37,33,47,59,41,45,56,56,70,72,61,64,76,70,66,62,66,73,63,68,57,50,44,41,56,40,55,48,53,53,57,49,71,65,63,68,67,51,58,50,59,54,54,51,53,45,38,33,44,35,38,34,46,26,20,27,30,30,20,31,25,25,20,15,21,18,14,15,21,13,13,44
