period,area_code,area_name,geography,gender,all_ages,aged_0_to_15,aged_16_to_64,aged_65_and_over,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
2018-06-30,E00030784,E00030784,OA,Females,144,18,48,78,1,0,0,0,1,1,0,2,1,0,1,3,0,4,2,2,1,0,0,0,1,0,1,0,0,0,2,1,1,0,0,2,1,2,1,0,1,1,0,1,0,2,0,3,1,0,1,1,1,0,1,4,1,4,0,2,1,2,0,2,2,2,1,0,1,0,2,3,3,1,2,0,2,1,3,1,4,2,3,4,2,3,6,2,6,1,3,7,2,4,11
2018-06-30,E00030784,E00030784,OA,Males,106,14,57,35,0,2,1,2,0,1,0,1,0,0,1,1,0,1,2,2,1,1,1,1,1,0,0,0,0,0,0,1,2,0,2,1,2,1,1,2,2,2,1,2,1,1,2,0,3,2,3,1,1,1,0,0,1,2,3,3,1,1,1,2,1,1,1,0,1,0,1,3,0,2,4,1,2,2,2,1,1,0,1,1,0,2,0,1,0,3,1,0,0,3,4
2018-06-30,E00030784,E00030784,OA,Persons,250,32,105,113,1,2,1,2,1,2,0,3,1,0,2,4,0,5,4,4,2,1,1,1,2,0,1,0,0,0,2,2,3,0,2,3,3,3,2,2,3,3,1,3,1,3,2,3,4,2,4,2,2,1,1,4,2,6,3,5,2,3,1,4,3,3,2,0,2,0,3,6,3,3,6,1,4,3,5,2,5,2,4,5,2,5,6,3,6,4,4,7,2,7,15
2018-06-30,E00030785,E00030785,OA,Females,131,15,62,54,1,0,1,4,3,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,3,1,0,2,0,1,1,1,3,0,2,2,2,5,2,3,3,1,6,1,0,0,3,2,2,4,0,2,3,2,3,0,1,1,4,0,1,2,2,2,2,2,2,4,3,0,6,0,7,0,4,0,0,1,5
2018-06-30,E00030785,E00030785,OA,Males,129,9,66,54,0,0,0,1,1,0,1,0,0,3,0,0,2,0,0,1,0,3,0,2,2,2,1,1,1,2,0,0,0,1,4,0,0,2,0,1,0,0,1,2,1,1,0,1,0,1,2,4,1,1,1,1,5,3,3,0,4,0,3,0,3,2,1,0,3,2,2,1,1,5,0,4,4,0,4,1,1,2,1,1,0,2,4,2,2,2,2,3,2,3,3
2018-06-30,E00030785,E00030785,OA,Persons,260,24,128,108,1,0,1,5,4,0,1,0,0,4,1,1,2,1,1,2,0,4,0,2,2,2,1,2,1,3,1,0,0,2,5,0,0,3,0,1,3,1,1,4,1,2,1,2,3,1,4,6,3,6,3,4,8,4,9,1,4,0,6,2,5,6,1,2,6,4,5,1,2,6,4,4,5,2,6,3,3,4,3,5,3,2,10,2,9,2,6,3,2,4,8
2018-06-30,E00030786,E00030786,OA,Females,171,26,115,30,2,4,0,3,2,0,2,1,2,1,2,0,2,1,2,2,1,3,0,0,2,3,2,2,2,1,4,4,2,5,1,3,3,2,4,2,1,2,4,3,2,3,2,0,5,4,4,2,2,4,3,2,5,0,3,4,2,1,2,1,5,1,1,0,1,2,0,0,0,3,3,1,2,3,2,0,1,0,1,2,0,0,1,1,1,2,0,2,2,0,1
2018-06-30,E00030786,E00030786,OA,Males,198,33,146,19,1,0,1,0,1,0,7,1,3,2,1,2,5,2,2,5,2,1,5,0,2,4,2,3,2,4,5,0,7,4,3,1,3,5,4,2,3,0,2,1,1,3,2,4,3,3,4,8,3,8,4,3,0,1,4,4,5,0,3,2,3,4,0,5,4,0,0,2,0,1,2,0,0,0,2,1,0,0,1,3,1,1,0,1,0,0,0,2,1,0,1
2018-06-30,E00030786,E00030786,OA,Persons,369,59,261,49,3,4,1,3,3,0,9,2,5,3,3,2,7,3,4,7,3,4,5,0,4,7,4,5,4,5,9,4,9,9,4,4,6,7,8,4,4,2,6,4,3,6,4,4,8,7,8,10,5,12,7,5,5,1,7,8,7,1,5,3,8,5,1,5,5,2,0,2,0,4,5,1,2,3,4,1,1,0,2,5,1,1,1,2,1,2,0,4,3,0,2
2018-06-30,E00030787,E00030787,OA,Females,116,13,51,52,2,1,1,0,0,1,0,1,1,1,1,2,0,1,0,1,4,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,2,1,0,0,3,0,1,2,0,1,1,1,0,2,3,2,0,2,1,3,1,4,4,0,0,0,1,0,1,0,4,2,2,3,3,2,1,2,4,1,3,1,1,5,1,4,2,1,3,0,3,2,3,0,0,1,2,2
